t,signed,gross,form_b,form_a_max,form_a_z,form_a_unrepaired,ledger_max
600.0,-0.21698186105695882,6.326446154507587,-4.881912718701642e-5,2.81353231843063e-7,125.0,4.72017391834455e-10,2.8154452275473453e-7
1200.0,-0.23703556159029582,6.302630589910853,-9.634917296352796e-5,2.811268165434885e-7,125.0,1.0155285866522638e-9,2.8151855286753806e-7
1800.0,-0.2559822496683767,6.280310954982396,-0.00012288810830796137,2.809147957974049e-7,125.0,1.5955117927701267e-9,2.814980237110843e-7
2400.0,-0.27455131397141097,6.259249632866154,-0.00014327494864119217,2.8070856678898257e-7,125.0,2.1944232786475346e-9,2.8148051883805083e-7
3000.0,-0.2928968643924803,6.2390719963285965,-0.00016251776833087206,2.805048134107191e-7,125.0,2.803661317078396e-9,2.8146478246813035e-7
3600.0,-0.3111971296813672,6.22108100143594,-0.00018090552475769073,2.802716347081355e-7,125.0,3.529836207895862e-9,2.8144825806356236e-7
4200.0,-0.32938798491016186,6.206515925335616,-0.00022613038890995085,2.8000526015753843e-7,125.0,4.3816847939880335e-9,2.814308248721343e-7
4800.0,-0.3476665687633908,6.195343299885355,-0.00036717543844133615,2.797178334616443e-7,125.0,5.312555625561925e-9,2.814130316148487e-7
5400.0,-0.3658596063481994,6.187943585616399,-0.000550862227100879,2.7941161516714186e-7,125.0,6.312501911033552e-9,2.813948144141533e-7
6000.0,-0.3837602870144924,6.183375881392831,-0.00070207602402661,2.790977763335683e-7,125.0,7.339650269171595e-9,2.813765051103405e-7
6600.0,-0.40144540521793515,6.181304750616044,-0.0008184312027879059,2.7877960781017946e-7,125.0,8.381898701457902e-9,2.813584080701388e-7
7200.0,-0.41861364962058506,6.181861232764579,-0.0009137921006185934,2.7845554285637805e-7,125.0,9.444565993780552e-9,2.813403153020607e-7
7800.0,-0.43722773275834476,6.184773553841468,-0.0010066126706078649,2.7813209979122497e-7,125.0,1.0503968331501862e-8,2.8132167349603754e-7
8400.0,-0.4537681345924881,6.1917125345973245,-0.0010816692665684968,2.778056517219447e-7,125.0,1.1568509221336682e-8,2.813028083968283e-7
9000.0,-0.46994069120087845,6.200783567075364,-0.0011351067805662751,2.774779602633876e-7,125.0,1.2631233773430672e-8,2.8128383535635537e-7
9600.0,-0.48572796663618434,6.211768711332276,-0.0011653565743472427,2.7714918782317847e-7,125.0,1.3691446285268082e-8,2.812648079974413e-7
10200.0,-0.5011328406799389,6.2246071082602255,-0.0011857072240673006,2.768196490600582e-7,125.0,1.4748225922268968e-8,2.8124575536655876e-7
10800.0,-0.5161455145413445,6.239242505103115,-0.0012090762029401958,2.764896127815611e-7,125.0,1.5800311935721154e-8,2.8122669902138263e-7
11400.0,-0.5307487793828641,6.255705040589989,-0.0012532731343526393,2.761590535696361e-7,125.0,1.6847511566538486e-8,2.812076549348841e-7
12000.0,-0.5448667315999971,6.274087070182761,-0.001320194045547396,2.758262752291582e-7,125.0,1.7895328622699723e-8,2.8118841273183636e-7
12600.0,-0.5583399343357384,6.2944548404721745,-0.0014017400681041181,2.754923045576227e-7,125.0,1.8940849776583065e-8,2.811690817143969e-7
13200.0,-0.5709245284005879,6.316789589473252,-0.0014833796885795891,2.7515823473517985e-7,125.0,1.9978932943426036e-8,2.8114978561973066e-7
13800.0,-0.5821390453679587,6.3413771453799574,-0.001563523430377245,2.7482433079752854e-7,125.0,2.1007843107101766e-8,2.8113048848270115e-7
14400.0,-0.5906169573145554,6.369582814856162,-0.0016086269170045853,2.744893247032338e-7,125.0,2.2030150365528172e-8,2.8111103124501676e-7
15000.0,-0.5910221781044267,6.409008826670346,-0.0016492081922478974,2.7414584025505893e-7,125.0,2.3066279706433653e-8,2.810908036282454e-7
15600.0,-0.5929593709707395,6.448631615694303,-0.001694653183221817,2.738149084345845e-7,125.0,2.404843092525006e-8,2.8106295382158794e-7
