t,signed,gross,form_b,int_prec,int_rho
21730.0,-8.253645180057736,207.40336224554162,-5.0831199664389715,-20425.548798649666,1683.2849262178202
21740.0,-8.243582176987431,207.39730304751419,-5.082109400827903,-20443.502109065375,1683.2851470348119
21750.0,-8.23350731199709,207.3912328956062,-5.081092307227664,-20461.455903875973,1683.2853678769948
21760.0,-8.223420726174211,207.3851518550534,-5.080068741983268,-20479.410164902256,1683.285588744506
21770.0,-8.21332251782036,207.37906003161507,-5.079038806725293,-20497.36487411766,1683.2858096374796
21780.0,-8.203212832523048,207.3729575650581,-5.078002461290453,-20515.32001364577,1683.2860305560505
21790.0,-8.193091783284238,207.366844518544,-5.076959836820606,-20533.27556575759,1683.2862515003515
21800.0,-8.182959435957534,207.36072101285995,-5.0759109845384955,-20551.23151286854,1683.286472470511
21810.0,-8.172815949997718,207.3545871676248,-5.074855942220893,-20569.18783753545,1683.2866934666624
21820.0,-8.162661400321108,207.34844305247987,-5.073794793745037,-20587.1445224537,1683.2869144889316
21830.0,-8.152495931825301,207.34228879449662,-5.072727537015453,-20605.101550454474,1683.287135537447
21840.0,-8.142319602651002,207.3361244370819,-5.071654267900158,-20623.05890450216,1683.2873566123349
21850.0,-8.132132546858106,207.32995011975268,-5.070575004792772,-20641.01656769202,1683.2875777137203
21860.0,-8.121934888219084,207.32376593499473,-5.069489822955802,-20658.974523247933,1683.2877988417274
21870.0,-8.111726692187187,207.31757195262688,-5.06839877757011,-20676.932754520425,1683.2880199964786
21880.0,-8.101508050424803,207.31136823084208,-5.067301886330824,-20694.891244984756,1683.288241178095
21890.0,-8.091279082192544,207.30515492509898,-5.066199227643665,-20712.849978239235,1683.288462386699
21900.0,-8.081039862658834,207.2989320763688,-5.065090838994365,-20730.808938003604,1683.2886836224088
21910.0,-8.070790510325974,207.2926997755054,-5.063976767414715,-20748.76810811751,1683.2889048853435
21920.0,-8.060531106062301,207.2864581131995,-5.062857066805009,-20766.72747253914,1683.2891261756201
21930.0,-8.050261746017542,207.2802071843277,-5.061731767898891,-20784.68701534384,1683.289347493355
21940.0,-8.039982515891385,207.27394706785918,-5.060600886004977,-20802.64672072287,1683.289568838664
21950.0,-8.029693523445227,207.26767782844553,-5.059464507328812,-20820.606572982175,1683.2897902116604
21960.0,-8.019394848468771,207.26139957552584,-5.058322716096882,-20838.566556541195,1683.2900116124592
21970.0,-8.009086592584593,207.25511239089576,-5.057175447582267,-20856.52665593171,1683.290233041171
21980.0,-7.998768834043392,207.24881634225582,-5.05602283088956,-20874.486855796782,1683.290454497909
21990.0,-7.988441647815223,207.24251149839154,-5.054864893201739,-20892.44714088959,1683.2906759827813
22000.0,-7.97810511735235,207.2361979633098,-5.053701651224401,-20910.40749607242,1683.290897495899
22010.0,-7.9677593488005005,207.22987580750404,-5.052533183537889,-20928.36790631559,1683.29111903737
22020.0,-7.957404424008304,207.22354508808468,-5.051359516917728,-20946.32835669642,1683.2913406073017
22030.0,-7.947040411277595,207.2172058859046,-5.050180666614324,-20964.28883239823,1683.2915622058013
22040.0,-7.936667439077994,207.21085831633664,-5.048996688157786,-20982.249318709328,1683.291783832973
22050.0,-7.926285532616285,207.2045023980393,-5.047807674331125,-21000.209801022014,1683.2920054889232
22060.0,-7.91589480664857,207.198138266687,-5.046613593236543,-21018.170264831617,1683.292227173754
22070.0,-7.905495341802061,207.19176595561325,-5.045414497377351,-21036.130695735512,1683.2924488875703
22080.0,-7.895087208090333,207.1853855213711,-5.044210453983396,-21054.091079432183,1683.2926706304715
22090.0,-7.884670494228704,207.17899710015152,-5.043001495942008,-21072.05140172026,1683.2928924025612
22100.0,-7.874245245958962,207.1726007187788,-5.04178765474353,-21090.011648497595,1683.2931142039376
22110.0,-7.863811588717835,207.1661964524855,-5.040568948548753,-21107.971805760353,1683.2933360347017
22120.0,-7.853369558157657,207.15978435365864,-5.039345439465251,-21125.931859602046,1683.2935578949505
22130.0,-7.8429192569145485,207.15336453184668,-5.038117161951959,-21143.891796212687,1683.2937797847833
22140.0,-7.832460765279173,207.14693703932772,-5.036884169152472,-21161.851601877872,1683.2940017042952
22150.0,-7.8219940217281625,207.14050186332724,-5.035646457166877,-21179.81126297697,1683.2942236535828
22160.0,-7.81151879750725,207.13405893825438,-5.0344041077187285,-21197.770765974834,1683.2944456327418
22170.0,-7.801035862824749,207.12760863122946,-5.033157151774503,-21215.73009742577,1683.2946676418655
22180.0,-7.790545264717945,207.12115033518114,-5.031905669718981,-21233.68924405008,1683.2948896810462
22190.0,-7.780047040770752,207.11468379101612,-5.030649691238068,-21251.64819271732,1683.2951117503762
22200.0,-7.76954121758226,207.1082090544374,-5.029389240313321,-21269.60693041047,1683.2953338499456
22210.0,-7.75902785078293,207.10172633205153,-5.028124352917075,-21287.565444206557,1683.2955559798447
22220.0,-7.748507006939264,207.09523590415625,-5.026855110016186,-21305.52372126225,1683.2957781401628
22230.0,-7.737978705954262,207.08873802876025,-5.025581473135389,-21323.48174881131,1683.2960003309884
22240.0,-7.727443017928625,207.08223290602197,-5.024303537677042,-21341.43951417213,1683.2962225524077
22250.0,-7.71690007790764,207.07572077848906,-5.023021288157906,-21359.397004762937,1683.2964448045095
22260.0,-7.70634994027363,207.0692017754861,-5.021734846697655,-21377.354208120214,1683.2966670873786
22270.0,-7.695792743539859,207.06267607136053,-5.020444204274099,-21395.3111119145,1683.2968894010992
22280.0,-7.685228601365763,207.0561437588534,-5.019149452156853,-21413.267703959205,1683.2971117457555
22290.0,-7.674657606271274,207.0496049335768,-5.017850639123935,-21431.223972210155,1683.2973341214279
22300.0,-7.66407984776376,207.04305967721666,-5.016547792474739,-21449.179904756395,1683.297556528199
22310.0,-7.653495418064515,207.03650803069857,-5.015241011686157,-21467.135489804623,1683.297778966147
22320.0,-7.642904371193534,207.02995006859726,-5.013930261309724,-21485.090715660554,1683.2980014353527
22330.0,-7.632306781497265,207.02338584033885,-5.01261556945974,-21503.04557071025,1683.2982239358942
22340.0,-7.621702650209123,207.0168153598898,-5.011297017103061,-21521.00004340377,1683.298446467849
22350.0,-7.611092081939728,207.01023871476227,-5.009974564251024,-21538.954122242485,1683.2986690312941
22360.0,-7.600475054816068,207.0036559090947,-5.008648234885186,-21556.907795770305,1683.2988916263082
22370.0,-7.589851609200451,206.9970669510533,-5.007318055315409,-21574.86105256871,1683.2991142529675
22380.0,-7.579221789856501,206.9904718641195,-5.005984047369566,-21592.813881254886,1683.2993369113485
22390.0,-7.568585601048105,206.9838706507384,-5.004646238870919,-21610.766270482105,1683.2995596015273
22400.0,-7.557943090507506,206.97726328060733,-5.003304583893623,-21628.718208941576,1683.299782323579
22410.0,-7.547294328243723,206.97064979990668,-5.001959141111001,-21646.669685365076,1683.3000050775797
22420.0,-7.536639300903365,206.96403018673377,-5.000609952316154,-21664.62068852799,1683.3002278636045
22430.0,-7.525978072621749,206.95740450358682,-4.999257008719724,-21682.571207252386,1683.3004506817279
22440.0,-7.515310698537389,206.95077276704183,-4.997900306480005,-21700.52123040998,1683.3006735320234
22450.0,-7.504637222851009,206.94413507696052,-4.996539920393843,-21718.470746924795,1683.3008964145654
22460.0,-7.493957678822658,206.93749150443793,-4.995175807212945,-21736.41974577537,1683.3011193294262
22470.0,-7.483272112748671,206.93084211523367,-4.993808072293177,-21754.368215996543,1683.301342276679
22480.0,-7.4725805822970015,206.9241869777477,-4.992436654923949,-21772.316146680623,1683.3015652563952
22490.0,-7.4618831077940175,206.91752614759466,-4.991061657608952,-21790.26352697791,1683.3017882686481
22500.0,-7.451179756389921,206.91085969501714,-4.989683045772836,-21808.210346096548,1683.302011313507
22510.0,-7.440470583666723,206.90418769524226,-4.988300857890863,-21826.156593301777,1683.3022343910434
22520.0,-7.429755606628376,206.89751018928456,-4.986915118875913,-21844.102257914623,1683.3024575013267
22530.0,-7.419034879546492,206.89082720212997,-4.9855258704628795,-21862.047329310262,1683.3026806444266
22540.0,-7.408308468996094,206.88413881126743,-4.984133069054224,-21879.99179691622,1683.3029038204131
22550.0,-7.397576397556149,206.87744504182254,-4.982736779667903,-21897.935650210642,1683.3031270293536
22560.0,-7.386838709131062,206.87074593151505,-4.981337016331963,-21915.87887872079,1683.3033502713179
22570.0,-7.3760954385893545,206.86404153504057,-4.979933801339939,-21933.821472021973,1683.3035735463714
22580.0,-7.3653466066007995,206.85733185942638,-4.978527119674254,-21951.763419736926,1683.3037968545843
22590.0,-7.354592258157412,206.85061696858193,-4.977117056958377,-21969.704711535695,1683.304020196022
22600.0,-7.343832463090117,206.84389689723182,-4.975703586824238,-21987.645337135982,1683.3042435707512
22610.0,-7.333067239453212,206.8371716663405,-4.97428672312526,-22005.585286303867,1683.304466978838
22620.0,-7.3222966307378226,206.83044134977652,-4.972866559983231,-22023.524548854813,1683.3046904203484
22630.0,-7.311520702896059,206.82370597347398,-4.971442986512557,-22041.463114654853,1683.3049138953468
22640.0,-7.300739466910957,206.8169655727904,-4.970016095903702,-22059.400973621847,1683.305137403899
22650.0,-7.289952986504679,206.81022019980654,-4.968585950904526,-22077.338115726714,1683.3053609460692
22660.0,-7.279161312471428,206.8034699036794,-4.967152486322448,-22095.274530994575,1683.3055845219196
22670.0,-7.268364452295985,206.79671470426294,-4.965715783124324,-22113.21020950577,1683.3058081315155
22680.0,-7.257562469569915,206.78995466496679,-4.9642758526606485,-22131.14514139673,1683.3060317749184
22690.0,-7.24675542740965,206.78318982453285,-4.9628327045356855,-22149.079316860578,1683.3062554521923
22700.0,-7.23594336220974,206.7764202320888,-4.961386379611213,-22167.012726147692,1683.3064791633958
22710.0,-7.225126298448266,206.76964589937964,-4.959936855419073,-22184.94535956596,1683.3067029085933
22720.0,-7.214304307470207,206.76286690975576,-4.958484219096135,-22202.877207481022,1683.3069266878447
22730.0,-7.203477445251745,206.75608330373186,-4.957028476637788,-22220.808260316233,1683.3071505012094
22740.0,-7.192645725488835,206.7492950939125,-4.955569622514304,-22238.738508552648,1683.3073743487478
22750.0,-7.1818092346331275,206.74250234765,-4.954107679543085,-22256.667942728833,1683.30759823052
22760.0,-7.170967972040933,206.73570508430956,-4.952642699587159,-22274.596553440624,1683.3078221465828
22770.0,-7.160122021669599,206.72890339530633,-4.951174706511665,-22292.524331340846,1683.308046096996
22780.0,-7.1492713931929375,206.72209724247472,-4.949703666614369,-22310.451267138946,1683.3082700818177
22790.0,-7.138416171150054,206.7152867438232,-4.948229663190432,-22328.377351600648,1683.3084941011032
22800.0,-7.1275563727033235,206.708471904509,-4.946752710209694,-22346.30257554753,1683.3087181549115
22810.0,-7.116692048207118,206.70165276815598,-4.945272762037348,-22364.226929856613,1683.3089422432984
22820.0,-7.1058232727518185,206.6948293918467,-4.943789956800174,-22382.150405459957,1683.3091663663185
22830.0,-7.094950037609717,206.68800179268297,-4.942304209514987,-22400.07299334421,1683.309390524028
22840.0,-7.084072402215458,206.68117004265056,-4.940815588342957,-22417.99468455014,1683.3096147164827
22850.0,-7.073190432391308,206.6743341610056,-4.939324124075938,-22435.915470172255,1683.309838943735
22860.0,-7.062304159049434,206.66749418393522,-4.937829833244905,-22453.835341358314,1683.3100632058406
22870.0,-7.051413619511854,206.66065018023014,-4.9363327086903155,-22471.754289308912,1683.3102875028524
22880.0,-7.0405188780102606,206.65380218192576,-4.934832751227077,-22489.67230527704,1683.3105118348237
22890.0,-7.029619912712543,206.64695018538,-4.93333005416207,-22507.589380567653,1683.310736201807
22900.0,-7.018716820600267,206.64009427847938,-4.931824615690857,-22525.505506537247,1683.310960603855
