# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c7_sphere_mp
# generated: 1789082478 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,min_e_src_rad,min_e_src_mp,min_e_src_new_tropics,min_e_src_new_extratropics,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc,max_e_src_rad,max_e_src_mp,max_e_src_new_tropics,max_e_src_new_extratropics
0.0,sphere,true,3.801784917881153e-11,0.0,0.0031357680740889526,0.0,0.0,0.0,0.0,0.0,217406.80386903352,222808.42859456438,0.0,0.0,0.0,0.0,0.0
3600.0,sphere,true,1317.916880520308,-4590.567138623674,-5398.405032655425,-3.388530444328895,-1.0472701955876993,-0.004397094635654387,-0.9598302618950938,-4.379923361702966,220944.17356298308,221239.8513876746,1077.3067383628058,307.96609165742285,1.4944785385398969,88.32944389447806,1345.89385559364
7200.0,sphere,true,1301.104614886517,-7623.694100594729,-8108.9588676053045,-10.604607410654717,-3.189147812383633,-0.008765018706217608,-3.4881536063038725,-13.039538129327518,223743.15373848402,223682.27985788241,2122.2030457983947,595.3471669173431,1.4998838763167242,183.67290942684315,2639.8194117518015
10800.0,sphere,true,1310.0900024541088,-9568.786547451693,-9281.735667049099,-20.158761991581247,-5.800406314360807,-0.01170793466049653,-7.10123544802798,-24.480336598800136,225004.75135687628,225710.59675173784,3134.778765945258,865.8488110231339,2.013407111287082,279.6118183199285,3885.3925702212005
14400.0,sphere,true,1321.3865971282341,-10743.754766502896,-9627.849625054254,-30.494237258187603,-8.548066719741302,-0.05534332107292646,-11.384925560375565,-37.58377428231802,225438.0032845622,226966.46030289642,4117.231220341832,1119.93647570262,16.51674197977475,375.61602313723506,5096.5001440789
18000.0,sphere,true,1412.4525743842814,-11383.710576153553,-9597.410231337084,-41.0384336634751,-11.29818792710824,-0.021232720299731882,-16.05824248815749,-51.24569714827038,225492.71860378282,227687.63660456924,5070.331189033856,1358.2830346870433,28.858766110267425,471.421689180916,6261.812285597713
21600.0,sphere,true,1722.630466559751,-11651.138118845223,-9314.938484668852,-51.67828863339382,-14.047116483134396,-0.16241627765006209,-20.921710925085737,-65.12209326884049,225292.0407066683,228036.29580404478,5994.906102533763,1579.7657295921358,40.2569678233474,566.8518285358186,7380.008912504201
25200.0,sphere,true,2009.4519990081612,-11663.609666733266,-8897.050282343134,-62.47372660799317,-17.162257474137693,-0.3842308253178937,-25.850867881099198,-79.11862425181522,224954.68476888657,228130.35159812032,6890.839844549398,1784.2967619861945,50.562501899041585,661.8485233476401,8454.194460186272
28800.0,sphere,true,2275.3338400027797,-11500.697165156975,-8413.993258357266,-73.3639215955079,-20.55419337178682,-0.5969008558403137,-30.761316584781916,-93.39925151155853,224553.12108986225,228048.2390989927,7758.981932002275,1972.3468988573688,59.89948148130398,756.4986484222786,9485.84292290256
32400.0,sphere,true,2531.657719207931,-11233.653735220925,-7912.909719766179,-84.31233483316721,-23.864470593336172,-0.7812652162307706,-35.57471462103426,-107.65055900509562,224135.35321032233,227858.04367699797,8599.75579733964,2144.351980291662,68.36285639721207,850.7204897317789,10474.90087373217
36000.0,sphere,true,2783.5191205062697,-10971.594304255907,-7431.14927642777,-95.2414552021422,-27.028997106134355,-0.8885261269717738,-40.22598188858246,-121.63651274273798,223738.19206044872,227675.5000732425,9414.485743239007,2301.065371551859,76.23898380268564,944.5354346581425,11423.316284641247
39600.0,sphere,true,3030.4562382423164,-10642.679217991044,-6958.205382344203,-106.02565832901479,-29.847989955370917,-0.8548389118655483,-44.64556884889177,-135.13108627530715,223349.86126885182,227417.51482122156,10204.428126104438,2443.10569384499,83.67609474375524,1037.9472503262452,12332.993942919979
