# transport_ledger.csv, from analysis/transport_ledger.jl
# config: experiments/tag_closure/configs/c6_column_no_repair.yml; ledger from step 60; offset 110495.0 J/kg
# gross column integrals in J/m² since the spin-up, `_signed` ones signed, `_slope` regression slopes
time,moved,moved_signed,pressure,residual,limiter,other,other_signed,sum_of_parts,unexplained,pressure_slope,limiter_slope,sum_slope
900.0,7500.430779191255,77.9157249591556,7443.2261172902,32.42339851541972,25.491194390640487,95.66103205375663,78.1894513807787,7502.859730754049,144.30271516972428,1.015386172061913,134.24875271513343,1.004553829752255
1200.0,14932.55784939841,137.96445341116197,14850.35772823303,65.54744077982639,58.045508651579304,173.4817420547226,138.47906858688341,14952.093459913489,270.5981696282095,1.0133597765027897,110.64370830756114,1.004141257518999
1500.0,22298.37210285959,182.76303266874908,22207.326515975157,101.17958893700369,89.71993269956602,236.0793570890953,183.48842543233272,22335.825529149464,370.408070911673,1.011462734565528,100.45568073664234,1.0037902286252625
1800.0,29595.641990349017,214.65077767478255,29507.855143698973,137.18363085864914,117.6247115083903,285.7945822971872,215.5591391622712,29650.2204539788,448.4037639316675,1.009726286200363,96.09953423976503,1.0034853446453187
2100.0,36824.647717189655,235.2496693876269,36745.17807937986,176.73240671586802,143.83043723792304,324.26045671355286,236.32547954979427,36890.136067413165,519.7429572072652,1.0081909170558407,94.32581759544414,1.0032754109439852
2400.0,43979.65838240131,245.70483379779236,43917.80987993204,219.87771400501313,173.53773021768117,352.6227743664363,246.93488390028335,44055.046136109675,581.9412147699991,1.006783925784522,94.28076467054825,1.0031057745417091
2700.0,51058.72572294906,246.90239937285068,51023.496735510686,266.7883101517131,201.11592462947888,371.76882191747666,248.27524744664802,51143.66925219027,635.4594397330446,1.0054726152591322,95.19434594667499,1.002952154761349
3000.0,58067.41079596595,239.58734662555875,58072.6657533359,315.7676892710332,226.37301813366832,382.4444377131777,241.09311242950633,58166.2973017921,680.7657060416528,1.0042516207364753,95.78185613235192,1.0028160501158039
3300.0,65096.732030123276,224.37791865169763,65165.3283389919,366.9199840332604,249.0546498741827,385.27559159825086,226.0089910987538,65216.93272652754,754.1481273346716,1.0029202822045031,95.77383859589804,1.0025073657810513
3600.0,71996.42600667382,201.83200348790555,72264.04249451605,420.81645590580166,267.7097042201175,380.8200055550134,203.5795279817305,72246.52265946682,977.7601923736119,0.9999117599827686,95.19533684710109,1.000478339046017
