time,gap_integral,gap_gross,new_integral,kept_over_levels,kept_over_columns,kept_overall
0.0,0.0,0.0,0.0,0.0,NaN,0.0
3600.0,17120.766516265892,17121.515217383447,493958.6293269681,0.999956271328323,NaN,0.999956271328323
7200.0,63365.58404795139,63370.68781781422,1.0008773239604309e6,0.9999194616621884,NaN,0.9999194616621884
10800.0,121515.76412388786,121520.63737730797,1.5142924844283839e6,0.9999598977299223,NaN,0.9999598977299223
14400.0,210917.43862762372,210920.54449841235,2.0487172493451466e6,0.9999852746881722,NaN,0.9999852746881722
18000.0,320139.8113682831,320143.21287377394,2.5896448478664984e6,0.9999893750504335,NaN,0.9999893750504335
21600.0,439867.4923776963,439873.57336554705,3.1321283567910288e6,0.9999861756008569,NaN,0.9999861756008569
25200.0,562774.4720076622,562789.5104490047,3.6700189407155835e6,0.9999732787462038,NaN,0.9999732787462038
28800.0,682729.4743211985,682756.8436885438,4.199385149167438e6,0.9999599134485457,NaN,0.9999599134485457
32400.0,815809.9989496202,815861.086797332,4.745645735508437e6,0.9999373816835505,NaN,0.9999373816835505
36000.0,965446.1454156418,965513.6358739638,5.3024185683598835e6,0.9999300989071367,NaN,0.9999300989071367
39600.0,1.123396557663262e6,1.123461899460137e6,5.858900387456019e6,0.9999418388848733,NaN,0.9999418388848733
43200.0,1.2829363628463037e6,1.2829959508887192e6,6.409064346476006e6,0.9999535555491238,NaN,0.9999535555491238
46800.0,1.44011874334203e6,1.4401826498091153e6,6.949345036330343e6,0.9999556261373558,NaN,0.9999556261373558
50400.0,1.5931333018863546e6,1.5931989976073224e6,7.477447305082312e6,0.9999587648993838,NaN,0.9999587648993838
54000.0,1.7537720835668386e6,1.7538395699662294e6,8.018118238217398e6,0.9999615207681783,NaN,0.9999615207681783
57600.0,1.9278385388456313e6,1.9279067713371522e6,8.564380123467138e6,0.9999646079921833,NaN,0.9999646079921833
61200.0,2.1070497345212703e6,2.107118129084245e6,9.108399007329747e6,0.9999675411824185,NaN,0.9999675411824185
64800.0,2.285949852585656e6,2.286018383646381e6,9.647428052004745e6,0.9999700216493379,NaN,0.9999700216493379
68400.0,2.46061727815954e6,2.4606895698191654e6,1.0176907768988881e7,0.9999706213817006,NaN,0.9999706213817006
72000.0,2.63289349835705e6,2.633002741231736e6,1.069576256843575e7,0.9999585101553542,NaN,0.9999585101553542
75600.0,2.8000308131793593e6,2.80014913538224e6,1.1203004142084341e7,0.9999577443210486,NaN,0.9999577443210486
79200.0,2.9619171938187643e6,2.9620010986354803e6,1.1702322329930218e7,0.9999716729285635,NaN,0.9999716729285635
82800.0,3.11862826609505e6,3.118660807899767e6,1.2193549964838903e7,0.9999895654555845,NaN,0.9999895654555845
86400.0,3.2859049172538365e6,3.2859620615994073e6,1.269948906218695e7,0.9999826095540668,NaN,0.9999826095540668
