# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c0_column
# generated: 1788997146 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_strat,min_e_src_tropo,min_e_src_rad,max_e_src_strat,max_e_src_tropo,max_e_src_rad
0.0,column,false,6.0676217138949065e-12,-44972.50629142498,-43124.81866068204,0.0,-0.021749901491219584,-0.022503634526469914,0.0
3600.0,column,false,3910.2044995734245,-44972.49701397656,-42965.70781744843,-2.4689182620290938e-9,-0.018442635230623394,-0.022508893761821868,441.91053556629134
7200.0,column,false,5778.018349613853,-44972.49701532533,-42870.20970859922,-2.4463792090227978e-9,-0.014855445215469814,-0.022509946403730243,593.6864195441093
10800.0,column,false,7050.565408302922,-44972.4970190039,-42849.80540713968,-2.4224719983128754e-9,-0.011167060278450366,-0.022511402951919963,1239.2536483563733
14400.0,column,false,10075.527063400546,-44972.49702134824,-42849.80508472529,-2.398727570566271e-9,-0.0074883444473223685,-0.022512787275965975,1873.45812319283
18000.0,column,false,12807.609390271453,-44972.497023689226,-42849.80455859898,-2.3754982218311775e-9,-0.0038500986005600268,-0.022514188082813694,2386.1633436741436
21600.0,column,false,15130.35047874753,-44972.49702458328,-42849.8038920127,-2.3530133270719176e-9,-0.00022393415184085295,-0.022515498000236552,2835.7580969286723
25200.0,column,false,16884.712637772405,-44972.497024388234,-42849.80313600839,-2.3314351799149034e-9,0.0033881570496822728,6724.922031769843,3221.906851559777
28800.0,column,false,17521.605629485253,-44972.497025608674,-42849.802311221276,-2.312007545723953e-9,0.0038822660121095387,13360.96639240362,3084.9463722014766
32400.0,column,false,18073.413310525877,-44972.497025229575,-42849.80122916983,-2.292088975028945e-9,0.007029463150303455,19915.777760258108,3215.953163282157
36000.0,column,false,18571.420666645845,-44972.434347874834,-42849.80008448602,-2.2729072981377858e-9,0.010184222865174569,26385.697868621162,3427.8322367864766
39600.0,column,false,19022.790444761842,-44971.88639542516,-42849.79889251224,-2.2543013890542424e-9,0.013301820586056909,32750.756769918527,3627.0338335092106
43200.0,column,false,20213.669078815725,-44970.8779516508,-42849.79765853634,-2.236271147394288e-9,0.01637132925107344,39007.489703102874,3791.541906628238
46800.0,column,false,21754.763066223906,-44969.59750269297,-42849.79640056885,-2.21885092303215e-9,0.019387345874916667,45152.33594038307,3910.8345380539618
50400.0,column,false,22367.41370916325,-44968.16078916666,-42849.79522075406,-2.203448113387036e-9,0.0223452795699511,51179.50731507516,3977.546739673781
54000.0,column,false,22920.65766250567,-44966.65028394162,-42849.79366505766,-2.1870950702305503e-9,0.025295483146263564,57190.58826788819,4089.851178908386
57600.0,column,false,23407.28917440736,-44965.18459943179,-42849.75435364462,-2.172278554183681e-9,0.028200641547372788,63112.45654813273,4172.177245336854
61200.0,column,false,23858.9249172682,-44963.901957530456,-42849.607798714045,-2.1572900662790742e-9,0.031061232100343512,68946.74988597874,4226.758534654008
64800.0,column,false,24272.17679341217,-44962.79827855653,-42849.565694100056,-2.142493863738533e-9,0.033888250051793405,74715.79798377249,4275.175562073797
68400.0,column,false,24651.43526313908,-44961.90276416813,-42849.3490615089,-2.127969088244321e-9,0.03667973233499659,80416.01287646286,4313.442305049546
72000.0,column,false,25022.310396182256,-44961.262053677914,-42848.346689039055,-2.115927071081468e-9,0.039420930675841764,86018.35661834027,4312.957365356439
75600.0,column,false,25541.982990902725,-44961.085557695624,-42845.2497943503,-2.1066025734508327e-9,0.042115240349146627,91529.6433585806,4283.455598020328
79200.0,column,false,26013.709200930814,-44961.085558994455,-42839.83006654952,-2.096928864026926e-9,0.044786530462714934,96997.28597206787,4272.344288322906
82800.0,column,false,26477.50995918034,-44961.08556124093,-42832.17469272002,-2.085094847637017e-9,0.04742886381189187,102409.51290227023,4266.514635494832
86400.0,column,false,26888.66561703798,-44961.08556485808,-42823.518549939305,-2.0727513894432786e-9,0.050071384624129314,107823.94361094187,4321.326888760492
