# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c8_column_1m
# generated: 1789108343 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_strat,min_e_src_tropo,min_e_src_rad,min_e_src_sfc,min_e_src_sub,min_e_src_mp,min_e_src_new_strat,min_e_src_new_tropo,max_e_src_strat,max_e_src_tropo,max_e_src_rad,max_e_src_sfc,max_e_src_sub,max_e_src_mp,max_e_src_new_strat,max_e_src_new_tropo
0.0,column,false,1.4551915228366852e-11,0.033977965380665935,0.03322423235154931,0.0,0.0,0.0,0.0,0.0,0.0,65875.65445855673,68379.15330889264,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,column,false,492.5769095068099,0.037334857894595036,0.03318078329454747,1.2371631372526488e-149,2.5376630520309743e-266,2.5212904074520713e-32,0.0,2.5085345988515313e-32,4.271818808822469e-33,65781.73260623548,73911.54870726353,428.0692749839409,6703.164607735221,165.0464496088223,0.0,102.73844000392937,6723.1114528128965
7200.0,column,false,1356.2930215271626,0.04090549990296363,0.03313444089407808,1.1961605529080256e-139,5.458346618292135e-241,2.517062728907153e-32,0.0,2.504328283079832e-32,4.264654302003347e-33,65687.28181156467,80938.57559786121,675.7461565383213,13413.171358278058,1042.5585282845602,0.0,648.953508774686,14020.07666888624
10800.0,column,false,2291.3980183713575,0.04456527105584541,0.033090385079041156,4.857439433675022e-136,1.247632460747287e-232,2.5131746619507755e-32,0.0,2.50045984303018e-32,4.258064141748185e-33,65597.16794828002,88141.74528016859,1435.8958214837742,20131.779292293515,2454.418495807146,0.0,1527.7782709176697,21567.664216397836
14400.0,column,false,3200.258232138265,0.048196659210231245,0.03304617858665649,6.17073573278223e-134,1.4388109814016385e-227,2.5093333915382467e-32,0.0,2.4966379494270506e-32,4.2515524718236055e-33,65506.736719408436,95265.20918788014,2235.5999818380997,26846.282583356024,4181.815430030813,0.0,2603.0119846115326,29081.86785913878
18000.0,column,false,4086.857451220043,0.051797701761705575,0.03300400132247563,4.3935831952684656e-131,7.530960510014503e-219,2.505730966807304e-32,0.0,2.493053545460496e-32,4.245436657159046e-33,65419.274531012496,102279.93324383962,2975.4029969362914,33539.367223329755,5986.566619844975,0.0,3726.396184826098,36514.751732509314
21600.0,column,false,4933.7821143970505,0.05538127546551253,0.03296212917061481,2.9656901711494806e-129,8.04651203258608e-215,2.502217324529349e-32,0.0,2.4895574495136803e-32,4.239469759705371e-33,65332.4914647327,109239.63634717421,3702.9011520021572,40207.49603798385,7468.957028847682,0.0,4649.123922095575,43910.37492991156
25200.0,column,false,5746.328779336807,0.05893642965526609,0.03292026937587117,3.875289640234235e-128,1.0508587873636619e-212,9.800543967687799e-30,0.0,9.520994216985273e-30,2.872795272031518e-31,65246.05686445788,116138.67992979473,4412.134894081279,46847.0430950749,8678.067878167076,0.0,5401.746247635571,51259.15197393362
28800.0,column,false,6526.482179861807,0.06244627951097575,0.032879855001297933,2.3938909822746406e-127,2.7018145085074654e-211,1.0429808317101561e-29,0.0,1.0132284724249402e-29,3.0572639127294977e-31,65162.720776775444,122972.08860291277,5094.952610708537,53461.931442927045,9668.963400715955,0.0,6018.538407923608,58556.85430976558
32400.0,column,false,7277.281763845342,0.0659095664512871,0.032839271236346765,9.685520023628151e-127,2.9901501048647036e-210,6.281907882129406e-23,0.0,6.102460324695347e-23,1.8415347418250394e-24,65079.24008346101,129735.03590090387,5747.66751341774,60047.806530139474,10478.334687699722,0.0,6522.339113954913,65795.44060141862
36000.0,column,false,8000.194462516636,0.06932732146820748,0.03279855419317404,3.135582700757976e-126,2.141744024797786e-209,6.309982793308917e-23,0.0,6.129719723175342e-23,1.849763915428783e-24,64995.59892855586,136426.17084059573,6370.325494192602,66600.2767709367,11140.35952929317,0.0,6934.422650139397,72970.5651568818
39600.0,column,false,8697.821792680741,0.07270047688678077,0.03275862030480628,8.253134902478442e-126,1.046847897941397e-208,3.404060099190177e-17,0.0,3.3055749790234085e-17,9.978081528496924e-19,64913.67655838031,143044.45022285375,6963.262608826454,73115.39328424104,11790.087103402087,0.0,7273.187949798885,80078.61529582151
43200.0,column,false,9372.41287147958,0.07602951900055718,0.032719375490399716,1.8719434483643663e-125,3.8930083247296944e-208,3.4043702747801955e-17,0.0,3.305880712008427e-17,9.978991342940552e-19,64833.269382138424,149588.02720730772,7526.095842871596,79589.39002001143,14313.331982107526,0.0,7551.60881453498,87115.44309475369
46800.0,column,false,10026.987560833557,0.07931563720745143,0.032679987816628134,3.7569974895967733e-125,1.160307157645566e-207,6.1693310356826375e-12,0.0,6.017378663317962e-12,1.586862121110171e-13,64752.73545318385,156054.38495945162,8058.368734169824,86017.4946653464,16834.95037889984,0.0,7779.6148389219115,94075.82141174316
