time,form_a_max,form_a_relative,initial_min_strat,initial_min_tropo,form_a_max_unrepaired,initial_strat,initial_tropo,energy_change,records,form_b
0.0,0.0,0.0,0.033977965380665935,0.03322423235154931,0.0,5.2684683046055384e7,6.030271539654003e7,0.0,0.0,0.0
3600.0,0.007913755748194135,1.1770966185002218e-6,0.03394406745460366,0.033180782700252535,0.007913755748194135,5.240226086960176e7,6.015777998344246e7,64737.96961243451,64738.77062478475,-0.8010123502463102
7200.0,0.05104048857427301,3.6405266559893886e-6,0.03383449612566844,0.03313443858386992,0.05104048857427301,5.2114113794394575e7,5.9975092045512006e7,125582.57785914838,125584.49916411308,-1.9213049646932632
10800.0,0.14041899614502995,6.51062275061478e-6,0.03368764342929114,0.03309038072739443,0.14041899614502995,5.1841189925493754e7,5.974744522893996e7,184985.25671732426,184987.89774289634,-2.6410255720838904
14400.0,0.2581654320312623,8.87719121329416e-6,0.03352918945472121,0.033046172155255384,0.2581654320312623,5.158411531953813e7,5.948753204297382e7,240011.30353105068,240014.94437776343,-3.6408467127475888
18000.0,0.43290075062414246,1.185549707303911e-5,0.033381213010315484,0.03300399223464052,0.43290075062414246,5.138333208016496e7,5.916839298335818e7,292276.5017981231,292280.1748067746,-3.673008651472628
21600.0,0.6833019877779236,1.5561280090020976e-5,0.033234271322943224,0.03296211778293699,0.6833019877779236,5.118871414223469e7,5.882034784669493e7,340915.7646700591,340920.8603066015,-5.095636542420834
25200.0,0.9460595746745923,1.845639385489094e-5,0.033082193617252315,0.03292025621300379,0.9460595746745923,5.099673926765111e7,5.844844943388367e7,386892.12816275656,386896.6306175217,-4.50245476514101
28800.0,1.2051339964319538,2.058056913696368e-5,0.032910326951190394,0.03287984048753348,1.2051339964319538,5.081792523547789e7,5.806054424383272e7,433924.7101429105,433928.4511513519,-3.741008441429585
32400.0,1.4595097185248278,2.2182524639833058e-5,0.0327214961636309,0.032839255720990605,1.4595097185248278,5.064477562435699e7,5.766665391295173e7,478964.61200249195,478967.69122539274,-3.0792229007929564
36000.0,1.7506357001777815,2.3990972433130492e-5,0.03251893113963518,0.03279853794181878,1.7506357001777815,5.047816892678548e7,5.727000359975302e7,521859.5421615243,521862.0610574079,-2.518895883578807
39600.0,4.464966035598536,5.575725512715614e-5,0.032305374528064854,0.03275860354741379,4.464966035598536,5.0322808458790734e7,5.687290199970261e7,564560.8648783863,564562.8715709215,-2.0066925352439284
43200.0,5.783484883836081,6.638871089730892e-5,0.03208338008610757,0.0327193584079713,5.783484883836081,5.017875354311768e7,5.647591051298517e7,606665.2717400938,606666.9789370731,-1.7071969793178141
46800.0,4.613408656604406,4.9039235161846426e-5,0.03185669828926174,0.03267997054751895,4.613408954390252,5.0043761995570004e7,5.6076795831916586e7,646062.6239831895,646064.2289530244,-1.604969834908843
50400.0,8.602486439413042,8.521286745176791e-5,0.0316314606354572,0.032640605132009955,8.602486737874642,4.99241017590574e7,5.564442372761482e7,682242.9686852396,682244.5881025726,-1.6194173330441117
54000.0,13.273004988848697,0.00012324054117805608,0.03149739239204812,0.03260142200615148,13.273005287726846,4.981336855288972e7,5.516026917937444e7,710393.5604426265,710400.1664842926,-6.606041666120291
57600.0,19.613457582878254,0.00017134819150997686,0.031310671041251466,0.03256386361899038,19.613457882345756,4.97290502543352e7,5.466156562628179e7,741250.0718376935,741254.6003883779,-4.528550684452057
61200.0,27.366605389623146,0.00022589627086381996,0.0311205968547585,0.03252616157123734,27.366605689745484,4.964653366653044e7,5.416929595078176e7,768644.768663004,768648.1980863018,-3.42942329775542
64800.0,35.55447459329844,0.0002784147893945083,0.03100825467728055,0.03248824898864187,35.554474893853694,4.957219299470365e7,5.3662121595127866e7,789919.4456351697,789924.3127408912,-4.867105721496046
68400.0,45.65404381549706,0.0003401295304467808,0.030846139210254503,0.03245062203440393,45.654044116654404,4.9501269933027424e7,5.316268509997836e7,810667.7281680554,810673.1715926491,-5.443424593657255
72000.0,57.61893538045297,0.0004096199225088972,0.03066894692955016,0.03241412270618488,57.61893568228879,4.9434713756300315e7,5.266840722711064e7,833174.8041884154,833182.4853070807,-7.681118665263057
75600.0,69.638472977942,0.00047379014195552977,0.03055583939578589,0.03237745880334026,69.63847328022894,4.937150271343505e7,5.216650514967383e7,850684.0334654897,850689.3702101316,-5.336744641885161
79200.0,84.04789594273097,0.0005484672043236506,0.030400595277333145,0.03234078364139386,84.04789624561818,4.930865885254371e7,5.167046867991857e7,866516.7301774472,866522.6444399208,-5.914262473583221
82800.0,100.20524230095543,0.0006286145288058887,0.030246618580160214,0.03230452304640187,100.20524260445018,4.9247578705127284e7,5.118374435874395e7,881708.451553002,881712.5501228059,-4.098569803871214
86400.0,117.05159187557365,0.000707432212417878,0.030115588440654387,0.03226898469004923,117.05159217957771,4.9189468153733134e7,5.0692488137588054e7,897043.4740019143,897048.7658662573,-5.291864342987537
