time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction
0.0,2.797045234315121e-9,2.4755373367908736e-17,6.911249350594062e-10,6.116832005920909e-18,0.0,0.0,0.0,0.0,0.0
3600.0,88786.71884075904,0.0007852726007715751,88590.4236994913,0.0007835364717861284,0.0,0.0,0.0,0.0,0.0
7200.0,128988.34302927469,0.0011400933777182983,130792.65876678292,0.0011560412407215402,0.0,0.0,0.0,0.0,0.0
10800.0,175282.12387326415,0.0015483014245719746,180677.35264404328,0.0015959585398961184,0.0,0.0,0.0,0.0,0.0
14400.0,214967.09504519153,0.0018977465286348473,225042.5084518036,0.0019866930756072547,0.0,0.0,0.0,0.0,0.0
18000.0,257675.60896601135,0.002273544328926173,272828.3185872242,0.0024072409452470353,0.0,0.0,0.0,0.0,0.0
21600.0,296905.3168712677,0.0026183474465086725,320199.5370809964,0.0028237744245341247,0.0,0.0,0.0,0.0,0.0
25200.0,361800.379532817,0.0031890973751931943,395953.9796934426,0.0034901450323744643,0.0,0.0,0.0,0.0,0.0
28800.0,418150.7650855245,0.0036839583451554717,464848.28454041836,0.004095369087065105,0.0,0.0,0.0,0.0,0.0
32400.0,466904.7119498867,0.004111484616176884,527556.6926016526,0.004645575789403593,0.0,0.0,0.0,0.0,0.0
36000.0,513547.7464047608,0.004520082071781285,589049.1035337615,0.0051846207308312514,0.0,0.0,0.0,0.0,0.0
39600.0,555736.909086514,0.0048891026342971836,646284.5563639523,0.0056856967305237835,0.0,0.0,0.0,0.0,0.0
43200.0,596451.5069897039,0.005244821073281183,701831.4043488065,0.0061714659050776605,0.0,0.0,0.0,0.0,0.0
46800.0,636303.3604042713,0.005592746913550363,756136.5469280843,0.0066460128960624705,0.0,0.0,0.0,0.0,0.0
50400.0,672200.8355147972,0.0059057895593306285,807002.4520223945,0.007090123075878205,0.0,0.0,0.0,0.0,0.0
54000.0,697535.5421225755,0.0061263882219940195,850593.1064659562,0.007470678229965545,0.0,0.0,0.0,0.0,0.0
57600.0,733018.4026272675,0.006435716892424278,901003.4033812328,0.00791058287553102,0.0,0.0,0.0,0.0,0.0
61200.0,791155.3738073199,0.006943845859987036,977179.7366086986,0.00857655233492235,0.0,0.0,0.0,0.0,0.0
64800.0,842366.2795814718,0.007391420539651767,1.0430084386860235e6,0.009151973652796684,0.0,0.0,0.0,0.0,0.0
68400.0,888215.9585417547,0.007791665311320661,1.1051973034294294e6,0.00969508305776675,0.0,0.0,0.0,0.0,0.0
72000.0,928442.8593787011,0.008142228964463944,1.1641701417243953e6,0.0102095026654151,0.0,0.0,0.0,0.0,0.0
75600.0,966305.0387319496,0.008472371453088766,1.2155601135025602e6,0.01065779064824814,0.0,0.0,0.0,0.0,0.0
79200.0,999735.8152744378,0.00876355375197073,1.2654186438449768e6,0.01109249477176844,0.0,0.0,0.0,0.0,0.0
82800.0,1.0343652010984704e6,0.009065166042333891,1.318663505987431e6,0.011556753478411164,0.0,0.0,0.0,0.0,0.0
86400.0,1.0806073249745574e6,0.009468444967375426,1.3799668952711578e6,0.01209147884036648,0.0,0.0,0.0,0.0,0.0
