time,gap_integral,gap_gross,new_integral,kept_over_levels,kept_over_columns,kept_overall
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,1.1615716939096022e6,1.2116491178798075e6,4.6700249552401733e8,0.9705869831865599,0.9749308197262412,0.9586700281201601
7200.0,1.7304542163663295e6,1.868284582308325e6,9.142411604686234e8,0.9553251940694458,0.9615763110006533,0.9262262466611475
10800.0,2.562029770379588e6,2.8267033725852603e6,1.3471669117576418e9,0.940959046475387,0.9333210734371439,0.9063666868010966
14400.0,3.9659019719649395e6,4.394539564710032e6,1.7678145519975846e9,0.9316265789581515,0.9093960240785541,0.9024613189997811
18000.0,5.9052049177133925e6,6.527395620285674e6,2.1777528400593786e9,0.9261515657732802,0.9258359348091646,0.90468009926675
21600.0,7.924740880392006e6,8.775989299054496e6,2.578209483801069e9,0.9194303102332834,0.9368815274870202,0.9030025687526532
25200.0,9.948879472593604e6,1.1077393455964498e7,2.9701384616947722e9,0.9115249669751657,0.9440817595603415,0.8981245915063838
28800.0,1.1981524692200853e7,1.3441329099586338e7,3.3542474416748867e9,0.9035873092080285,0.9489047068405471,0.8913943407999428
32400.0,1.4010640508654278e7,1.5863759438024867e7,3.730279593232113e9,0.8950593023489212,0.9514962608171843,0.8831853863764014
36000.0,1.604450690959144e7,1.8341113280746393e7,4.0971921991631446e9,0.8867330267639247,0.9532021340779895,0.8747836984592523
39600.0,1.8062072334642634e7,2.0851662120370403e7,4.454110925721753e9,0.8789643699733469,0.9541769431450461,0.8662173897877156
43200.0,2.000293190656212e7,2.3451387290737107e7,4.800828851206858e9,0.8694674235173449,0.9496417165187807,0.8529530325254119
46800.0,2.1796360263428997e7,2.6214403437088314e7,5.137874712119837e9,0.8599027573898483,0.9360044152548893,0.8314650499576641
50400.0,2.3373778471420713e7,2.9209395561968822e7,5.4660602287439995e9,0.8519894444429271,0.9116623554936201,0.8002143838215471
54000.0,2.4700752824192032e7,3.248975517730277e7,5.786792698514995e9,0.8433694643237749,0.8778702076927828,0.7602628179066087
57600.0,2.5815912263156235e7,3.601362251042159e7,6.101319503389469e9,0.8309826069256071,0.8401505133161712,0.7168374204979143
61200.0,2.6205670169460993e7,4.02704431931895e7,6.410329402516436e9,0.7893963828691131,0.777885648478053,0.6507420353867094
64800.0,2.6484701883236073e7,4.475691209220037e7,6.715554757047583e9,0.7493548392944949,0.7227172812484955,0.591745512484796
68400.0,2.6872979684145913e7,4.92475240624679e7,7.018432283484339e9,0.7167302984494259,0.6809779687732262,0.5456716900134705
72000.0,2.7350128924471166e7,5.3751073412714966e7,7.319299833550386e9,0.6894897913493254,0.6538198765395851,0.5088294463343949
75600.0,2.790299018094819e7,5.826579112164979e7,7.618409653631323e9,0.6663977223964285,0.667899430577296,0.4788914669105092
79200.0,2.85225349698109e7,6.278312675133948e7,7.915882555033377e9,0.6466922142585215,0.6804798308494473,0.454302556207148
82800.0,2.9201580078417763e7,6.729199684261434e7,8.211495455770399e9,0.6297059519532489,0.691733237831154,0.43395324033429683
86400.0,2.994472975242191e7,7.179186112612651e7,8.504867786179762e9,0.6150994198347159,0.7017632234419038,0.4171047982697361
