# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c6_sphere_repair
# generated: 1789059915 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,min_e_src_rad,min_e_src_new_tropics,min_e_src_new_extratropics,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc,max_e_src_rad,max_e_src_new_tropics,max_e_src_new_extratropics
0.0,sphere,true,3.801784917881153e-11,0.0,0.0031357680740889526,0.0,0.0,0.0,0.0,217406.80386903352,222808.42859456438,0.0,0.0,0.0,0.0
3600.0,sphere,true,1317.9168805203371,0.0,0.782743097783771,0.0,0.0,0.0,0.0,215542.04753685414,221239.85138567112,1077.3067383703237,307.966078016206,88.33269469434741,1345.893855634753
7200.0,sphere,true,1301.1046148866199,3.532104573214033e-7,0.3607069281252632,0.0,0.0,0.0,0.0,215629.73419071222,221247.0054002596,2122.203045424949,595.3470502804774,183.69629785098329,2639.8194111773555
10800.0,sphere,true,1310.0900023315228,7.680096103607145e-7,2.614327513585101,0.0,0.0,0.0,0.0,215712.351694222,221259.3079950933,3134.778762669072,865.8487542227211,279.66642344014895,3885.392559267567
14400.0,sphere,true,1321.3865964655192,0.0,0.0,0.0,0.0,0.0,0.0,215806.68252418455,221277.25864434827,4117.231211782319,1119.9370369939659,375.6982595324545,5096.500101815333
18000.0,sphere,true,1412.452574352587,3.147462592673347e-20,0.0,0.0,0.0,0.0,0.0,215897.9709602502,221294.39973229024,5070.331177390347,1358.2847039145229,471.5169610280792,6261.812196342387
21600.0,sphere,true,1722.630465453368,2.3169786034302647e-5,0.0,0.0,0.0,0.0,0.0,215980.62543792918,221310.06225353916,5994.906095586457,1579.7685239914974,566.940479251371,7380.008784308481
25200.0,sphere,true,2009.4519957918424,0.0,0.0,-1.519051817787185e-53,0.0,0.0,0.0,216061.73567449645,221322.2155596907,6890.839855452512,1784.3001999178032,661.9173980231077,8454.19449106032
28800.0,sphere,true,2275.333833798705,1.5883585143291175e-5,0.0,-2.644127451236632e-53,0.0,0.0,0.0,216141.45836755406,221334.6131356287,7758.981979748077,1972.3501498803341,756.5186103541297,9485.84294196917
32400.0,sphere,true,2531.6577096611454,5.803850211175761e-23,0.0,0.0,0.0,0.0,0.0,216223.13685648833,221355.62543531047,8599.755907255576,2144.354238032077,850.6732937410897,10474.900854843003
36000.0,sphere,true,2783.519107579021,0.0,0.0,0.0,0.0,0.0,0.0,216302.46452011197,221376.42253694808,9414.485945388704,2301.066078002327,944.4061862734762,11423.316191793569
39600.0,sphere,true,3030.45622345584,0.0,0.0,0.0,0.0,0.0,0.0,216348.52749425522,221394.88302127458,10204.428451242844,2443.1043974352497,1037.7276301894003,12332.993732594909
43200.0,sphere,true,3263.449209662449,0.0,0.0,0.0,0.0,0.0,0.0,216433.93102757505,221401.75303560644,10970.34802075641,2571.1350571254425,1130.649418953761,13205.311110665682
46800.0,sphere,true,3475.902391868238,0.0,0.0,0.0,0.0,0.0,0.0,216523.34292625514,221400.23653769706,11712.940833419641,2685.7474900558186,1223.1299991727055,14041.19376005952
50400.0,sphere,true,3671.0064289038296,0.0,0.0,0.0,0.0,0.0,0.0,216611.9866645143,221404.00090049134,12432.37134629071,2787.474041673194,1315.099822263977,14841.410109884382
54000.0,sphere,true,3859.955284347621,0.0,0.0,0.0,0.0,0.0,0.0,216699.22868447358,221422.04970607412,13129.58950525922,2876.8618980037945,1406.473705653781,15607.197669433657
57600.0,sphere,true,4048.260561531977,0.0,0.0,0.0,0.0,0.0,0.0,216782.87579235202,221441.63386735952,13805.51690264248,2954.508073485459,1497.1929242730107,16340.496880177332
61200.0,sphere,true,4237.627640396298,0.0,0.0,0.0,0.0,0.0,0.0,216865.8476648969,221460.95111928068,14461.40553020909,3021.5516128240242,1587.2621858870832,17043.14772343677
64800.0,sphere,true,4421.507207025337,0.0,0.0,0.0,0.0,0.0,0.0,216944.5628907512,221480.00238922256,15098.150784264606,3078.046205489334,1676.7776743171564,17716.407281566957
68400.0,sphere,true,4598.286669461595,0.0,0.0,0.0,0.0,0.0,0.0,217018.04770657636,221493.27100486387,15716.61644010704,3124.432907874924,1765.8852360212313,18361.30997801676
72000.0,sphere,true,4759.2950184604415,0.0,0.0,0.0,0.0,0.0,0.0,217090.4288350021,221496.93474209253,16317.214251850903,3161.0568107094214,1854.654104917165,18978.603765433945
75600.0,sphere,true,4914.199758737086,0.0,0.0,0.0,0.0,0.0,0.0,217156.34897492337,221509.847996317,16900.507040712222,3188.2572615839163,1943.194323651814,19569.102481116355
79200.0,sphere,true,5056.6312652078195,0.0,0.0,0.0,0.0,0.0,0.0,217213.41624261078,221526.58091889144,17464.08152142657,3206.3395344346036,2031.66222289977,20134.196633108037
82800.0,sphere,true,5183.505354819863,0.0,0.0,0.0,0.0,0.0,0.0,217266.51498044445,221544.66486848463,18005.45130397714,3215.6421886422313,2120.092784381066,20676.567555430447
86400.0,sphere,true,5302.3919455501455,0.0,0.0,-2.7560594843430373e-55,0.0,0.0,0.0,217315.8609016419,221562.8902766861,18524.91484025459,3217.36769210756,2209.9142243427386,21198.140900291066
