time,form_a_max,form_a_relative,initial_min_extratropics,initial_min_tropics,form_a_max_unrepaired
0.0,0.0,0.0,0.0031357680740889526,0.0,0.0
3600.0,2.098230078941725,0.0015589862975874528,0.7827430977791952,-2.0006813393458085e-8,1.5071367756160399
7200.0,3.956250333396298,0.0014986821888819343,0.3586302108500121,3.5321045730806894e-7,1.6028754075585425
10800.0,7.605300579828167,0.0019574085407889482,2.610943742152455,7.680096103040346e-7,2.7736686470165637
14400.0,16.522618182229962,0.0032419538609142194,-0.13876765076212752,-0.016103671460443697,16.522618181757935
18000.0,28.864641378085253,0.0046096306425391295,-0.338224775803873,-0.011461092155637688,28.86464137758685
21600.0,40.262845897516854,0.005455663682016587,-0.23301163127062913,2.316977701720303e-5,40.26284589701572
25200.0,50.56838623088879,0.0059814552745809475,-0.24049975656727912,-0.00025526816812648605,50.56838623038675
28800.0,59.90537084810239,0.006315239585408965,-0.2559646658722154,1.5883565913512466e-5,59.90537084759853
32400.0,68.36874256414012,0.006526910708898861,-0.17859811130920153,-0.036855529378726784,68.36874256363262
36000.0,76.24485384405307,0.006674493865346272,-0.12686176210890748,-0.07976074727309168,76.24485384354557
39600.0,83.68193764448188,0.006785208803220295,-0.11048512154255143,-0.02863079530762766,83.68193764397256
43200.0,90.56285586264312,0.0068580630250718675,-0.08317115110509501,-1.6364638085363055e-5,90.56285586213198
46800.0,96.92285282369085,0.006902750184915169,-0.06219398914185034,-6.690727241999689e-6,96.92285282317789
50400.0,102.73333268348142,0.006922073571368982,-0.07359665203793758,-0.0005161583489497024,102.73333268296847
54000.0,108.12718731953282,0.006928033437501562,-0.08506753758606811,-2.3287661403629576,108.12718731729183
57600.0,113.33569080492452,0.006935877876664334,-0.20631248370192257,-3.5864520909514224,113.33569079535846
61200.0,118.57661746306985,0.006957436465800857,-0.18011119232575484,-4.018673001966976,118.57661744503275
64800.0,123.68549742585674,0.00698140968764843,-0.24167866987888512,-3.9466404424423622,123.68549739749506
68400.0,128.58797236194368,0.007003202522908018,-0.2199837668109615,-3.861838560891865,128.58797232066718
72000.0,133.21665086364374,0.007019307242520646,-0.23850991410573613,-3.7810349404210832,133.21665080607636
75600.0,137.5687579198493,0.007029896136145799,-0.22326199297494312,-3.6347706658517054,148.9541561237612
79200.0,141.6257845887012,0.007034091658556862,-0.20260957542708133,-3.413361862482571,174.5146156108888
82800.0,145.3584849801664,0.0070301071292652615,-0.32068519256603506,-3.103531129997014,199.17035248843268
86400.0,148.7814014667929,0.007018606120537203,-0.6915214649040509,-2.740255259339152,222.82871833471825
