time,form_a_max,form_a_relative,initial_min_extratropics,initial_min_tropics
0.0,0.0,0.0,0.0031357680740889526,0.0
3600.0,0.0032293489012680254,2.440406622344645e-6,-429.97159154595386,-731.6456345310118
7200.0,0.028189646200729612,1.0974951139956848e-5,-941.339920237547,-1464.626167846827
10800.0,0.0771777029567744,2.0621968974637308e-5,-1436.1937046612527,-2169.313297236913
14400.0,0.14457163912487658,2.9794073456142312e-5,-1914.8368167248095,-2837.9452859056696
18000.0,0.22336392457000898,3.7845300213109446e-5,-2394.038028068367,-3469.8264466004407
21600.0,0.36562009744150714,5.302181665753094e-5,-2858.259449658535,-4065.671465309242
25200.0,0.6207337211423294,7.91729450990041e-5,-3299.578753106507,-4633.4121225504305
28800.0,0.960549457144225,0.00010988949440859812,-3709.8978641262675,-5177.277695913521
32400.0,1.381427914754937,0.00014394333483679414,-4084.6359274803112,-5701.938077721535
36000.0,1.9009194319615403,0.00018264448009070795,-4422.788719871804,-6217.536988095369
39600.0,2.5854056010815043,0.00023130665642502466,-4724.0648477036175,-6755.730534564495
43200.0,3.381832224170921,0.0002838982920496695,-4991.862398342926,-7266.873190463804
46800.0,4.276989815891625,0.0003389993152994356,-5227.834727386666,-7744.277862131035
50400.0,5.251147734294818,0.0003950659760822478,-5432.594925668621,-8184.888635832375
54000.0,8.897392246749888,0.0006385747774893078,-5605.144056234993,-8591.712723648372
57600.0,13.827630015374503,0.0009509270134362211,-5745.4177753333715,-8971.502943589292
61200.0,20.129816295712963,0.0013317024535237144,-5872.103755564748,-9333.86715071553
64800.0,27.242121187427813,0.0017393344173379684,-6103.688737299205,-9685.446587173936
68400.0,34.667299007481944,0.0021420451449083223,-6306.256833301797,-10029.518316504173
72000.0,42.416830681718345,0.0025422067453537023,-6480.026178322258,-10366.418165795581
75600.0,50.49543221612733,0.002941843898329224,-6625.1816374312975,-10698.65201817096
79200.0,58.917312216520784,0.003342426081445605,-6743.156495392652,-11035.159037100886
82800.0,67.70269881937593,0.0037449814430278133,-6837.075262700451,-11448.78078679092
86400.0,76.81329798353151,0.00414933421575371,-6911.3991313435145,-12482.3899951152
