# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c6_column_repair
# generated: 1789059871 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_strat,min_e_src_tropo,min_e_src_rad,min_e_src_sfc,min_e_src_sub,min_e_src_new_strat,min_e_src_new_tropo,max_e_src_strat,max_e_src_tropo,max_e_src_rad,max_e_src_sfc,max_e_src_sub,max_e_src_new_strat,max_e_src_new_tropo
0.0,column,false,1.4551915228366852e-11,0.033977965380665935,0.03322423235154931,0.0,0.0,0.0,0.0,0.0,65875.65445855673,68379.15330889264,0.0,0.0,0.0,0.0,0.0
3600.0,column,false,496.908345226635,0.03727244106808029,0.03318483404045421,9.366789042420265e-145,3.620876869611253e-250,0.0,2.752695006631838e-26,1.5437449815463148e-29,65781.74695812081,73892.04565315683,441.8378602933786,6706.714794847506,126.79910235541627,86.65098838998271,6710.490889460934
7200.0,column,false,1293.1848776972038,0.04078422099994557,0.03313950356062466,1.523631783869484e-139,2.0942172971205056e-230,0.0,2.747944214202884e-26,1.5415422390358507e-29,65688.72013331877,80857.16707960439,593.3600021175462,13417.21663719334,717.8293272637047,446.818482490312,13957.642454730196
10800.0,column,false,2202.0295368467196,0.044342985459025194,0.03309618543765901,5.42462985774761e-134,1.4323868835568612e-221,0.0,2.743525476508688e-26,1.5403329383770166e-29,65598.47404388107,87919.5615249457,1235.487943586347,20138.266075097017,1328.5891225219034,826.9916206584808,21373.743238886127
14400.0,column,false,3077.109396945976,0.0478445743981599,0.033054579108584656,1.4540730836786086e-131,2.796047891291355e-218,0.0,2.7394303961150607e-26,1.5392082714568383e-29,65511.848930315515,94873.62568207312,1863.038514748658,26863.37160087345,1850.781385924498,1152.0350704845891,28726.395627531925
18000.0,column,false,3925.057888841344,0.05125662385327797,0.03301288216135417,8.848883915179439e-130,5.080984678660277e-216,0.0,2.735386665768037e-26,1.5382837727205182e-29,65425.006271576756,101656.28202811138,2365.178100489447,33581.471377417954,2294.2609842193733,1428.0786215227895,35946.63134830846
21600.0,column,false,4739.301587881579,0.05461101153180536,0.03297258410318867,1.5995158271909637e-128,1.6765826412207938e-214,0.0,2.731600290466136e-26,1.5373592051882392e-29,65341.2200949673,108330.88327742451,2800.5371563348103,40286.030528041265,3800.8215627202335,1663.8190772160683,43086.545953777975
25200.0,column,false,5514.30374505432,0.05790745508825737,0.032932278377662695,1.3082928628076728e-127,1.955865343474153e-213,0.0,2.727877798804885e-26,1.536315223153677e-29,65257.73896519547,114896.9666474793,3168.9489174334117,46970.18054888022,5448.5870304765995,2058.105557924434,50139.10417877424
28800.0,column,false,6252.919258779744,0.06116130603290498,0.03289226124324601,2.0820095178746992e-126,4.771068451451695e-212,0.0,2.7242195057703235e-26,1.5362777585079787e-29,65174.02462943097,121385.02695868938,3504.0651576094433,53626.58121420278,7071.133962268852,2670.6801128414895,57130.617558119164
32400.0,column,false,6977.685659553827,0.06443465129507386,0.03285375254329109,1.905613529754473e-125,9.839049035064967e-211,0.0,2.7208004634173864e-26,1.536241850337045e-29,65093.53669651205,127917.73152829712,3924.883976351352,60253.04689181172,8443.1052053989,3188.6529950605836,64177.89850019062
36000.0,column,false,7667.3335676921415,0.06766434216657416,0.03281506149086079,1.0601098412883112e-124,4.4600191777435415e-209,0.0,2.808096330455823e-23,8.48409314407804e-25,65013.015576745245,134369.9797436009,4309.874830936236,66843.93114646726,9599.884056607434,3625.382026652294,71153.77009116617
39600.0,column,false,8338.598723117248,0.07083781175273593,0.03277617914937737,4.258682026454464e-124,1.2326366689878027e-207,0.0,2.8327662176123415e-23,8.55861937289109e-25,64932.36833379899,140717.2524249521,4639.620962389919,73393.19310301523,10575.97288181854,3993.893234999351,78032.77470975772
43200.0,column,false,8990.232136178121,0.07395346073271418,0.03273770686705603,1.3248207511048753e-123,1.503418074641221e-206,0.0,2.854963285684398e-23,8.62567404771727e-25,64852.782052169205,146956.28193419203,4911.28779949362,79897.99532591626,11401.689168497922,4305.632838035963,84809.24035206762
46800.0,column,false,9620.178748431063,0.07700980309346991,0.03270002281296697,3.295444436654064e-123,9.761970713844412e-206,0.0,1.3832291803001967e-17,4.178537588841723e-19,64775.03331197803,153083.94333733647,5122.08955030162,86355.88473282811,12101.206230903219,4569.7273295253835,91477.92814644998
50400.0,column,false,10220.512836597685,0.08000380649591797,0.03266257171812068,1.1511141109730179e-122,1.0783491411010463e-204,0.0,1.4162144458377058e-17,4.2780071251154615e-19,64697.12445748698,159094.0639892716,5268.041337940445,92763.30278186405,12692.239439970119,4791.998796188846,98031.29467794995
54000.0,column,false,10820.283927759607,0.08298786071746701,0.032625091562069455,3.894996373128712e-122,9.76875620735771e-204,0.0,1.1987491950677884e-11,3.611863223544162e-13,64619.09225819847,165090.12804148486,5450.535125220873,99120.20067999908,13194.258901804753,4979.163738227794,104570.68306524021
57600.0,column,false,11396.022702418777,0.08374884974398811,0.03259058089798035,1.089594500749065e-121,5.779739800192743e-203,0.0,1.2662152643302474e-11,3.8125795548223903e-13,64547.165533582636,170999.96093942542,5596.118256191484,105426.20683132544,13624.918570953168,5139.542937486228,111022.26909369495
61200.0,column,false,11958.594442714239,0.08360632312485464,0.0325541872669527,2.352580880588743e-121,2.093510715139337e-202,0.0,1.3237623242822066e-11,3.983577139854458e-13,64471.93013620701,176823.99072907004,5707.7374188460735,111678.3422990775,13988.404521753902,5275.0990984815735,117386.02051455899
64800.0,column,false,12511.286454097717,0.08345958723771658,0.03251765268466458,4.611128910935744e-121,6.274403979483847e-202,0.0,3.2551605418870918e-6,2.5412570112731674e-8,64396.57889327286,182584.60938728118,5807.849810324708,117875.69401090893,14295.733755702826,5389.30185409147,123683.48144175972
68400.0,column,false,13053.35904538483,0.0832962243462446,0.03248097434308044,8.283302013375534e-121,1.5991235130094904e-201,0.0,7.672523230593877e-6,2.5839364983599263e-8,64321.11131273364,188278.28897706504,5893.168963108449,124017.32090639375,14839.165973245617,5485.388052327721,129910.4243494848
72000.0,column,false,13572.943569470328,0.08299480959545777,0.03244790445062304,1.6134957874542944e-120,4.539118064120182e-201,0.0,1.6164720053536903e-5,2.6302737479042663e-8,64252.58973097925,193875.33089850258,5935.434981301944,130101.40183023454,15650.104142095704,5566.908427544251,136036.7682017112
75600.0,column,false,14072.81505060586,0.08255371496631926,0.032419450202037806,3.678218450433201e-120,1.5987679550802084e-200,0.0,3.324707165286959e-5,2.6838949553529797e-8,64192.79221237133,199381.49784396458,5944.395383656645,136124.0787806695,16362.590859261478,5635.87138154286,142068.4025124602
79200.0,column,false,14570.109731238,0.08215833153426093,0.03239081824148525,8.114641858023724e-120,5.215763153147366e-200,0.0,5.086281095341311e-5,2.7376298220367105e-8,64132.64817811871,204845.5327012673,5968.0595570736095,142085.46749690012,16982.335136228874,5693.036875486224,148053.45238356252
82800.0,column,false,15066.035228833978,0.08185740144944717,0.03235554589268936,1.5861632944566564e-119,1.398277327023713e-199,0.0,6.168194901458796e-5,2.787215883859333e-8,64059.58913034298,210256.18200285046,5993.794246890475,147986.2569959825,17512.757377681923,5737.738935780379,153979.97358343544
86400.0,column,false,15562.668768010277,0.08177014752228523,0.03232293035486052,3.2365606139615175e-119,3.950394897376973e-199,0.0,7.307291179273499e-5,2.8396378265126176e-8,63991.64300962497,215673.22217972687,6077.737206666668,153829.16459466337,17978.310114204218,5774.940625097001,159906.82115270218
