t,signed,gross,max_abs_u3,int_rhoe
0.0,2.1059202992557147e-9,3.488170169374527e-9,0.0,-7.294100384667896e7
10.0,5.687622052573103,2675.037532302668,3.6639972186833987,-7.294085758096625e7
20.0,8.264610305776008,2721.9376248001604,0.9614644301241109,-7.294072000389488e7
30.0,7.72354768401632,2723.75156545617,0.2680080892449773,-7.294058005679457e7
40.0,7.733329989513762,2723.8482677225884,0.09795637207031727,-7.29404398250576e7
50.0,7.688637419754607,2723.780958473096,0.03083464060828177,-7.294029908435193e7
60.0,7.647629340152531,2723.7098083501965,0.015543594825845657,-7.294015763920014e7
70.0,7.608244159970857,2723.639225527543,0.005467699724277171,-7.294001621633548e7
80.0,7.56371136799947,2723.562719335444,0.006329304738560635,-7.293987396796729e7
90.0,7.511660808950196,2723.4773521768598,0.006346806850521998,-7.293973190467313e7
100.0,7.4623041391674905,2723.3957798200063,0.006344595299850637,-7.29395889750211e7
110.0,7.422155436614918,2723.3243837360355,0.007430965341248257,-7.293944601192775e7
120.0,7.376169511109579,2723.245128407223,0.0059657470102563274,-7.293930223867016e7
130.0,7.32926179486678,2723.166018755482,0.006728070122985227,-7.293915805165343e7
140.0,7.290201005676887,2723.0952952526736,0.007178052574557754,-7.293901325561331e7
150.0,7.243616597711001,2723.0150361993446,0.006104834551959571,-7.29388687513233e7
160.0,7.198035638246808,2722.9369535534724,0.006762798239319784,-7.29387233468488e7
170.0,7.154750223337155,2722.860879374282,0.006590691370746915,-7.29385775484845e7
180.0,7.118566637202627,2722.7927688715663,0.007546922308894446,-7.293843159026411e7
190.0,7.071429191975033,2722.710375006708,0.0056197577992862105,-7.293828501302059e7
200.0,7.02396360576564,2722.629763254359,0.006780069503911664,-7.293813805078977e7
210.0,6.981299887035004,2722.553735348095,0.006583464516521626,-7.29379907114795e7
220.0,6.945969314646413,2722.485896725967,0.007570822468975332,-7.293784307590418e7
230.0,6.899317706777196,2722.40331771907,0.005585465411117816,-7.29376949930811e7
240.0,6.852361175723992,2722.3226326975873,0.006780482144657962,-7.293754654145516e7
250.0,6.817498257458409,2722.2547528779455,0.007463145544777626,-7.293739788552023e7
260.0,6.771550430363202,2722.1726617819,0.0056678295891803235,-7.293724871370654e7
270.0,6.725427409783753,2722.0923469601803,0.006759142229472336,-7.293709918532217e7
