run,output_index,is_active,commit,commit_dirty,started,finished,exit_status,slurm_job_id,partition,ntasks,float_type,graceful_exit,n_times,last_time,status
b1_base,0000,True,38661891fac34b2a6b05470bc82199c5af9be0ec,unknown,2026-09-18T10:34:59+02:00,2026-09-18T11:44:25+02:00,0,13501290,hpda2_test,1,Float64,True,,,unclassified
c0_sphere_audit,0000,True,72a1bc6aa1fe161387062d3193ae2085fba0330a,unknown,2026-09-10T13:25:22+02:00,2026-09-10T13:38:09+02:00,0,13383685,hpda2_test,,Float64,True,,,unclassified
c10_sphere_enthalpy_repair,0000,True,7dc0a302ad83799c2edd978b7dd57299c279a266,unknown,2026-09-11T09:54:56+02:00,2026-09-11T10:14:05+02:00,0,13403083,hpda2_test,,Float64,True,25,86400.0,unclassified
c1_sphere_shift,0000,True,72a1bc6aa1fe161387062d3193ae2085fba0330a,unknown,2026-09-10T13:25:22+02:00,2026-09-10T13:38:19+02:00,0,13383684,hpda2_test,,Float64,True,,,unclassified
c1c_base_d4_enthalpy,0000,True,50b2a4d225055a224168e1da85294e7479c68a5d,unknown,2026-09-18T22:50:27+02:00,2026-09-18T23:27:22+02:00,0,13504651,hpda2_test,1,Float64,True,25,86400.0,unclassified
c1c_opt1_d4_enthalpy,0000,True,9aeb52059e3518868ed25c04c5f5029e7a0384ab,unknown,2026-09-18T22:50:27+02:00,2026-09-18T23:28:45+02:00,0,13504652,hpda2_test,1,Float64,True,25,86400.0,unclassified
c1c_opt1_newton_d4_enthalpy,0000,True,9aeb52059e3518868ed25c04c5f5029e7a0384ab,unknown,2026-09-18T23:58:57+02:00,2026-09-19T00:35:04+02:00,0,13504771,hpda2_test,1,Float64,True,13,43200.0,unclassified
c1c_opt2_d4_enthalpy,0000,True,9aeb52059e3518868ed25c04c5f5029e7a0384ab,unknown,2026-09-18T22:50:27+02:00,2026-09-18T23:25:41+02:00,0,13504653,hpda2_test,1,Float64,True,25,86400.0,unclassified
c1c_opt3_d4_enthalpy,0000,True,9aeb52059e3518868ed25c04c5f5029e7a0384ab,unknown,2026-09-18T22:50:27+02:00,2026-09-18T23:27:38+02:00,0,13504654,hpda2_test,1,Float64,True,25,86400.0,unclassified
c4_sphere_tag_offset,0000,True,29430612267fc3742bfe217bf65ab5f060a7d34d,unknown,2026-09-10T15:36:03+02:00,2026-09-10T15:48:44+02:00,0,13384913,hpda2_test,,Float64,True,25,86400.0,unclassified
c4_sphere_tag_offset_2x,0000,True,29430612267fc3742bfe217bf65ab5f060a7d34d,unknown,2026-09-10T15:36:03+02:00,2026-09-10T15:48:46+02:00,0,13384914,hpda2_test,,Float64,True,25,86400.0,unclassified
c5_column_offset,0000,True,bca389bac1034d31070d2e7d4612dfbe68ab3008,unknown,2026-09-10T17:42:19+02:00,2026-09-10T17:50:43+02:00,0,13385401,hpda2_test,,Float64,True,,,unclassified
c5_sphere_gray,0000,True,bca389bac1034d31070d2e7d4612dfbe68ab3008,unknown,2026-09-10T17:42:19+02:00,2026-09-10T17:58:22+02:00,0,13385402,hpda2_test,,Float64,True,,,unclassified
c6_column_no_repair,0000,False,6d970dd5f3efa0ccc85b93e02230ec1041b9d9a9,unknown,2026-09-10T18:27:47+02:00,2026-09-10T18:34:59+02:00,1,13385436,hpda2_test,,,False,,,unclassified
c6_column_no_repair,0001,True,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec,unknown,2026-09-10T18:45:41+02:00,2026-09-10T18:56:28+02:00,0,13385451,hpda2_test,,Float64,True,25,86400.0,unclassified
c6_column_repair,0000,False,6d970dd5f3efa0ccc85b93e02230ec1041b9d9a9,unknown,2026-09-10T18:27:47+02:00,2026-09-10T18:35:03+02:00,1,13385435,hpda2_test,,,False,,,unclassified
c6_column_repair,0001,True,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec,unknown,2026-09-10T18:45:41+02:00,2026-09-10T18:56:38+02:00,0,13385450,hpda2_test,,Float64,True,25,86400.0,unclassified
c6_sphere_first_order,0000,False,6d970dd5f3efa0ccc85b93e02230ec1041b9d9a9,unknown,2026-09-10T18:27:47+02:00,2026-09-10T18:34:22+02:00,1,13385439,hpda2_test,,,False,,,unclassified
c6_sphere_first_order,0001,True,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec,unknown,2026-09-10T18:45:41+02:00,2026-09-10T19:03:04+02:00,0,13385454,hpda2_test,,Float64,True,25,86400.0,unclassified
c6_sphere_no_repair,0000,False,6d970dd5f3efa0ccc85b93e02230ec1041b9d9a9,unknown,2026-09-10T18:27:47+02:00,2026-09-10T18:34:18+02:00,1,13385438,hpda2_test,,,False,,,unclassified
c6_sphere_no_repair,0001,True,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec,unknown,2026-09-10T18:45:41+02:00,2026-09-10T19:02:58+02:00,0,13385453,hpda2_test,,Float64,True,25,86400.0,unclassified
c6_sphere_repair,0000,False,6d970dd5f3efa0ccc85b93e02230ec1041b9d9a9,unknown,2026-09-10T18:27:47+02:00,2026-09-10T18:34:22+02:00,1,13385437,hpda2_test,,,False,,,unclassified
c6_sphere_repair,0001,True,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec,unknown,2026-09-10T18:45:41+02:00,2026-09-10T19:03:11+02:00,0,13385452,hpda2_test,,Float64,True,25,86400.0,unclassified
c6_sphere_wide_mask,0000,True,f399b9f89bf212319e1da3eeaf4c693dd22bc30c,unknown,2026-09-14T15:22:03+02:00,2026-09-14T15:39:15+02:00,0,13441633,hpda2_test,1,Float64,True,25,86400.0,unclassified
c7_sphere_mp,0000,True,414f5f1b0b621d0d09b58e641c5620bb867bdbfd,unknown,2026-09-11T00:57:43+02:00,2026-09-11T01:15:27+02:00,0,13399601,hpda2_test,,Float64,True,25,86400.0,unclassified
c8_column_1m,0000,True,c11d1d3b9b77b7ec3fe405fa15b9ed2ea0921355,unknown,2026-09-11T08:04:52+02:00,2026-09-11T08:30:34+02:00,0,13401744,hpda2_test,,Float64,True,25,86400.0,unclassified
c9_column_enthalpy,0000,True,0bfb503722448c33f784ab5292d756c590610db3,unknown,2026-09-11T09:02:59+02:00,2026-09-11T09:13:43+02:00,0,13402392,hpda2_test,,Float64,True,25,86400.0,unclassified
c9_sphere_enthalpy,0000,True,0bfb503722448c33f784ab5292d756c590610db3,unknown,2026-09-11T09:02:59+02:00,2026-09-11T09:21:29+02:00,0,13402393,hpda2_test,,Float64,True,25,86400.0,unclassified
d1_column_1m_ice,0000,True,78586e39b61b8df6d436c6c9cd65969b9f15cefa,unknown,2026-09-11T12:04:44+02:00,2026-09-11T12:21:32+02:00,0,13404535,hpda2_test,,Float64,True,,,unclassified
