interval_start_day,set,quantity,rate_kg_m2_per_day_or_stock_kg_m2,cells
5.5,N,led_inc_evap,0.0,0
5.5,N,led_inc_fcg,0.0,0
5.5,N,overclaim,0.0,0
5.5,P,rescale,0.0,60
5.5,P,empty,0.0,60
5.5,P,repair,0.0,60
5.5,P,repairnet,0.0,60
5.5,P,inc_left,1.1494412308166313e-11,60
5.5,P,inc_moved,0.449223360988226,60
5.5,P,led_fix_pbl,0.0,60
5.5,P,led_fix_free,0.0,60
5.5,P,led_fix_evap,0.0,60
5.5,P,led_fix_fcg,0.0,60
5.5,P,led_inc_pbl,0.3474605220837129,60
5.5,P,led_inc_free,0.10965714215874064,60
5.5,P,led_inc_evap,0.2620185562677467,60
5.5,P,led_inc_fcg,0.00428363178882366,60
5.5,P,overclaim,8.160097688926007e-12,60
5.5,P_adj,rescale,0.0,0
5.5,P_adj,empty,0.0,0
5.5,P_adj,repair,0.0,0
5.5,P_adj,repairnet,0.0,0
5.5,P_adj,inc_left,0.0,0
5.5,P_adj,inc_moved,0.0,0
5.5,P_adj,led_fix_pbl,0.0,0
5.5,P_adj,led_fix_free,0.0,0
5.5,P_adj,led_fix_evap,0.0,0
5.5,P_adj,led_fix_fcg,0.0,0
5.5,P_adj,led_inc_pbl,0.0,0
5.5,P_adj,led_inc_free,0.0,0
5.5,P_adj,led_inc_evap,0.0,0
5.5,P_adj,led_inc_fcg,0.0,0
5.5,P_adj,overclaim,0.0,0
5.5,P_far,rescale,0.0,60
5.5,P_far,empty,0.0,60
5.5,P_far,repair,0.0,60
5.5,P_far,repairnet,0.0,60
5.5,P_far,inc_left,1.1494412308166313e-11,60
5.5,P_far,inc_moved,0.449223360988226,60
5.5,P_far,led_fix_pbl,0.0,60
5.5,P_far,led_fix_free,0.0,60
5.5,P_far,led_fix_evap,0.0,60
5.5,P_far,led_fix_fcg,0.0,60
5.5,P_far,led_inc_pbl,0.3474605220837129,60
5.5,P_far,led_inc_free,0.10965714215874064,60
5.5,P_far,led_inc_evap,0.2620185562677467,60
5.5,P_far,led_inc_fcg,0.00428363178882366,60
5.5,P_far,overclaim,8.160097688926007e-12,60
5.75,N,rescale,0.0,0
5.75,N,empty,0.0,0
5.75,N,repair,0.0,0
5.75,N,repairnet,0.0,0
5.75,N,inc_left,0.0,0
5.75,N,inc_moved,0.0,0
5.75,N,led_fix_pbl,0.0,0
5.75,N,led_fix_free,0.0,0
5.75,N,led_fix_evap,0.0,0
5.75,N,led_fix_fcg,0.0,0
5.75,N,led_inc_pbl,0.0,0
5.75,N,led_inc_free,0.0,0
5.75,N,led_inc_evap,0.0,0
5.75,N,led_inc_fcg,0.0,0
5.75,N,overclaim,0.0,0
5.75,P,rescale,0.0,60
5.75,P,empty,0.0,60
5.75,P,repair,0.0,60
5.75,P,repairnet,0.0,60
5.75,P,inc_left,1.1780024269810148e-11,60
5.75,P,inc_moved,0.2254147383827478,60
5.75,P,led_fix_pbl,0.0,60
5.75,P,led_fix_free,0.0,60
5.75,P,led_fix_evap,0.0,60
5.75,P,led_fix_fcg,0.0,60
5.75,P,led_inc_pbl,0.1702455886416681,60
5.75,P,led_inc_free,0.05932379301373128,60
5.75,P,led_inc_evap,0.13214198458608595,60
5.75,P,led_inc_fcg,0.0024037159888907465,60
5.75,P,overclaim,8.81957159205949e-12,60
5.75,P_adj,rescale,0.0,0
5.75,P_adj,empty,0.0,0
5.75,P_adj,repair,0.0,0
5.75,P_adj,repairnet,0.0,0
5.75,P_adj,inc_left,0.0,0
5.75,P_adj,inc_moved,0.0,0
5.75,P_adj,led_fix_pbl,0.0,0
5.75,P_adj,led_fix_free,0.0,0
5.75,P_adj,led_fix_evap,0.0,0
5.75,P_adj,led_fix_fcg,0.0,0
5.75,P_adj,led_inc_pbl,0.0,0
5.75,P_adj,led_inc_free,0.0,0
5.75,P_adj,led_inc_evap,0.0,0
5.75,P_adj,led_inc_fcg,0.0,0
5.75,P_adj,overclaim,0.0,0
5.75,P_far,rescale,0.0,60
5.75,P_far,empty,0.0,60
5.75,P_far,repair,0.0,60
5.75,P_far,repairnet,0.0,60
5.75,P_far,inc_left,1.1780024269810148e-11,60
5.75,P_far,inc_moved,0.2254147383827478,60
5.75,P_far,led_fix_pbl,0.0,60
5.75,P_far,led_fix_free,0.0,60
5.75,P_far,led_fix_evap,0.0,60
5.75,P_far,led_fix_fcg,0.0,60
5.75,P_far,led_inc_pbl,0.1702455886416681,60
5.75,P_far,led_inc_free,0.05932379301373128,60
5.75,P_far,led_inc_evap,0.13214198458608595,60
5.75,P_far,led_inc_fcg,0.0024037159888907465,60
5.75,P_far,overclaim,8.81957159205949e-12,60
6.0,N,rescale,0.0,0
6.0,N,empty,0.0,0
6.0,N,repair,0.0,0
6.0,N,repairnet,0.0,0
6.0,N,inc_left,0.0,0
6.0,N,inc_moved,0.0,0
6.0,N,led_fix_pbl,0.0,0
6.0,N,led_fix_free,0.0,0
6.0,N,led_fix_evap,0.0,0
6.0,N,led_fix_fcg,0.0,0
6.0,N,led_inc_pbl,0.0,0
6.0,N,led_inc_free,0.0,0
6.0,N,led_inc_evap,0.0,0
6.0,N,led_inc_fcg,0.0,0
6.0,N,overclaim,0.0,0
6.0,P,rescale,0.0,60
6.0,P,empty,0.0,60
6.0,P,repair,0.0,60
6.0,P,repairnet,0.0,60
6.0,P,inc_left,1.1162761504362898e-11,60
6.0,P,inc_moved,0.8238696362917173,60
6.0,P,led_fix_pbl,0.0,60
6.0,P,led_fix_free,0.0,60
6.0,P,led_fix_evap,0.0,60
6.0,P,led_fix_fcg,0.0,60
6.0,P,led_inc_pbl,0.6266970658526794,60
6.0,P,led_inc_free,0.20745899709566815,60
6.0,P,led_inc_evap,0.4909474176053133,60
6.0,P,led_inc_fcg,0.009203773705362265,60
6.0,P,overclaim,9.127053771628693e-12,60
6.0,P_adj,rescale,0.0,0
6.0,P_adj,empty,0.0,0
6.0,P_adj,repair,0.0,0
6.0,P_adj,repairnet,0.0,0
6.0,P_adj,inc_left,0.0,0
6.0,P_adj,inc_moved,0.0,0
6.0,P_adj,led_fix_pbl,0.0,0
6.0,P_adj,led_fix_free,0.0,0
6.0,P_adj,led_fix_evap,0.0,0
6.0,P_adj,led_fix_fcg,0.0,0
6.0,P_adj,led_inc_pbl,0.0,0
6.0,P_adj,led_inc_free,0.0,0
6.0,P_adj,led_inc_evap,0.0,0
6.0,P_adj,led_inc_fcg,0.0,0
6.0,P_adj,overclaim,0.0,0
6.0,P_far,rescale,0.0,60
6.0,P_far,empty,0.0,60
6.0,P_far,repair,0.0,60
6.0,P_far,repairnet,0.0,60
6.0,P_far,inc_left,1.1162761504362898e-11,60
6.0,P_far,inc_moved,0.8238696362917173,60
6.0,P_far,led_fix_pbl,0.0,60
6.0,P_far,led_fix_free,0.0,60
6.0,P_far,led_fix_evap,0.0,60
6.0,P_far,led_fix_fcg,0.0,60
6.0,P_far,led_inc_pbl,0.6266970658526794,60
6.0,P_far,led_inc_free,0.20745899709566815,60
6.0,P_far,led_inc_evap,0.4909474176053133,60
6.0,P_far,led_inc_fcg,0.009203773705362265,60
6.0,P_far,overclaim,9.127053771628693e-12,60
6.25,N,rescale,0.0,0
6.25,N,empty,0.0,0
6.25,N,repair,0.0,0
6.25,N,repairnet,0.0,0
6.25,N,inc_left,0.0,0
6.25,N,inc_moved,0.0,0
6.25,N,led_fix_pbl,0.0,0
6.25,N,led_fix_free,0.0,0
6.25,N,led_fix_evap,0.0,0
6.25,N,led_fix_fcg,0.0,0
6.25,N,led_inc_pbl,0.0,0
6.25,N,led_inc_free,0.0,0
6.25,N,led_inc_evap,0.0,0
6.25,N,led_inc_fcg,0.0,0
6.25,N,overclaim,0.0,0
6.25,P,rescale,0.0,60
6.25,P,empty,0.0,60
6.25,P,repair,0.0,60
6.25,P,repairnet,0.0,60
6.25,P,inc_left,1.130288185282566e-11,60
6.25,P,inc_moved,0.3300104487322935,60
6.25,P,led_fix_pbl,0.0,60
6.25,P,led_fix_free,0.0,60
6.25,P,led_fix_evap,0.0,60
6.25,P,led_fix_fcg,0.0,60
6.25,P,led_inc_pbl,0.25899221969087005,60
6.25,P,led_inc_free,0.07727211172334063,60
6.25,P,led_inc_evap,0.20616799810962144,60
6.25,P,led_inc_fcg,0.00313636272522183,60
6.25,P,overclaim,9.951254235089002e-12,60
6.25,P_adj,rescale,0.0,0
6.25,P_adj,empty,0.0,0
6.25,P_adj,repair,0.0,0
6.25,P_adj,repairnet,0.0,0
6.25,P_adj,inc_left,0.0,0
6.25,P_adj,inc_moved,0.0,0
6.25,P_adj,led_fix_pbl,0.0,0
6.25,P_adj,led_fix_free,0.0,0
6.25,P_adj,led_fix_evap,0.0,0
6.25,P_adj,led_fix_fcg,0.0,0
6.25,P_adj,led_inc_pbl,0.0,0
6.25,P_adj,led_inc_free,0.0,0
6.25,P_adj,led_inc_evap,0.0,0
6.25,P_adj,led_inc_fcg,0.0,0
6.25,P_adj,overclaim,0.0,0
6.25,P_far,rescale,0.0,60
6.25,P_far,empty,0.0,60
6.25,P_far,repair,0.0,60
6.25,P_far,repairnet,0.0,60
6.25,P_far,inc_left,1.130288185282566e-11,60
6.25,P_far,inc_moved,0.3300104487322935,60
6.25,P_far,led_fix_pbl,0.0,60
6.25,P_far,led_fix_free,0.0,60
6.25,P_far,led_fix_evap,0.0,60
6.25,P_far,led_fix_fcg,0.0,60
6.25,P_far,led_inc_pbl,0.25899221969087005,60
6.25,P_far,led_inc_free,0.07727211172334063,60
6.25,P_far,led_inc_evap,0.20616799810962144,60
6.25,P_far,led_inc_fcg,0.00313636272522183,60
6.25,P_far,overclaim,9.951254235089002e-12,60
6.5,N,rescale,0.0,0
6.5,N,empty,0.0,0
6.5,N,repair,0.0,0
6.5,N,repairnet,0.0,0
6.5,N,inc_left,0.0,0
6.5,N,inc_moved,0.0,0
6.5,N,led_fix_pbl,0.0,0
6.5,N,led_fix_free,0.0,0
6.5,N,led_fix_evap,0.0,0
6.5,N,led_fix_fcg,0.0,0
6.5,N,led_inc_pbl,0.0,0
6.5,N,led_inc_free,0.0,0
6.5,N,led_inc_evap,0.0,0
6.5,N,led_inc_fcg,0.0,0
6.5,N,overclaim,0.0,0
6.5,P,rescale,0.0,60
6.5,P,empty,0.0,60
6.5,P,repair,0.0,60
6.5,P,repairnet,0.0,60
6.5,P,inc_left,1.1802287914215317e-11,60
6.5,P,inc_moved,0.29409051904360156,60
6.5,P,led_fix_pbl,0.0,60
6.5,P,led_fix_free,0.0,60
6.5,P,led_fix_evap,0.0,60
6.5,P,led_fix_fcg,0.0,60
6.5,P,led_inc_pbl,0.23492871108147056,60
6.5,P,led_inc_free,0.06344083164504818,60
6.5,P,led_inc_evap,0.18958211373646666,60
6.5,P,led_inc_fcg,0.002586791537807651,60
6.5,P,overclaim,1.043057797599027e-11,60
6.5,P_adj,rescale,0.0,0
6.5,P_adj,empty,0.0,0
6.5,P_adj,repair,0.0,0
6.5,P_adj,repairnet,0.0,0
6.5,P_adj,inc_left,0.0,0
6.5,P_adj,inc_moved,0.0,0
6.5,P_adj,led_fix_pbl,0.0,0
6.5,P_adj,led_fix_free,0.0,0
6.5,P_adj,led_fix_evap,0.0,0
6.5,P_adj,led_fix_fcg,0.0,0
6.5,P_adj,led_inc_pbl,0.0,0
6.5,P_adj,led_inc_free,0.0,0
6.5,P_adj,led_inc_evap,0.0,0
6.5,P_adj,led_inc_fcg,0.0,0
6.5,P_adj,overclaim,0.0,0
6.5,P_far,rescale,0.0,60
6.5,P_far,empty,0.0,60
6.5,P_far,repair,0.0,60
6.5,P_far,repairnet,0.0,60
6.5,P_far,inc_left,1.1802287914215317e-11,60
6.5,P_far,inc_moved,0.29409051904360156,60
6.5,P_far,led_fix_pbl,0.0,60
6.5,P_far,led_fix_free,0.0,60
6.5,P_far,led_fix_evap,0.0,60
6.5,P_far,led_fix_fcg,0.0,60
6.5,P_far,led_inc_pbl,0.23492871108147056,60
6.5,P_far,led_inc_free,0.06344083164504818,60
6.5,P_far,led_inc_evap,0.18958211373646666,60
6.5,P_far,led_inc_fcg,0.002586791537807651,60
6.5,P_far,overclaim,1.043057797599027e-11,60
6.75,N,rescale,0.0,0
6.75,N,empty,0.0,0
6.75,N,repair,0.0,0
6.75,N,repairnet,0.0,0
6.75,N,inc_left,0.0,0
6.75,N,inc_moved,0.0,0
6.75,N,led_fix_pbl,0.0,0
6.75,N,led_fix_free,0.0,0
6.75,N,led_fix_evap,0.0,0
6.75,N,led_fix_fcg,0.0,0
6.75,N,led_inc_pbl,0.0,0
6.75,N,led_inc_free,0.0,0
6.75,N,led_inc_evap,0.0,0
6.75,N,led_inc_fcg,0.0,0
6.75,N,overclaim,0.0,0
6.75,P,rescale,0.0,60
6.75,P,empty,0.0,60
6.75,P,repair,0.0,60
6.75,P,repairnet,0.0,60
6.75,P,inc_left,1.0954895573208341e-11,60
6.75,P,inc_moved,0.5629430861444096,60
6.75,P,led_fix_pbl,0.0,60
6.75,P,led_fix_free,0.0,60
6.75,P,led_fix_evap,0.0,60
6.75,P,led_fix_fcg,0.0,60
6.75,P,led_inc_pbl,0.4454506155093667,60
6.75,P,led_inc_free,0.12464946374621838,60
6.75,P,led_inc_evap,0.36783848035727507,60
