t,signed,gross,max_abs_u3,int_rhoe
0.0,1.7570687205997393e6,1.2629971883994274e7,0.0,-9.63119002647646e22
400.0,-1.676154733424919e17,4.152976050856664e19,5593.890369077905,-9.632229853746639e22
800.0,-2.6316889589146928e17,4.238772209941067e19,942.3212595974974,-9.633341873802877e22
1200.0,-2.565504278045602e17,4.2390492666846085e19,87.53875495644911,-9.634448296274343e22
1600.0,-2.5836142371907936e17,4.240150947384387e19,46.06802164798183,-9.635551197694575e22
2000.0,-2.589251229089438e17,4.241021505116309e19,18.688832406377514,-9.636651607778707e22
2400.0,-2.5877089016547357e17,4.24187809499269e19,14.321052367567063,-9.637748369253454e22
2800.0,-2.5874277016796918e17,4.242767009849982e19,13.708671381247768,-9.638841212301545e22
3200.0,-2.5870554463794208e17,4.243685446131538e19,13.235700465909304,-9.639929993136286e22
3600.0,-2.5866203656994214e17,4.2446362175886746e19,12.502363970454098,-9.641014603580024e22
4000.0,-2.58563386908152e17,4.2456058788894835e19,12.024104845701004,-9.642107475024095e22
4400.0,-2.5852258802019667e17,4.246592568217705e19,11.478000066838604,-9.643196292718198e22
4800.0,-2.5848019684577856e17,4.247593500256346e19,10.827183451911878,-9.64428106647031e22
5200.0,-2.5843644655585696e17,4.248607167303404e19,10.543907816764658,-9.645361839677725e22
5600.0,-2.5839133764765914e17,4.249656654979583e19,10.375882456068272,-9.646438732027829e22
6000.0,-2.5834482889417466e17,4.2507329962954695e19,14.066768904137758,-9.647511799610728e22
6400.0,-2.5829771179614986e17,4.2518388287205695e19,17.207568545585932,-9.648581071506702e22
6800.0,-2.5825064460390403e17,4.252975772602798e19,19.008391848633593,-9.649646522610705e22
7200.0,-2.5820333457842605e17,4.254135929899917e19,19.05699841258849,-9.650708156156634e22
