day, max_abs_res, max_abs_e_tot, ratio, q99_ratio
0.0, 1.3844868410309071e-11, 112313.42859456438, 1.2326992937137634e-16, 5.87349768431702e-17
1.0, 4092.822540301604, 109616.2391042151, 0.03733773913197704, 0.03718298750241121
2.0, 5577.182816808026, 109519.49737993846, 0.050924108950756025, 0.05067549383166769
3.0, 6406.485001444089, 109412.53576686725, 0.0585534825286823, 0.058216884383350896
4.0, 6941.659193482356, 109332.96446823583, 0.06349099951002513, 0.06310155517383205
5.0, 7324.4904044527075, 109226.35776292779, 0.06705790208944139, 0.06662237101821826
6.0, 7628.807586307018, 109122.80967711426, 0.06991029289733333, 0.06941357022360421
7.0, 7853.233537205836, 109034.63141554722, 0.07202513032098942, 0.07150717531497446
8.0, 9281.76975095643, 108973.78819627699, 0.08517433324643783, 0.07318879806400921
9.0, 27482.866034966024, 108967.5787656581, 0.25221140403669723, 0.1348417983978391
10.0, 17278.020709664495, 108856.53350693802, 0.15872286350697795, 0.11610029478810698
