# process_record_extrema.csv, from analysis/reduce_run.jl
# run: v3_sphere_float32
# generated: 1789383371 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# min and max of every e_prc_<process>. A record is a signed running total of what a process applied, not a share of what is present, so it is not comparable with a tag value directly.
time,geometry,remapped,min_e_prc_radiation,min_e_prc_surface_flux,min_e_prc_microphysics,max_e_prc_radiation,max_e_prc_surface_flux,max_e_prc_microphysics
0.0,sphere,true,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,sphere,true,-378.0904541015625,-902.4212036132812,-0.004920511972159147,308.66094970703125,1069.5947265625,2.293433666229248
7200.0,sphere,true,-721.2915649414062,-1722.412353515625,-0.009048773907124996,597.7020263671875,2109.681640625,2.302197217941284
10800.0,sphere,true,-1022.3948974609375,-2470.402587890625,-0.015503357164561749,870.946533203125,3122.0498046875,3.0219902992248535
14400.0,sphere,true,-1285.9583740234375,-3174.80078125,-0.021144144237041473,1128.7679443359375,4108.57763671875,24.608747482299805
18000.0,sphere,true,-1515.757080078125,-3848.17626953125,-0.025648068636655807,1371.92724609375,5069.20947265625,43.90949249267578
21600.0,sphere,true,-1714.950927734375,-4485.640625,-0.028791481629014015,1599.318603515625,6003.90966796875,61.91244888305664
25200.0,sphere,true,-1886.240478515625,-5092.31396484375,-0.030452115461230278,1810.378662109375,6912.0517578125,78.54273223876953
28800.0,sphere,true,-2032.20849609375,-5674.73193359375,-0.030600791797041893,2005.3914794921875,7793.3427734375,93.96845245361328
32400.0,sphere,true,-2155.243408203125,-6246.580078125,-0.029756750911474228,2184.950927734375,8648.1708984375,108.27930450439453
36000.0,sphere,true,-2257.49462890625,-6855.22412109375,-0.03200782835483551,2349.468505859375,9477.7802734375,121.91703796386719
39600.0,sphere,true,-2340.929443359375,-7465.67431640625,-0.03552854806184769,2499.310791015625,10283.7509765625,135.09732055664062
43200.0,sphere,true,-2407.4287109375,-8067.28369140625,-0.040726859122514725,2634.922607421875,11067.2099609375,147.57530212402344
46800.0,sphere,true,-2458.788330078125,-8648.171875,-0.045650042593479156,2756.71240234375,11828.625,159.3675994873047
50400.0,sphere,true,-2496.65869140625,-9198.8935546875,-0.050006069242954254,2865.12744140625,12568.125,170.3826446533203
54000.0,sphere,true,-2522.46044921875,-9715.9677734375,-0.0543966107070446,2961.54736328125,13285.94921875,180.82777404785156
57600.0,sphere,true,-2537.39306640625,-10197.5029296875,-0.058271341025829315,3046.2890625,13983.2109375,191.14077758789062
61200.0,sphere,true,-2542.530517578125,-10644.4931640625,-0.061465296894311905,3119.83935546875,14660.9140625,201.77159118652344
64800.0,sphere,true,-2538.89013671875,-11059.4228515625,-0.0651271641254425,3182.96240234375,15319.3447265625,212.40074157714844
68400.0,sphere,true,-2527.305419921875,-11446.744140625,-0.06789436936378479,3236.07666015625,15958.4873046875,222.868408203125
72000.0,sphere,true,-2508.3515625,-11811.54296875,-0.07143332809209824,3279.451171875,16578.31640625,233.03736877441406
75600.0,sphere,true,-2482.428955078125,-12158.66015625,-0.07344181090593338,3313.31298828125,17179.271484375,242.89593505859375
79200.0,sphere,true,-2449.78662109375,-12492.232421875,-0.07368413358926773,3337.77099609375,17762.37890625,252.45175170898438
82800.0,sphere,true,-2410.7861328125,-12815.498046875,-0.07200871407985687,3352.941650390625,18328.4765625,261.6750793457031
86400.0,sphere,true,-2365.91943359375,-13131.21484375,-0.06835416704416275,3359.154296875,18878.46484375,270.5556945800781
