time,form_a_max,form_a_relative,initial_min_extratropics,initial_min_tropics
0.0,0.0,0.0,0.0006903238,0.0
3600.0,0.040161133,2.9839768e-5,-5397.279,-4589.6196
7200.0,0.13548279,5.1322782e-5,-8105.135,-7620.275
10800.0,0.30548096,7.862306e-5,-9274.319,-9561.776
14400.0,0.57196045,0.00011222785,-9616.6045,-10732.436
18000.0,0.91778564,0.0001465698,-9582.311,-11367.749
21600.0,1.3311768,0.0001803769,-9295.948,-11630.339
25200.0,1.800415,0.00021296389,-8874.348,-11637.945
28800.0,2.3451538,0.00024722936,-8387.769,-11470.19
32400.0,2.9816284,0.00028464734,-7884.013,-11198.863
36000.0,3.6801758,0.00032216564,-7399.136,-10932.04
39600.0,4.4416504,0.00036014582,-6923.238,-10598.662
43200.0,5.2718506,0.0003992241,-6456.798,-10217.664
46800.0,6.183716,0.0004403999,-5992.136,-9805.691
50400.0,7.1766357,0.00048355633,-5519.69,-9378.966
54000.0,8.228882,0.0005272508,-5508.202,-8952.751
57600.0,9.3203125,0.00057038316,-5745.525,-8540.421
61200.0,10.461548,0.00061382935,-5980.359,-8151.9937
64800.0,11.682007,0.0006593916,-6198.1885,-7792.4165
68400.0,13.006348,0.00070835854,-6451.7466,-7457.902
72000.0,14.402832,0.0007589004,-6682.925,-7139.044
75600.0,15.844727,0.0008096829,-6886.349,-6969.1025
79200.0,17.29712,0.0008590937,-7063.9478,-7204.258
82800.0,18.752197,0.0009069338,-7218.064,-7431.0405
86400.0,20.2146,0.00095360616,-7352.097,-7653.504
