time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,repair_gross,repair_gross_relative,repair_events,increment_left,increment_left_relative,increment_left_net_abs,increment_left_net_abs_relative,increment_moved_net_abs,increment_moved_net_abs_relative
0.0,4.111511009645985e-9,3.686863348880568e-18,3.1401742667767635e-9,2.8158488171661283e-18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21600.0,3.1313024233630195e-5,2.8078341410873884e-14,3.3697677633900516e-5,3.021665650365497e-14,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.542891546145018e-226,12984.499993339123,1.164318148072402e-5,12984.499993339123,1.164318148072402e-5,1010.0,-1.068931610300896e-6,-9.585093562016566e-16,6.661623347231768e-5,5.973467567317665e-14,1.625113832434306e7,0.014572371125244737
43200.0,5.8226041851867154e-5,5.215616087125013e-14,6.023412005163884e-5,5.395490326036522e-14,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,8.346778786670404e-56,15717.478791550859,1.4078981264571414e-5,15717.478791550859,1.4078981264571414e-5,1446.0,1.2379370772890644e-6,1.1088860464847686e-15,0.00011903000463305859,1.0662150255622045e-13,2.405797215909315e7,0.02155000453848439
64800.0,8.724376784991263e-5,7.807064539429985e-14,8.716026037414955e-5,7.799591819385055e-14,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.274287235597427e-53,15717.478791550859,1.4064886735962132e-5,15717.478791550859,1.4064886735962132e-5,1446.0,3.3805745304380173e-6,3.0251288074680793e-15,0.00017352771435477036,1.552823885000079e-13,2.831716965492119e7,0.02533980094145824
86400.0,0.00010924560326463152,9.765424657428188e-14,0.00011093156183931266,9.916131879912115e-14,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,19059.448530748734,1.7037171572781732e-5,19059.448530748734,1.7037171572781732e-5,2355.0,4.383128024165074e-6,3.918062164951557e-15,0.00021858169687042833,1.9538938213470757e-13,3.2132605064625204e7,0.02872321854870314
108000.0,0.00012971996549679616,1.1581491097219508e-13,0.0001272822483102624,1.1363849967072298e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.400683474676958e-44,24710.321531473153,2.2061551414246716e-5,24710.321531473157,2.206155141424672e-5,3000.0,9.80988860316683e-6,8.758338555455274e-15,0.0002560957541611767,2.28644117001915e-13,3.6267947731603146e7,0.032380282569405894
129600.0,0.00013870279773387816,1.2364440851326701e-13,0.00013745465342849294,1.2253177007410118e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,90800.81328239122,8.094294444129057e-5,90800.81328239122,8.094294444129057e-5,4001.0,1.0201725012703935e-5,9.094165911713878e-15,0.000277991139032501,2.478107905476487e-13,3.805235089545039e7,0.033921164503360725
151200.0,0.00016365574354025543,1.458370617296894e-13,0.00015906281727102946,1.4174420890732414e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.767337917794323e-32,161293.78319124447,0.00014373226937856084,161293.78319124447,0.00014373226937856084,4678.0,1.4060571127832313e-5,1.252966950726042e-14,0.00032568769450846155,2.902271278792456e-13,4.388332936006522e7,0.039105354168116446
172800.0,0.0001779726444990735,1.5855747929212992e-13,0.00018010143666328756,1.6045403997113008e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.959060594883982e-30,161293.78319124447,0.00014369812709294304,161293.78319124447,0.00014369812709294304,4678.0,8.936661393985963e-6,7.961754503934917e-15,0.00036156476116695963,3.2212139844779653e-13,4.5698295967351735e7,0.040713035629285806
194400.0,0.00020712662855036938,1.8453632397358714e-13,0.00020903117179945862,1.8623314785613383e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.401192156675508e-30,161293.78319124447,0.00014370224648670328,161293.78319124447,0.00014370224648670328,4678.0,7.722892181406319e-6,6.88059349768496e-15,0.0004219576046678463,3.759367194023959e-13,4.7911364631393604e7,0.042685902665023354
216000.0,0.00022431718478904098,1.9965082374141752e-13,0.00022373580637768506,1.9913337484938614e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,6.885269615388868e-30,161293.78319124447,0.00014355759996179666,161293.78319124447,0.00014355759996179666,4678.0,7.951933254034545e-6,7.077522954818798e-15,0.0004541970842779255,4.042526750784547e-13,5.023411281882589e7,0.044710270475398155
237600.0,0.00023268143497797464,2.068175208708177e-13,0.00023495944260694228,2.088423145136474e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.686538169766871e-28,161293.78319124447,0.00014336502770255827,161293.78319124447,0.00014336502770255827,4678.0,5.67221067879555e-6,5.041711000950803e-15,0.00047697026390519567,4.2395220538033014e-13,5.262239239535293e7,0.04677310305623849
259200.0,0.00024008204085190768,2.1331299116841362e-13,0.000248589228686983,2.208716310279058e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,6.787334385319358e-27,161293.78319124447,0.00014330959211820846,161293.78319124447,0.00014330959211820846,4678.0,-1.671670567082224e-6,-1.4852799803233345e-15,0.0005012878869341722,4.453944918952988e-13,5.445038920060616e7,0.0483791930019046
280800.0,0.00026032914930125306,2.3136786661821625e-13,0.0002720777598084033,2.4180945933291506e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.627539136609772e-25,161293.78319124447,0.0001433500574787908,161293.78319124447,0.0001433500574787908,4678.0,-5.087313582691931e-6,-4.5213564965912985e-15,0.0005461663232485214,4.854060229824492e-13,5.627471879538642e7,0.05001422878373736
302400.0,0.0002744676297734972,2.439171245337125e-13,0.00029069177547655774,2.5833538934392816e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.7610032220904755e-25,161293.78319124447,0.00014334045815763197,161293.78319124447,0.00014334045815763197,4678.0,-6.535206903577646e-6,-5.807784610043107e-15,0.0005844186022238327,5.19368003782767e-13,5.908075284646018e7,0.05250457899712236
324000.0,0.0002955898295742095,2.626528693752483e-13,0.0003121351650219836,2.773545924906672e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.929622966411351e-24,161293.78319124447,0.0001433211522486898,161293.78319124447,0.0001433211522486898,4678.0,-2.8843946849965275e-6,-2.56299258170131e-15,0.0006271532784416508,5.572708924325112e-13,6.1670412094140776e7,0.05479860628294558
345600.0,0.00030980175968554257,2.7512482134775233e-13,0.0003277368279361982,2.9105236951058365e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.4262197308706945e-22,161293.78319124447,0.00014323973927726243,161293.78319124447,0.00014323973927726243,4678.0,-3.7021895471513116e-6,-3.287793583836941e-15,0.0006615633677921519,5.875128132221744e-13,7.115097159213363e7,0.06318685332153808
367200.0,0.00032718534964153753,2.9066007932226295e-13,0.00034473930374182677,3.0625440130764345e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.697437751080925e-22,161293.78319124447,0.00014328778433361487,161293.78319124447,0.00014328778433361487,4678.0,-2.6110416783474007e-6,-2.3195585687857502e-15,0.0007006097702370728,6.223973402665068e-13,7.302140642733619e7,0.06486967649268552
388800.0,0.00033809437598933336,3.0045227204856257e-13,0.00036017161409877173,3.2007151691511174e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.1241677796695642e-21,161293.78319124447,0.00014333596495153344,161293.78319124447,0.00014333596495153344,4678.0,-7.3871136830247644e-6,-6.564661371403109e-15,0.0007280535055108763,6.469948790587535e-13,7.288900504600655e7,0.06477382863689732
410400.0,0.000363632645381873,3.2326589909514075e-13,0.0003833402054230957,3.407857290570711e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.175323317250284e-21,161293.78319124447,0.00014338861074208038,161293.78319124447,0.00014338861074208038,4678.0,-5.236008040197878e-6,-4.6547604245114615e-15,0.0007785532942567302,6.921263364489214e-13,7.791207748748398e7,0.06926308212210178
432000.0,0.00037555771528280304,3.3370442188128197e-13,0.00039818157720881064,3.5380701186283846e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.229812829232277e-21,161293.78319124447,0.00014331871369583794,161293.78319124447,0.00014331871369583794,4678.0,-6.8922658367761314e-6,-6.124170780998481e-15,0.0008083570956584083,7.182713236957254e-13,7.668260691166194e7,0.0681368640996669
453600.0,0.00037854283962248297,3.360488052677337e-13,0.0004034447117511708,3.5815527117294273e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.444953854642383e-21,161293.78319124447,0.00014318744793214493,161293.78319124447,0.00014318744793214493,4678.0,-7.741515712789092e-6,-6.872477389451191e-15,0.0008185444621853267,7.266572228660412e-13,7.795501047911954e7,0.06920402499824718
