time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,exchange_volume_fraction,bound_partition,bound_evap,bound_fcg,fix_gross,fix_gross_relative,fix_events,increment_left,increment_left_relative,increment_left_net_abs,increment_left_net_abs_relative,increment_moved_net_abs,increment_moved_net_abs_relative
0.0,3.568647193497274e-16,6.782330168462964e-18,3.614943430337272e-16,6.870317673750229e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21600.0,2.538461256506228e-12,4.4972164878821175e-14,1.8701676258251754e-12,3.31324681848407e-14,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.025420393275557847,0.0,0.0,0.0,0.0,1.4089088960559484e-13,2.4960665840483582e-15,4.735685851401308e-12,8.389887550091815e-14,0.1857256896051639,0.0032903737702311875
43200.0,4.146266075128942e-12,7.142367221921954e-14,3.099698707813231e-12,5.3395479323720355e-14,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.0,0.0,0.0,0.0,0.0,4.120144763702212e-13,7.097370592388938e-15,7.81729018182215e-12,1.3466081565246026e-13,0.2462555245861332,0.0042420031786466975
64800.0,5.9946202927994816e-12,9.94917517502582e-14,4.9089861123035776e-12,8.147365534017646e-14,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.0,0.0,0.0,0.0,0.0,4.361649157172423e-13,7.238959166243844e-15,1.1604577045528746e-11,1.925993044075378e-13,0.31494570706229585,0.0052271033979398715
86400.0,7.216517461249321e-12,1.179516010437717e-13,5.319681567804134e-12,8.694844311468106e-14,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.0,0.0,0.0,0.0,0.0,1.1551262578529052e-12,1.8880158227714376e-14,1.3009974050381905e-11,2.1264374083767668e-13,0.32422817094623674,0.005299402665060783
108000.0,8.16461394499792e-12,1.3135160650140003e-13,5.664721430090955e-12,9.113355086203586e-14,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.0,0.0,0.0,0.0,0.0,1.8089140656364998e-12,2.9101653813025913e-14,1.4004056096909137e-11,2.2529604929963528e-13,0.3398788619616383,0.005467941881303507
129600.0,1.0203252084874921e-11,1.7038182503822292e-13,4.971616418781113e-12,8.301991088484453e-14,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.0,0.0,0.0,0.0,0.0,4.4323775338420174e-12,7.40152813232859e-14,1.4928291047199394e-11,2.492841941143491e-13,0.32936472965229285,0.005499987971929686
151200.0,1.2023227896317738e-11,1.9833414697778824e-13,5.6320696333680685e-12,9.29061426836686e-14,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.0,0.0,0.0,0.0,0.0,5.436140541722863e-12,8.967411301620418e-14,1.7508470454109534e-11,2.8881824268382434e-13,0.3555389544625923,0.005864940418563404
172800.0,1.3004255569578544e-11,2.1552389151021778e-13,6.416088247315687e-12,1.0633598362749383e-13,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.0,0.0,0.0,0.0,0.0,5.369953372763983e-12,8.899803929061211e-14,1.909074811069226e-11,3.1639737489341587e-13,0.3645142770051971,0.006041217436158069
194400.0,1.4298287238208576e-11,2.30134609561117e-13,7.603180596560884e-12,1.2237514667745795e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5195760657505326e-12,8.88389960050581e-14,2.1548995018126126e-11,3.4683661562475663e-13,0.4017729687516425,0.006466639238354998
216000.0,1.544487652932741e-11,2.451091677767512e-13,7.750180696626373e-12,1.2299485444654814e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.324699312859435e-12,1.0037255928006283e-13,2.2503958312223995e-11,3.571363282262596e-13,0.40982442846826017,0.006503886541643491
237600.0,1.5618800499559273e-11,2.5128468372053615e-13,7.344900777986578e-12,1.1816919417129103e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.921165420082801e-12,1.1135188413553871e-13,2.2343962424827148e-11,3.5948314540189356e-13,0.4005910985322856,0.006444951230332187
259200.0,1.674697967748848e-11,2.707069728802485e-13,7.506929906387439e-12,1.2134595668698592e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.779778788226143e-12,1.2575642927838716e-13,2.3867935354080737e-11,3.858138394524903e-13,0.4145803132855747,0.006701493868541789
280800.0,1.8081193232155988e-11,2.9162500064020885e-13,8.989565419555617e-12,1.449894366800321e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.496519624537249e-12,1.2090864315398589e-13,2.6626337672381698e-11,4.294465327070036e-13,0.4435452908167113,0.007153780951156926
302400.0,1.836001553812748e-11,2.92931936884322e-13,9.709665423887605e-12,1.5491659542507185e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.819032007094493e-12,1.0879687162389516e-13,2.752769751605485e-11,4.392012487461163e-13,0.472279377008565,0.00753516315769685
324000.0,1.9143700655519996e-11,3.042245652161783e-13,1.1227394046098327e-11,1.7842156715922562e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15777346207979e-12,9.785704383445709e-14,2.9868643479137973e-11,4.74661364568384e-13,0.5076308845632425,0.008067081068885507
345600.0,1.9323509048596067e-11,3.208932289713757e-13,1.114192951323224e-11,1.8502693943843124e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.274370369230453e-12,1.0419447950583102e-13,3.0017476185582843e-11,4.984811420399281e-13,0.5127893430062757,0.008515566590186653
367200.0,2.071031959770109e-11,3.343577817731251e-13,1.2365064922018447e-11,1.9962780677057704e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.221738612056623e-12,1.0044686714203932e-13,3.261491225787193e-11,5.265514935113633e-13,0.5458404717110589,0.00881232220788928
388800.0,2.2788336928964966e-11,3.7237166136817217e-13,1.2129965261799554e-11,1.9820908085369743e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.531197341932364e-12,1.394035965668591e-13,3.466759589299251e-11,5.664840887052996e-13,0.5835823776824689,0.009535998181885719
410400.0,2.2989107698309467e-11,3.6581756102042703e-13,1.3271664333742855e-11,2.1118731274675008e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.565818335107745e-12,1.2039219820072746e-13,3.6139150701617805e-11,5.75069556439881e-13,0.5900571469324996,0.009389371226852435
432000.0,2.364851739896687e-11,3.6746308894940895e-13,1.4167754488173223e-11,2.2014601337876782e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.310894272715316e-12,1.1360051656142623e-13,3.773261734647926e-11,5.863092341209117e-13,0.6019381908820725,0.009353231885386962
453600.0,2.3174406570169983e-11,3.556141933219842e-13,1.4148718044883856e-11,2.1711386390139906e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.747915315900274e-12,1.0354761207813473e-13,3.724711692991597e-11,5.71561709703125e-13,0.587150196811356,0.009009893865704416
475200.0,2.235674815270513e-11,3.4764471273491164e-13,1.550907758149351e-11,2.411642687825058e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5229240722276725e-12,7.033091883808477e-14,3.7747842892446637e-11,5.869743626878646e-13,0.5922354094916095,0.009209188536627196
496800.0,2.2144450004357986e-11,3.475486755925907e-13,1.546719473666623e-11,2.4275170730377724e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.436790491125727e-12,6.963373029219889e-14,3.763889505742993e-11,5.907280661928337e-13,0.5613583612201545,0.008810304836493869
518400.0,2.456506353064048e-11,3.9041997990461003e-13,1.5215655624374944e-11,2.418270140312984e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91153552548604e-12,1.09847123236807e-13,3.993957266838614e-11,6.347717008401106e-13,0.544327757341083,0.008651165579830526
540000.0,2.6576818333783322e-11,4.065488838719617e-13,1.734346058372217e-11,2.6530506602540614e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.569078028978321e-12,1.0048800075342892e-13,4.388964393050645e-11,6.713853227044709e-13,0.5825180113679493,0.00891085021474961
561600.0,2.5880005447824367e-11,3.9596435692243503e-13,1.827263462859017e-11,2.7957150297263827e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.932334344931296e-12,7.546476761585628e-14,4.4201039391278995e-11,6.762763699241159e-13,0.6165346751495981,0.009432987047014542
583200.0,2.6329373039486757e-11,4.0966789412906875e-13,1.9272181755008494e-11,2.9986259463931744e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.603203646494964e-12,7.162285031545142e-14,4.575952980617418e-11,7.119884770487172e-13,0.6277139501033844,0.009766820184765993
604800.0,2.7517496560975653e-11,4.296098874939441e-13,1.894420008688436e-11,2.9576148578613993e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.054532057552385e-12,9.452483551001249e-14,4.650900872180296e-11,7.261100209517098e-13,0.6185702695283902,0.00965727035925423
626400.0,2.8369529120289497e-11,4.4805678790535417e-13,1.9726327626917073e-11,3.115495839289037e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.866624277922953e-12,9.265507434643324e-14,4.834751065722147e-11,7.635808911894085e-13,0.6530145215111788,0.010313445377371312
648000.0,3.0988911679305236e-11,4.941747326523724e-13,1.9060452370844135e-11,3.0395368679195747e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.833878196042677e-12,1.408723042935493e-13,5.0329694274981196e-11,8.025987963115225e-13,0.6900428223015975,0.011003991710276984
669600.0,2.987192061699447e-11,4.707810549856537e-13,2.147344525179355e-11,3.3842119960859673e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3602988601097144e-12,8.447823575713391e-14,5.1834524774796425e-11,8.169113921746192e-13,0.7169850245010696,0.011299674050803961
691200.0,2.762974710106529e-11,4.359148028857021e-13,2.3498059283212638e-11,3.7072912188339376e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.325884316106646e-13,1.4713457233322807e-14,5.154235633686248e-11,8.131842836151675e-13,0.709081021447587,0.011187178534920416
712800.0,2.805151914548927e-11,4.45608796741017e-13,2.4438645579907914e-11,3.8821695874514094e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.917462061055682e-13,6.22303393356973e-15,5.3099916232513284e-11,8.435118845684297e-13,0.7326278922086419,0.011638066081654496
734400.0,2.7265174842692113e-11,4.28100336827983e-13,2.75320053487299e-11,4.322899387714811e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.402178975773825e-12,-5.341883827560473e-14,5.5462058613229475e-11,8.708297713286368e-13,0.7572970376408128,0.011890593724901815
756000.0,2.5802853655892794e-11,4.1406887937034796e-13,2.81802751515767e-11,4.5222032833940387e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.563806368680124e-12,-8.928466203143573e-14,5.4539288642178866e-11,8.752141306109177e-13,0.6957103172779846,0.011164346210826768
777600.0,2.578341909714687e-11,4.099595884256602e-13,2.9563884743933814e-11,4.700694650395661e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.9647306181636704e-12,-1.1074008792084244e-13,5.71187087170961e-11,9.081946125468319e-13,0.7037236731764513,0.01118929441955727
799200.0,2.610299356676982e-11,4.072066329112388e-13,3.2608351273404126e-11,5.086901965042686e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.751760957328782e-12,-1.5212744600467414e-13,6.075210965174386e-11,9.477327552589338e-13,0.7395966070899914,0.0115377051798799
820800.0,2.652585515736782e-11,4.070862142133235e-13,3.4152889135688536e-11,5.241365550785286e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0927108531909946e-11,-1.6769582801999784e-13,6.246113455400113e-11,9.585767037559467e-13,0.7506085051966686,0.011519416543747527
842400.0,2.7169253531548352e-11,4.340140581434693e-13,3.319991105628747e-11,5.303505343203438e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.426506816191304e-12,-1.5058332289702426e-13,6.260960573972285e-11,1.0001544221414305e-12,0.7576265591524471,0.012102672497542393
864000.0,2.824230565304498e-11,4.3340409673068565e-13,3.5145247993746753e-11,5.393360814173996e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.061863289352656e-11,-1.629526659144218e-13,6.530893183443075e-11,1.0022254895855369e-12,0.7913968908302013,0.012144711513266836
885600.0,2.735526612292046e-11,4.2592263887869756e-13,3.7118207510807243e-11,5.779320450552534e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3519085552046383e-11,-2.1049272807950782e-13,6.705810737159372e-11,1.044097539449234e-12,0.8042988443704395,0.01252296668224742
907200.0,2.7290280843952378e-11,4.241992239796578e-13,3.910103005275361e-11,6.077851195459212e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.563845167019894e-11,-2.430835761886947e-13,6.970367844486194e-11,1.08347167527924e-12,0.8220703192527131,0.012778233887651192
928800.0,2.8553589626893973e-11,4.3301517977536674e-13,3.884513572224853e-11,5.890864738185174e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4270748993462555e-11,-2.1641590502908393e-13,7.045021061334861e-11,1.0683774268864145e-12,0.8320218192603809,0.012617610687544653
950400.0,2.9485719130724274e-11,4.743629685694974e-13,3.761538416427615e-11,6.051521150608547e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2282799516923883e-11,-1.9760431195048432e-13,7.06773222791557e-11,1.137048896730091e-12,0.8457276404861863,0.01360597217804569
972000.0,3.524532582898816e-11,5.832703384469452e-13,3.363469523674923e-11,5.566162210979845e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.663195220715778e-12,-4.4072873244927896e-14,7.128144515084356e-11,1.179627416124627e-12,0.8613468168223108,0.014254317063369057
993600.0,3.5724759921277294e-11,5.688652358031838e-13,3.532027349048323e-11,5.624243732378399e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.927655168566244e-12,-6.254223929127934e-14,7.433002365725348e-11,1.1835983370697465e-12,0.9212290013290629,0.014669242122958736
1.0152e6,2.667197904681997e-11,4.3584705325389434e-13,4.2298364992680626e-11,6.911979687429892e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9847196892583252e-11,-3.243232257267995e-13,7.42826603005931e-11,1.2138536305476604e-12,0.9094849320208257,0.014861901582340836
1.0368e6,2.7099452192752892e-11,4.3802460042257465e-13,4.422051415175301e-11,7.147625311401085e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1105167515204763e-11,-3.4113540384300885e-13,7.726166052382495e-11,1.2488262765689194e-12,0.9490748194342097,0.015340462072697207
1.0584e6,2.6968892181926855e-11,4.2571083446852905e-13,4.681026366395875e-11,7.389119386754123e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3725159945938454e-11,-3.745076946561903e-13,8.072501461069308e-11,1.2742649234747701e-12,1.0101196870675646,0.015944996627736848
1.08e6,2.5659351316247726e-11,4.1987809880686935e-13,4.8024415192909306e-11,7.858499577400546e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6346604267133545e-11,-4.3112399738243574e-13,8.114988715360189e-11,1.3279003010053098e-12,1.0029800851192527,0.0164123155761292
1.1016e6,2.5546027571999803e-11,4.0763451204832367e-13,5.042173606442168e-11,8.045728330684999e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8807841385652975e-11,-4.596828345741459e-13,8.431244452759462e-11,1.3453622911719472e-12,1.0457901619667416,0.016687532383528166
1.1232e6,2.5853925909892277e-11,4.0637742887486044e-13,5.2024644262007376e-11,8.177342677861766e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0363222801634766e-11,-4.772555029935214e-13,8.618034498486835e-11,1.3546007340068685e-12,1.077171915344161,0.01693121404228519
1.1448e6,2.6597901809812903e-11,4.153934906564791e-13,5.2231520921173135e-11,8.15727268747882e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.006073481227088e-11,-4.694743839065167e-13,8.683918817184451e-11,1.3562134997869995e-12,1.0777977120074345,0.016832536529146774
1.1664e6,2.568209040463002e-11,4.005825906991124e-13,5.43655553635689e-11,8.479798438996341e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.320042599492375e-11,-5.178516408836815e-13,8.864384218730112e-11,1.3826436786668536e-12,1.0923905429128078,0.01703882459880806
1.188e6,2.601396673517253e-11,4.1767937868557444e-13,5.2770444828683606e-11,8.472804948737386e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.103972529080275e-11,-4.983727897408423e-13,8.77058690664176e-11,1.4082024964385614e-12,1.095865073231551,0.01759517291500604
1.2096e6,2.6606688416774286e-11,4.2469523163809636e-13,5.510191987435566e-11,8.795353355583225e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.307519418948279e-11,-5.279453435821613e-13,9.112342061391996e-11,1.4545095435810067e-12,1.127381086568638,0.017995226020041617
1.2312e6,2.731116309742279e-11,4.222024185264261e-13,5.5681030706906634e-11,8.607713170853045e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.308358011921842e-11,-5.114380332328245e-13,9.183026373757524e-11,1.4196011830628495e-12,1.1392382318185073,0.01761144829444966
1.2528e6,2.6518771086721267e-11,4.3394061130184617e-13,5.4830160313572947e-11,8.972147769005761e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.318533221939238e-11,-5.430290605264404e-13,9.051831830050125e-11,1.4811988929985918e-12,1.1452151613097519,0.01873975854860546
1.2744e6,2.749967719849869e-11,4.314499403214398e-13,5.700929715688512e-11,8.944344211228827e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.449916232068792e-11,-5.412667725864461e-13,9.404279507622919e-11,1.4754630765453352e-12,1.1954216580344392,0.01875529662748452
1.296e6,2.7494042729202356e-11,4.4006479153951696e-13,5.6452793759795617e-11,9.035734454337386e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.391959817977508e-11,-5.429110971095064e-13,9.311178953830754e-11,1.4903308566377367e-12,1.1453751151643574,0.018332671781076268
1.3176e6,2.8078454242437016e-11,4.5446019617835063e-13,5.7099099964583996e-11,9.241701109134803e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.360843048178296e-11,-5.43964912673622e-13,9.568560345189325e-11,1.5487069815427648e-12,1.1759661440217932,0.01903344820540441
