time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,copy_residual,copy_residual_relative,copy_repair,copy_repair_relative,fix_gross,fix_gross_relative,fix_events,copy_repair_events,increment_left,increment_left_relative,increment_left_net_abs,increment_left_net_abs_relative,increment_moved_net_abs,increment_moved_net_abs_relative,led_rescale_retained,led_rescale_retained_relative,led_rescale_attempted,led_rescale_attempted_relative,led_rescale_events,led_empty_retained,led_empty_retained_relative,led_empty_attempted,led_empty_attempted_relative,led_empty_events,led_repair_retained,led_repair_retained_relative,led_repair_attempted,led_repair_attempted_relative,led_repair_events,led_repairnet_retained,led_repairnet_retained_relative,led_repairnet_attempted,led_repairnet_attempted_relative,led_repairnet_events,led_uprepair_retained,led_uprepair_retained_relative,led_uprepair_attempted,led_uprepair_attempted_relative,led_uprepair_events,led_upfilter_retained,led_upfilter_retained_relative,led_upfilter_attempted,led_upfilter_attempted_relative,led_upfilter_events,led_leaknet_retained,led_leaknet_retained_relative,led_leaknet_attempted,led_leaknet_attempted_relative,led_leaknet_events,led_upleaknet_retained,led_upleaknet_retained_relative,led_upleaknet_attempted,led_upleaknet_attempted_relative,led_upleaknet_events,inc_left_retained,inc_left_retained_relative,inc_left_attempted,inc_left_attempted_relative,inc_left_events,inc_moved_retained,inc_moved_retained_relative,inc_moved_attempted,inc_moved_attempted_relative,inc_moved_events,led_fix_tropo_retained,led_fix_tropo_retained_relative,led_fix_tropo_attempted,led_fix_tropo_attempted_relative,led_fix_tropo_events,led_fix_tropo_inventory_fraction,led_fix_strat_retained,led_fix_strat_retained_relative,led_fix_strat_attempted,led_fix_strat_attempted_relative,led_fix_strat_events,led_fix_strat_inventory_fraction,led_fix_evap_retained,led_fix_evap_retained_relative,led_fix_evap_attempted,led_fix_evap_attempted_relative,led_fix_evap_events,led_fix_evap_inventory_fraction,led_fix_evap_tropo_retained,led_fix_evap_tropo_retained_relative,led_fix_evap_tropo_attempted,led_fix_evap_tropo_attempted_relative,led_fix_evap_tropo_events,led_fix_evap_tropo_inventory_fraction,led_fix_evap_strat_retained,led_fix_evap_strat_retained_relative,led_fix_evap_strat_attempted,led_fix_evap_strat_attempted_relative,led_fix_evap_strat_events,led_fix_evap_strat_inventory_fraction,led_inc_tropo_retained,led_inc_tropo_retained_relative,led_inc_tropo_attempted,led_inc_tropo_attempted_relative,led_inc_tropo_events,led_inc_tropo_inventory_fraction,led_inc_strat_retained,led_inc_strat_retained_relative,led_inc_strat_attempted,led_inc_strat_attempted_relative,led_inc_strat_events,led_inc_strat_inventory_fraction,led_inc_evap_retained,led_inc_evap_retained_relative,led_inc_evap_attempted,led_inc_evap_attempted_relative,led_inc_evap_events,led_inc_evap_inventory_fraction,led_inc_evap_tropo_retained,led_inc_evap_tropo_retained_relative,led_inc_evap_tropo_attempted,led_inc_evap_tropo_attempted_relative,led_inc_evap_tropo_events,led_inc_evap_tropo_inventory_fraction,led_inc_evap_strat_retained,led_inc_evap_strat_retained_relative,led_inc_evap_strat_attempted,led_inc_evap_strat_attempted_relative,led_inc_evap_strat_events,led_inc_evap_strat_inventory_fraction,led_leak_tropo_retained,led_leak_tropo_retained_relative,led_leak_tropo_attempted,led_leak_tropo_attempted_relative,led_leak_tropo_events,led_leak_tropo_inventory_fraction,led_leak_strat_retained,led_leak_strat_retained_relative,led_leak_strat_attempted,led_leak_strat_attempted_relative,led_leak_strat_events,led_leak_strat_inventory_fraction,led_leak_evap_retained,led_leak_evap_retained_relative,led_leak_evap_attempted,led_leak_evap_attempted_relative,led_leak_evap_events,led_leak_evap_inventory_fraction,led_leak_evap_tropo_retained,led_leak_evap_tropo_retained_relative,led_leak_evap_tropo_attempted,led_leak_evap_tropo_attempted_relative,led_leak_evap_tropo_events,led_leak_evap_tropo_inventory_fraction,led_leak_evap_strat_retained,led_leak_evap_strat_retained_relative,led_leak_evap_strat_attempted,led_leak_evap_strat_attempted_relative,led_leak_evap_strat_events,led_leak_evap_strat_inventory_fraction,led_upleak_tropo_retained,led_upleak_tropo_retained_relative,led_upleak_tropo_attempted,led_upleak_tropo_attempted_relative,led_upleak_tropo_events,led_upleak_tropo_inventory_fraction,led_upleak_strat_retained,led_upleak_strat_retained_relative,led_upleak_strat_attempted,led_upleak_strat_attempted_relative,led_upleak_strat_events,led_upleak_strat_inventory_fraction,led_upleak_evap_retained,led_upleak_evap_retained_relative,led_upleak_evap_attempted,led_upleak_evap_attempted_relative,led_upleak_evap_events,led_upleak_evap_inventory_fraction,led_upleak_evap_tropo_retained,led_upleak_evap_tropo_retained_relative,led_upleak_evap_tropo_attempted,led_upleak_evap_tropo_attempted_relative,led_upleak_evap_tropo_events,led_upleak_evap_tropo_inventory_fraction,led_upleak_evap_strat_retained,led_upleak_evap_strat_retained_relative,led_upleak_evap_strat_attempted,led_upleak_evap_strat_attempted_relative,led_upleak_evap_strat_events,led_upleak_evap_strat_inventory_fraction,ledger_cadence_step,void
18000.0,4.572971313652335e-5,3.9684065901357976e-6,4.343607868891909e-7,3.7693658913660165e-8,0.0,0.0,0.0,0.0,0.0,8.219834768113664e-5,7.133140408343606e-6,0.016262716993638505,0.0014112722093488068,0.060370233298643355,0.005238905193984903,26.0,7929.0,4.596095882645174e-5,3.988474000511031e-6,4.648020833967674e-5,4.0335342698386585e-6,0.05301375786130017,0.0046005131376304405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030185116649321685,0.0026194525969924524,0.030185116649321685,0.0026194525969924524,13.0,0.0,0.0,0.0,0.0,0.0,0.01798778704004506,0.0015609731121331294,0.01798778704004506,0.0015609731121331294,2440.0,0.00592899762335965,0.0005145160909100053,0.00592899762335965,0.0005145160909100053,16.0,0.021840429827114143,0.0018953039438179933,NaN,NaN,2484.0,0.001087284418467642,9.435411586154976e-5,NaN,NaN,2370.0,6.307934109807528e-5,5.474000507453368e-6,3.698655403840038e-5,3.2096786689696864e-6,2822.0,0.11660932547016134,0.010119311579444113,0.07033106489094092,0.006103302257139358,4500.0,0.030185116649321733,0.0026194525969924563,0.030185116649321733,0.0026194525969924563,13.0,0.0036049725554115073,0.030185116649321626,0.002619452596992447,0.030185116649321626,0.002619452596992447,13.0,0.009581937350751836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10308194575843224,0.00894541086777706,0.062446608913793625,0.0054190922563913495,4499.0,0.012310954094852437,0.022600409638714288,0.001961254694126012,0.013162474270422657,0.0011422343604320562,4496.0,0.007174254510106559,0.004145070169738436,0.0003597075653865756,0.002471708609555808,0.00021449390477856772,2757.0,0.006493372093719167,0.004145068079183039,0.00035970738396899724,0.0024717073629559774,0.0002144937965991228,2757.0,0.006493372093719174,2.0905553970207503e-9,1.8141757832185317e-10,1.2465998311183264e-9,1.081794449552552e-10,742.0,0.006493372093719175,0.019736143217611322,0.0017126947762565196,NaN,NaN,2484.0,0.0023570640947235995,0.002649739035649139,0.00022994331540671342,NaN,NaN,2449.0,0.0008411308702364163,0.001069253248352312,9.27893779831399e-5,NaN,NaN,2409.0,0.0016750160840841922,0.001069252709077208,9.278933118505765e-5,NaN,NaN,2409.0,0.0016750160840841946,5.392751045432723e-10,4.679808229666042e-11,NaN,NaN,303.0,0.001675016084084194,0.000979707341930866,8.501861930591707e-5,NaN,NaN,2365.0,0.00011700528180914916,0.00012026975569476892,1.0436962280263037e-5,NaN,NaN,2290.0,3.81783273407825e-5,6.44322467162193e-5,5.591405126958546e-6,NaN,NaN,2283.0,0.00010093497471217182,6.443221421998265e-5,5.591402306947861e-6,NaN,NaN,2283.0,0.00010093497471217193,3.249623663747637e-11,2.8200106841207655e-12,NaN,NaN,0.0,0.0001009349747121718,1.0,0
21600.0,4.125605328569827e-5,3.5839603941401755e-6,7.298567255930146e-6,6.340348602441276e-7,0.0,0.0,0.0,0.0,0.0,0.0001218853606732375,1.0588320270320307e-5,0.01891698045029888,0.0016433396631785372,0.060370233298643355,0.005244431008196914,26.0,9682.0,3.451790324358877e-5,2.998609616317084e-6,4.950460916785825e-5,4.300521849638427e-6,0.07224689984378192,0.006276170574204842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030185116649321685,0.0026222155040984576,0.030185116649321685,0.0026222155040984576,13.0,0.0,0.0,0.0,0.0,0.0,0.020665999203931883,0.0017952789167523173,0.020665999203931883,0.0017952789167523173,2989.0,0.00592899762335965,0.0005150587845114706,0.00592899762335965,0.0005150587845114706,16.0,0.030050683978421498,0.0026105371846807403,NaN,NaN,2994.0,0.0016030615178146683,0.00013925978205990108,NaN,NaN,2873.0,7.452239668093824e-5,6.473845579249169e-6,4.373463785185827e-5,3.799277861788589e-6,3128.0,0.14950428550683265,0.012987607765099978,0.08949618710203767,0.0077746358280822905,5400.0,0.030185116649321733,0.002622215504098462,0.030185116649321733,0.002622215504098462,13.0,0.0035958715722461437,0.030185116649321626,0.0026222155040984524,0.030185116649321626,0.0026222155040984524,13.0,0.009684377495823944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13336084183401298,0.011585208404507838,0.08008929043209462,0.006957447987467099,5399.0,0.015886917568447335,0.026893314526234065,0.0023362528999493516,0.015641577133829253,0.0013588016420602663,5396.0,0.008628259185204426,0.007121584856457893,0.0006186601973849361,0.004197945477563563,0.00036468031064821303,3357.0,0.0093775785418386,0.007121581264705027,0.000618659885365269,0.004197943360340638,0.00036468012672264327,3357.0,0.009377578541838603,3.5917528648130845e-9,3.1201966712341893e-10,2.117222921481481e-9,1.839255695063259e-10,1093.0,0.009377578541838608,0.027325687746926973,0.0023738136546759166,NaN,NaN,2994.0,0.003255235515661239,0.0032714825802017786,0.00028419742228777856,NaN,NaN,2959.0,0.0010495991334324752,0.0016166727576963926,0.00014044220598963145,NaN,NaN,2919.0,0.002128806447907606,0.0016166719423316776,0.0001404421351579689,NaN,NaN,2919.0,0.0021288064479076073,8.153647152930789e-10,7.083166259635384e-11,NaN,NaN,450.0,0.0021288064479076095,0.001455882143218799,0.00012647414195678504,NaN,NaN,2859.0,0.00017343531489910288,0.00015993637856022183,1.389385558459978e-5,NaN,NaN,2772.0,5.131284676771328e-5,0.00010008111845367659,8.694160884836017e-6,NaN,NaN,2765.0,0.00013178506860075546,0.00010008106797802384,8.694156499958504e-6,NaN,NaN,2765.0,0.00013178506860075546,5.047565270442909e-11,4.384877508963264e-12,NaN,NaN,0.0,0.0001317850686007554,1.0,0
25200.0,3.3584733961000614e-5,2.919477904394207e-6,1.1825614179133146e-5,1.0279854931100797e-6,0.0,0.0,0.0,0.0,0.0,4.618276726177418e-5,4.01460880235339e-6,0.021343199140503883,0.0018553369626849961,0.060370233298643355,0.0052479070521498795,26.0,11449.0,2.1755580987798176e-5,1.8911847884485409e-6,4.7493916537909825e-5,4.128585329470903e-6,0.07664758293800582,0.006662876206569881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030185116649321685,0.0026239535260749406,0.030185116649321685,0.0026239535260749406,13.0,0.0,0.0,0.0,0.0,0.0,0.02318787629727252,0.002015692385067693,0.02318787629727252,0.002015692385067693,3570.0,0.00592899762335965,0.000515400168919145,0.00592899762335965,0.000515400168919145,16.0,0.03831686887031521,0.0033308363306482065,NaN,NaN,3504.0,0.001994858160548587,0.0001734104646737703,NaN,NaN,3368.0,8.728471893672885e-5,7.587548813783913e-6,5.117908378916152e-5,4.448932198275039e-6,3523.0,0.16305686692276544,0.014174324581327644,0.09760963973454656,0.00848508095350109,6300.0,0.030185116649321733,0.0026239535260749445,0.030185116649321733,0.0026239535260749445,13.0,0.0035845364265565346,0.030185116649321626,0.0026239535260749354,0.030185116649321626,0.0026239535260749354,13.0,0.009791683133139153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1457705984433811,0.012671651404473187,0.08751985902039404,0.007607989240064945,6299.0,0.017310518495312358,0.02856437734743788,0.002483064734574384,0.016626522590002774,0.0014453223117619728,6296.0,0.0092659351007615,0.008363218379681568,0.0007270038612619818,0.004942411805477779,0.00042963752749285004,3952.0,0.009498550763313376,0.00836321416171405,0.0007270034945994682,0.004942409312785193,0.0004296373108062764,3952.0,0.009498550763313367,4.217967514216941e-9,3.666625131974703e-10,2.4926925844762316e-9,2.1668657346746565e-10,1361.0,0.00949855076331338,0.03494700051889746,0.0030378979913388677,NaN,NaN,3504.0,0.004150018627199603,0.003916369143830873,0.0003404449531785077,NaN,NaN,3469.0,0.0012704223122376836,0.002273328814312005,0.00019761756191112137,NaN,NaN,3429.0,0.002581940129281636,0.0022733276677645103,0.00019761746224321628,NaN,NaN,3429.0,0.0025819401292816366,1.146547495542793e-9,9.966790516973238e-11,NaN,NaN,685.0,0.002581940129281639,0.0018171677827455805,0.0001579640677357527,NaN,NaN,3354.0,0.0002157919144752707,0.0001904478857356871,1.6555390761456717e-5,NaN,NaN,3257.0,6.177896783254768e-5,0.0001307800840540289,1.1368545190023562e-5,NaN,NaN,3250.0,0.00014853387904297216,0.0001307800180954324,1.1368539456327257e-5,NaN,NaN,3250.0,0.00014853387904297205,6.595859644017305e-11,5.733696301883774e-12,NaN,NaN,0.0,0.00014853387904297213,1.0,0
28800.0,3.186289299522455e-5,2.7652455991318247e-6,1.2982647404515121e-5,1.1267090093104913e-6,0.0,0.0,0.0,0.0,0.0,7.734636764651841e-5,6.712563820724713e-6,0.02315046887187609,0.0020091311914265963,0.060370233298643355,0.005239276985070219,26.0,13219.0,1.83623246800259e-5,1.5935884264772008e-6,4.8073889456716354e-5,4.172129356655045e-6,0.09536095231902837,0.008275973364023614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030185116649321685,0.00261963849253511,0.030185116649321685,0.00261963849253511,13.0,0.0,0.0,0.0,0.0,0.0,0.025128112517752054,0.0021807625115716047,0.025128112517752054,0.0021807625115716047,4184.0,0.00592899762335965,0.0005145526047404277,0.00592899762335965,0.0005145526047404277,16.0,0.04159314388638091,0.0036096928832893326,NaN,NaN,4014.0,0.002208076085802113,0.00019162957612567182,NaN,NaN,3862.0,9.06779752445011e-5,7.869557607986879e-6,5.317332115858593e-5,4.614687446837929e-6,3884.0,0.18900377324014395,0.016402837377320015,0.11290321361644629,0.009798391961066126,7200.0,0.030185116649321733,0.0026196384925351143,0.030185116649321733,0.0026196384925351143,13.0,0.0035632321014955367,0.030185116649321626,0.0026196384925351052,0.030185116649321626,0.0026196384925351052,13.0,0.009892434241939162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16974448225443362,0.014731405042264422,0.10164601061863174,0.008821426967557668,7199.0,0.020037656148475684,0.03136120161252252,0.0027217059278173876,0.01827316357338354,0.001585850511473894,7196.0,0.010277867344502962,0.01133667812584345,0.0009838623034311733,0.006690701756427369,0.0005806576819574184,4550.0,0.011291894332097242,0.011336672408219225,0.000983861807222771,0.006690698381989277,0.0005806573891042213,4550.0,0.011291894332097239,5.71762423065678e-9,4.962084027863623e-10,3.374438090064484e-9,2.928531969614975e-10,1717.0,0.011291894332097237,0.03797126137629812,0.0032953650326111145,NaN,NaN,4014.0,0.004482355295895246,0.004168452502338883,0.0003617623465330099,NaN,NaN,3979.0,0.0013661084285046445,0.002585223489665318,0.00022436060274378294,NaN,NaN,3939.0,0.0025750109640679743,0.002585222185814553,0.00022436048958809457,NaN,NaN,3939.0,0.002575010964067974,1.3038507666965952e-9,1.131556885017561e-10,NaN,NaN,778.0,0.0025750109640679734,0.0020141202407763176,0.0001747969694014846,NaN,NaN,3848.0,0.00023775882603280774,0.0002067164233778078,1.794004330050714e-5,NaN,NaN,3743.0,6.774625550568399e-5,0.00015177720255526067,1.3172100897347169e-5,NaN,NaN,3737.0,0.00015117763018854453,0.00015177712600682186,1.3172094254032214e-5,NaN,NaN,3737.0,0.00015117763018854434,7.65484387364747e-11,6.64331494846289e-12,NaN,NaN,0.0,0.0001511776301885444,1.0,0
32400.0,2.9474071145611357e-5,2.5609447011235467e-6,2.0289462253716582e-5,1.7629119028247472e-6,0.0,0.0,0.0,0.0,0.0,5.6990655958442825e-5,4.951807223009331e-6,0.024604048298959687,0.0021377978904278602,0.060370233298643355,0.0052454521232562544,26.0,14989.0,7.9156117647602e-6,6.877721067091956e-7,5.4449280622210175e-5,4.730992064196086e-6,0.10426210052752452,0.009059131076764457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030185116649321685,0.0026227260616281277,0.030185116649321685,0.0026227260616281277,13.0,0.0,0.0,0.0,0.0,0.0,0.026885005088644585,0.0023359857883662517,0.026885005088644585,0.0023359857883662517,4836.0,0.00592899762335965,0.0005151590688474621,0.00592899762335965,0.0005151590688474621,16.0,0.05484046693511753,0.004764981481886058,NaN,NaN,4524.0,0.0029804058457407324,0.00025896166566673505,NaN,NaN,4357.0,0.00010112468815976679,8.786527419850065e-6,5.9314873697988484e-5,5.1537539807185415e-6,4274.0,0.2172731952724847,0.018878445240236248,0.13016723945967992,0.011309978201086842,8100.0,0.030185116649321733,0.002622726061628132,0.030185116649321733,0.002622726061628132,13.0,0.0035555262876880707,0.030185116649321626,0.0026227260616281224,0.030185116649321626,0.0026227260616281224,13.0,0.009996995672539175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19589912426345826,0.01702129379272897,0.11758745137356028,0.010216944887797775,8099.0,0.023075096715567896,0.03497135589197917,0.0030385930779706716,0.020418824751046134,0.0017741519585477432,8096.0,0.011582148168468323,0.014940972483817141,0.0012981920320078186,0.008865997827049645,0.0007703493027204847,5162.0,0.013339554207649913,0.014940964948376404,0.001298191377268033,0.008865993355506627,0.000770348914196811,5162.0,0.01333955420764991,7.535440748582899e-9,6.54739786722244e-10,4.4715430254061215e-9,3.8852367425545995e-10,2154.0,0.01333955420764991,0.050171478439090075,0.004359302154811193,NaN,NaN,4524.0,0.005909734010796622,0.005216283063632716,0.000453232687312685,NaN,NaN,4489.0,0.0017275785222134498,0.004006672438029813,0.0003481319733069192,NaN,NaN,4449.0,0.0035772252600883418,0.004006670417274955,0.00034813179772746097,NaN,NaN,4449.0,0.0035772252600883396,2.0207548597292065e-9,1.755794584578019e-10,NaN,NaN,1116.0,0.00357722526008834,0.002725366921935947,0.00023680182974615956,NaN,NaN,4339.0,0.00032102290168742884,0.0002678520233410695,2.3273141211870555e-5,NaN,NaN,4227.0,8.870979527195938e-5,0.00023399087286879447,2.0331011722954268e-5,NaN,NaN,4222.0,0.00020891102879075515,0.00023399075485610433,2.033100146906121e-5,NaN,NaN,4222.0,0.00020891102879075504,1.1801269027981786e-10,1.0253893069075885e-11,NaN,NaN,0.0,0.00020891102879075493,1.0,0
36000.0,2.7919035187109467e-5,2.4252403583483547e-6,2.53154223307545e-5,2.199072550813869e-6,0.0,0.0,0.0,0.0,0.0,5.582103747251841e-5,4.8490011211323555e-6,0.025638152304155275,0.0022271071068468667,0.060370233298643355,0.005244175712288791,26.0,16786.0,6.070407018727714e-7,5.273175091744206e-8,5.9388182319902625e-5,5.158867976844652e-6,0.10349342513988018,0.008990154200916997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030185116649321685,0.0026220878561443958,0.030185116649321685,0.0026220878561443958,13.0,0.0,0.0,0.0,0.0,0.0,0.02875686027291181,0.002498019635916753,0.02875686027291181,0.002498019635916753,5521.0,0.00592899762335965,0.0005150337117438198,0.00592899762335965,0.0005150337117438198,16.0,0.0666754310934797,0.0057918887710289605,NaN,NaN,5034.0,0.0036543670797705963,0.0003174435816525382,NaN,NaN,4850.0,0.00010843325922265424,9.41926233093647e-6,6.358185029081612e-5,5.523158961271943e-6,4759.0,0.22560211897481244,0.019597359299838652,0.1355882367700662,0.011778131361927697,9000.0,0.030185116649321733,0.0026220878561444,0.030185116649321733,0.0026220878561444,13.0,0.0035407456230521963,0.030185116649321626,0.0026220878561443906,0.030185116649321626,0.0026220878561443906,13.0,0.01010621640334809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20350958943181033,0.017678249491544475,0.12251615039051864,0.010642599591469805,8999.0,0.023871886811012984,0.03623073488851548,0.003147252040601219,0.021233420958111437,0.0018444816988943801,8996.0,0.012130337327813507,0.0159870992270656,0.0013887499334612038,0.009539106379952244,0.000828632709554375,5763.0,0.01289765090680427,0.015987091164013565,0.0013887492330487763,0.009539101568928662,0.0008286322916356154,5763.0,0.012897650906804274,8.063052060215727e-9,7.004124296146065e-10,4.811023579517017e-9,4.1791875943468957e-10,2484.0,0.012897650906804276,0.06109679106124345,0.005307289541141394,NaN,NaN,5034.0,0.007166717228422347,0.006125934599841531,0.0005321410186480169,NaN,NaN,4999.0,0.002051011478868923,0.005471107776309398,0.0004752582349301743,NaN,NaN,4959.0,0.00441383625447684,0.005471105016970374,0.0004752579952349156,NaN,NaN,4959.0,0.004413836254476836,2.759339027104466e-9,2.3969525902489766e-10,NaN,NaN,1476.0,0.004413836254476839,0.0033473517365499267,0.00029077410700841715,NaN,NaN,4832.0,0.0003926478452178399,0.0003198284427569533,2.778250902738935e-5,NaN,NaN,4715.0,0.00010708109867517236,0.00031554193820174223,2.7410153615611303e-5,NaN,NaN,4710.0,0.0002545646153551442,0.0003155417790589835,2.7410139791371367e-5,NaN,NaN,4710.0,0.0002545646153551439,1.5914275871852502e-10,1.3824239935098587e-11,NaN,NaN,0.0,0.00025456461535514405,1.0,0
39600.0,2.6631020993295043e-5,2.3096352024919617e-6,2.7504615442305e-5,2.3853996462450935e-6,0.0,0.0,0.0,0.0,0.0,2.7420282882186563e-5,2.3780857152615664e-6,0.026687006184994276,0.0023144906441815373,0.060370233298643355,0.005235744286495984,26.0,18586.0,-3.489948918319216e-6,-3.026736706293844e-7,6.164423624315809e-5,5.346235057746191e-6,0.10804404936810605,0.00937036322802588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030185116649321685,0.0026178721432479923,0.030185116649321685,0.0026178721432479923,13.0,0.0,0.0,0.0,0.0,0.0,0.029995886398840554,0.002601460724098962,0.029995886398840554,0.002601460724098962,6263.0,0.00592899762335965,0.0005142056562476652,0.00592899762335965,0.0005142056562476652,16.0,0.0723517534266129,0.006274868572188663,NaN,NaN,5544.0,0.003975567447536023,0.00034479002998128073,NaN,NaN,5347.0,0.00011253024884284624,9.759438969240219e-6,6.597784516996615e-5,5.722077040436578e-6,5163.0,0.23548598749126573,0.02042305199415166,0.14136068456779152,0.012259823361948275,9900.0,0.030185116649321733,0.0026178721432479966,0.030185116649321733,0.0026178721432479966,13.0,0.003520519479045267,0.030185116649321626,0.0026178721432479875,0.030185116649321626,0.0026178721432479875,13.0,0.010210263504991738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21262385309562148,0.018440281960003267,0.12782535466047332,0.011085941427825086,9899.0,0.0247985265463473,0.03750308899165656,0.0032525397565165413,0.02196560380268772,0.0019050164017163258,9896.0,0.012685603481495042,0.017350718258730295,0.0015047800716680374,0.010333373061880391,0.0008961850238565762,6368.0,0.01275328628800676,0.017350709507940532,0.0015047793127361102,0.010333367850270475,0.0008961845718679826,6368.0,0.012753286288006762,8.750789784642895e-9,7.589319290952791e-10,5.211609921987413e-9,4.519885940726448e-10,2884.0,0.012753286288006767,0.06634353446239116,0.005753792266945236,NaN,NaN,5544.0,0.007737710875760598,0.006555576663149432,0.0005685471329716123,NaN,NaN,5509.0,0.002217455905025778,0.006246527927399227,0.000541744186154289,NaN,NaN,5469.0,0.004591381046952781,0.006246524776979057,0.0005417439129270129,NaN,NaN,5469.0,0.004591381046952777,3.1504201705925067e-9,2.73227276208192e-10,NaN,NaN,1706.0,0.004591381046952776,0.0036441944861361993,0.00031605096447584116,NaN,NaN,5328.0,0.00042502594317985284,0.00034418626418666193,2.985032801332919e-5,NaN,NaN,5199.0,0.00011642268913423257,0.00035886355396279725,3.112324898592999e-5,NaN,NaN,5199.0,0.000263775226695084,0.00035886337297089425,3.112323328900006e-5,NaN,NaN,5199.0,0.00026377522669508393,1.8099190334775772e-10,1.5696929961613233e-11,NaN,NaN,0.0,0.000263775226695084,1.0,0
43200.0,2.573846574313761e-5,2.2263583346268203e-6,2.7992226645217472e-5,2.4213069931318198e-6,0.0,0.0,0.0,0.0,0.0,8.925860161573118e-5,7.72080331545408e-6,0.027705165923905668,0.002396476452111444,0.060370233298643355,0.005221980727566697,26.0,20363.0,-5.422892283324207e-6,-4.690761894376436e-7,6.253893800493092e-5,5.409572087765587e-6,0.14195391121112413,0.012278908794010945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030185116649321685,0.002610990363783349,0.030185116649321685,0.002610990363783349,13.0,0.0,0.0,0.0,0.0,0.0,0.031121856584570607,0.0026920176784272017,0.031121856584570607,0.0026920176784272017,7131.0,0.00592899762335965,0.0005128539286872128,0.00592899762335965,0.0005128539286872128,16.0,0.0743881849041885,0.006434523219526296,NaN,NaN,6057.0,0.004132730448351157,0.0003574781407048627,NaN,NaN,5844.0,0.00011446319220785122,9.900981842629283e-6,6.712034709096572e-5,5.805860600251927e-6,5536.0,0.27870885967875364,0.024108111138892163,0.16660175356879747,0.014410929008860185,10800.0,0.030185116649321733,0.0026109903637833534,0.030185116649321733,0.0026109903637833534,13.0,0.003497006133605479,0.030185116649321626,0.002610990363783344,0.030185116649321626,0.002610990363783344,13.0,0.010305281917589094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2525627724767696,0.02184649384822141,0.15114045323529013,0.013073537914721241,10799.0,0.02925990231319893,0.04165428292506477,0.003603064801477036,0.02438454905203937,0.0021092455377841957,10796.0,0.01422088685641893,0.02452551099317615,0.002121438641897199,0.01451966131384892,0.0012559400123010403,6983.0,0.016553375625590453,0.024525498623798277,0.0021214375719551207,0.014519653990895378,0.001255939378870951,6983.0,0.016553375625590453,1.2369377904816391e-8,1.0699420807504492e-9,7.322953551952937e-9,6.33430090090834e-10,3327.0,0.016553375625590453,0.06822844556225964,0.0059017103020862416,NaN,NaN,6056.0,0.007904401874257816,0.006707606445934762,0.000580203018522385,NaN,NaN,6021.0,0.002289995305323726,0.006562582934806718,0.0005676585915958169,NaN,NaN,5979.0,0.004429383772031124,0.006562579624985028,0.0005676583052986779,NaN,NaN,5979.0,0.004429383772031122,3.3098216944351935e-9,2.862971394283337e-10,NaN,NaN,1801.0,0.00442938377203112,0.0037896818994907545,0.0003278046938273765,NaN,NaN,5825.0,0.00043904222736308756,0.00035588603726669047,3.078388017192744e-5,NaN,NaN,5659.0,0.00012150047280500694,0.000383394836954134,3.3163371089176404e-5,NaN,NaN,5664.0,0.00025877050026723597,0.00038339464358994177,3.316335436331616e-5,NaN,NaN,5664.0,0.0002587705002672357,1.9336419234488666e-10,1.672586025684928e-11,NaN,NaN,0.0,0.0002587705002672358,1.0,0
