inclusive_s,method,signature
0.015163,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{ClimaAtmos.var"##any_reltype#1"; Bool; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.AtmosTurbconv{ClimaAtmos.EDMFXModel{ClimaAtmos.InvZEntrainment; ClimaAtmos.BuoyancyVelocityDetrainment; Val{true}; Val{true}; Val{false}; Val{true}; Val{false}; Val{false}; Val{true}; ClimaAtmos.SmoothMinimumBlending}; ClimaAtmos.PrognosticEDMFX{1; true; Float64}; Nothing; Nothing; Nothing}; String; Tuple
0.015011,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.AtmosWater{ClimaAtmos.NonEquilibriumMicrophysics1M{CloudMicrophysics.Parameters.Microphysics1MOptions{CloudMicrophysics.Parameters.CloudLiquidFormation; CloudMicrophysics.Parameters.PrescribedIceNumber; CloudMicrophysics.Parameters.CloudIceMelt; CloudMicrophysics.Parameters.HomogeneousAndHeterogene
0.014446,ClimaCore.Spaces.FiniteDifferenceSpace /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Spaces/finitedifference.jl:66,Tuple{Type{ClimaCore.Spaces.FiniteDifferenceSpace{G; ClimaCore.Grids.CellFace} where G}; ClimaCore.Topologies.IntervalTopology{ClimaComms.SingletonCommsContext{ClimaComms.CPUSingleThreaded}; ClimaCore.Meshes.IntervalMesh{ClimaCore.Meshes.Uniform; ClimaCore.Domains.IntervalDomain{ClimaCore.Geometry.ZPoint{Float64}; Tuple{Symbol; Symbol}}; LinRange{ClimaCore.Geometry.ZPoint{Float64}; Int64}; Nothing
0.014434,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{ClimaAtmos.var"##any_reltype#1"; Bool; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.EnergySourceTaggingModel{Tuple{ClimaAtmos.EnergySourceTag{:strat; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}}; ClimaAtmos.EnergySourceTag{:tropo; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}}; ClimaAtmos.EnergySourceTag{:rad; Nothing; Tuple{Symbol}}; ClimaAtmos.EnergySourceTag{:sfc; Nothing; Tuple
0.014234,ClimaCore.MatrixFields.FieldNameDict /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_dict.jl:44,Tuple{Type{ClimaCore.MatrixFields.FieldNameDict}; ClimaCore.MatrixFields.FieldMatrixKeys{Tuple{Tuple{ClimaCore.MatrixFields.FieldName{(:c; :sgsʲs; 1; :q_lcl)}; ClimaCore.MatrixFields.FieldName{(:c; :sgsʲs; 1; :q_lcl)}}; Tuple{ClimaCore.MatrixFields.FieldName{(:c; :sgsʲs; 1; :q_icl)}; ClimaCore.MatrixFields.FieldName{(:c; :sgsʲs; 1; :q_icl)}}; Tuple{ClimaCore.MatrixFields.FieldName{(:c; :sgsʲs; 1; 
0.013988,Base.join strings/io.jl:377,Tuple{typeof(join); Base.Generator{Base.Pairs{Symbol; ClimaAtmos.DerivativeFlag; Tuple{Symbol; Symbol}; @NamedTuple{topography_flag::ClimaAtmos.IgnoreDerivative; diffusion_flag::ClimaAtmos.UseDerivative}}; ClimaAtmos.var"#708#709"}; String}
0.013963,UnrolledUtilities.unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:157,Tuple{typeof(UnrolledUtilities.unrolled_map); typeof(last); Tuple{Pair{Tuple{ClimaCore.MatrixFields.FieldName{(:c; :sgsʲs; 1; :q_lcl)}; ClimaCore.MatrixFields.FieldName{(:c; :sgsʲs; 1; :q_lcl)}}; ClimaCore.Fields.Field{ClimaCore.DataLayouts.VIJFH{ClimaCore.MatrixFields.TridiagonalMatrixRow{Float64}; 30; 1; 1; 1; ClimaCore.DataLayouts.ThisThreadPool; Array{Float64; 5}}; ClimaCore.Spaces.FiniteDiffe
0.013722,ClimaAtmos.microphys_1m_parameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:296,Tuple{typeof(Core.kwcall); @NamedTuple{cloud_liquid_formation::CloudMicrophysics.Parameters.CloudLiquidFormation; cloud_ice_formation::CloudMicrophysics.Parameters.PrescribedIceNumber; cloud_ice_melt::CloudMicrophysics.Parameters.CloudIceMelt; cloud_liquid_freezing::CloudMicrophysics.Parameters.HomogeneousAndHeterogeneous; rain_autoconversion::CloudMicrophysics.Parameters.Kessler1M; snow_autoconve
0.013209,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{ClimaAtmos.var"##any_reltype#1"; Bool; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.EnergySourceTag{:new_strat; ClimaAtmos.TanhAltitudeRegion{Float64}; NTuple{8; Symbol}}; String; Tuple{DataType; DataType}; Tuple{String; Symbol; String; Symbol; String; Symbol; String; Int64}}
0.013133,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.EnergySourceTag{:strat; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}}; String; Tuple{DataType; DataType}; Tuple{String; Symbol; String; Symbol; String; Symbol; String; Int64}}
0.013008,ClimaAtmos.Parameters.TurbulenceConvectionParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/Parameters.jl:187,Tuple{typeof(Core.kwcall); @NamedTuple{detr_buoy_coeff::Float64; Ri_crit::Float64; Tq_correlation_coefficient::Float64; detr_massflux_vertdiv_coeff::Float64; Prandtl_number_scale::Float64; cloud_fraction_steepness_scale::Float64; Prandtl_number_0::Float64; tke_ed_coeff::Float64; detr_vertdiv_coeff::Float64; smin_rm::Float64; min_area::Float64; entr_mult_limiter_coeff::Float64; entr_detr_limit_inv_
0.012710,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{ClimaAtmos.var"##any_reltype#1"; Bool; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.AtmosNumerics{Val{:vanleer_limiter}; Val{:vanleer_limiter}; Val{:first_order}; Val{:none}; Val{:first_order}; Nothing; Nothing; Nothing; ClimaAtmos.Implicit; ClimaAtmos.Hyperdiffusion{Float64}}; String; Tuple{DataType; DataType}; Tuple{String; Symbol}}
0.012681,UnrolledUtilities.unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:157,Tuple{typeof(UnrolledUtilities.unrolled_map); typeof(first); Tuple{Pair{Tuple{ClimaCore.MatrixFields.FieldName{(:c; :sgsʲs; 1; :q_lcl)}; ClimaCore.MatrixFields.FieldName{(:c; :sgsʲs; 1; :q_lcl)}}; ClimaCore.Fields.Field{ClimaCore.DataLayouts.VIJFH{ClimaCore.MatrixFields.TridiagonalMatrixRow{Float64}; 30; 1; 1; 1; ClimaCore.DataLayouts.ThisThreadPool; Array{Float64; 5}}; ClimaCore.Spaces.FiniteDiff
0.012504,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{ClimaAtmos.var"##any_reltype#1"; Bool; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.SurfaceConditions.MoninObukhov{Float64; ClimaAtmos.SurfaceConditions.HeatFluxes{Float64; Float64}; Float64}; String; Tuple{DataType; DataType}; Tuple{String; Symbol; String; Symbol}}
0.012338,ClimaAtmos.Parameters.ClimaAtmosParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/Parameters.jl:502,Tuple{typeof(Core.kwcall); @NamedTuple{Omega::Float64; alpha_rayleigh_uh::Float64; T_min_sgs::Float64; T_equator_wet::Float64; alpha_rayleigh_w::Float64; astro_unit::Float64; c_smag::Float64; kappa_2_sponge::Float64; zd_rayleigh::Float64; T_equator_dry::Float64; planet_radius::Float64; water_refractive_index::Float64; ΔT_y_wet::Float64; σ_b::Float64; q_max_sgs::Float64; Δθ_z::Float64; alpha_raylei
0.012301,Base.merge namedtuple.jl:353,Tuple{typeof(merge); @NamedTuple{detr_buoy_coeff::Float64; Ri_crit::Float64; Tq_correlation_coefficient::Float64; detr_massflux_vertdiv_coeff::Float64; Prandtl_number_scale::Float64; cloud_fraction_steepness_scale::Float64; Prandtl_number_0::Float64; tke_ed_coeff::Float64; detr_vertdiv_coeff::Float64; smin_rm::Float64; min_area::Float64; entr_mult_limiter_coeff::Float64; entr_detr_limit_inv_tau::F
0.012084,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{Chen2022_ice_cutoff::Float64; Chen2022_table_B5_Al::Vector{Float64}; Chen2022_table_B5_Bl::Vector{Float64}; Chen2022_table_B5_El::Vector{Float64}; Chen2022_table_B5_Hl::Vector{Float64}; Chen2022_table_B5_Gl::Vector{Float64}; Chen2022_table_B5_Cl::Vector{Float64}; Chen2022_table_B5_Fl::Vector{Float64}}}}
0.012063,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{Chen2022_table_B1_ai::Vector{Float64}; Chen2022_table_B1_a3_pow_coeff::Float64; Chen2022_table_B1_bi::Vector{Float64}; Chen2022_table_B1_ci::Vector{Float64}; Chen2022_table_B1_b_rho_coeff::Float64; Chen2022_table_B1_q_coeff::Float64}}}}
0.012029,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{Chen2022_table_B3_As::Vector{Float64}; Chen2022_table_B3_Fs::Vector{Float64}; Chen2022_table_B3_Bs::Vector{Float64}; Chen2022_table_B3_Gs::Vector{Float64}; Chen2022_table_B3_Es::Vector{Float64}; Chen2022_table_B3_Cs::Vector{Float64}; Chen2022_ice_cutoff::Float64}}}}
0.011889,ClimaAtmos.NonEquilibriumMicrophysics1M /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/types.jl:123,Tuple{typeof(Core.kwcall); @NamedTuple{n_substeps::Int64; n_substeps_quad::Int64; cloud_liquid_formation::CloudMicrophysics.Parameters.CloudLiquidFormation; cloud_ice_formation::CloudMicrophysics.Parameters.PrescribedIceNumber; cloud_ice_melt::CloudMicrophysics.Parameters.CloudIceMelt; cloud_liquid_freezing::CloudMicrophysics.Parameters.HomogeneousAndHeterogeneous; rain_autoconversion::CloudMicrop
0.011852,Base.CoreLogging.showvalue logging/ConsoleLogger.jl:57,Tuple{typeof(Base.CoreLogging.showvalue); IOContext{IOBuffer}; String}
0.011760,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.AtmosSponge{Nothing; Nothing}; String; Tuple{DataType; DataType}; Tuple{String; Symbol}}
