exclusive_s,inferences,specializations,method
3.146409,4813,4813,UnrolledUtilities.unrolled_flatten /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:426
2.996450,40594,40594,ClimaCore.MatrixFields.#95 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:376
2.990743,9034,8822,UnrolledUtilities.unrolled_flatmap_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:395
2.759284,66,66,ClimaCore.MatrixFields.multiply_matrix_at_index /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/matrix_multiplication.jl:462
2.712837,60076,19091,UnrolledUtilities.generic_getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:8
2.564762,794,794,ClimaCore.MatrixFields.is_valid_name /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name.jl:151
2.547947,3929,3929,ClimaCore.MatrixFields.#45 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:44
2.299468,804,402,Base.Broadcast._getindex broadcast.jl:674
2.297655,82286,82286,ClimaCore.MatrixFields.is_child_value /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:324
2.150878,112,112,ClimaCore.DataLayouts.foreach_slice /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:201
2.140035,9831,7044,UnrolledUtilities.#25 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:115
2.115214,107,107,ClimaCore.DataLayouts.copyto! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:487
1.942933,107,107,ClimaCore.DataLayouts.#copyto!#88 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:487
1.937653,111,111,ClimaCore.DataLayouts.#foreach_point#49 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:171
1.912046,116,112,Base.Iterators.zip iterators.jl:374
1.872646,49221,14513,Base.getproperty Base.jl:49
1.836350,927,897,Base.isequal operators.jl:134
1.834888,4764,4731,UnrolledUtilities.#unrolled_reduce#35 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:176
1.400427,4415,4415,ClimaCore.MatrixFields.#93 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:372
1.156416,170,103,ClimaCore.Operators.getidx /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl:2918
1.127212,811,327,Base.Broadcast._broadcast_getindex broadcast.jl:649
1.111405,261,108,Base.Dict dict.jl:90
1.090433,209,111,ClimaCore.DataLayouts.slice_every_arg /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:286
1.069771,112,112,ClimaCore.DataLayouts.foreach_pool_slice /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:221
1.043204,112,112,ClimaCore.DataLayouts.#foreach_pool_slice#54 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:221
0.975880,2,2,ClimaAtmos.TurbulenceConvectionParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:486
0.942721,112,112,ClimaCore.DataLayouts.foreach_slice /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:238
0.900348,8790,8780,Base.Iterators.map iterators.jl:62
0.897731,20,20,ClimaAtmos.ᶜspecific_env_value /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/variable_manipulations.jl:406
0.847531,17657,2762,Base.indexed_iterate tuple.jl:159
0.783192,126,73,Base.ntuple ntuple.jl:17
0.779622,128,128,ClimaCore.MatrixFields.union_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:370
0.742691,8660,8657,UnrolledUtilities.unrolled_filter /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:401
0.719870,27859,27859,ClimaCore.MatrixFields.#97 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:383
0.692871,9194,9194,UnrolledUtilities.inferred_output_type /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:127
0.680259,161,52,ClimaCore.DataLayouts.view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:170
0.676686,568,559,Base.ntuple ntuple.jl:49
0.669598,9147,8657,UnrolledUtilities.unrolled_filter_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:403
0.597532,341,162,Base.Broadcast.getindex broadcast.jl:607
0.596061,110,104,UnrolledUtilities._unrolled_foreach /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:51
