time,form_a_max,form_a_relative,initial_min_strat,initial_min_tropo,form_a_max_unrepaired,initial_strat,initial_tropo,energy_change,records,form_b
0.0,0.0,0.0,0.033977965380665935,0.03322423235154931,0.0,5.2684683046055384e7,6.030271539654003e7,0.0,0.0,0.0
3600.0,0.031531481751045476,2.0859141581825695e-5,6.1669781229934975,0.03319012319998287,0.031531481751045476,5.240854521487635e7,6.01431297180645e7,60715.25416460633,60738.48166594608,-23.227501339744776
7200.0,0.0539176263051786,1.655627389609434e-5,6.451459966939813,0.0331479648301858,0.0539176263051786,5.215581269829873e7,5.994588584830866e7,123612.24474360049,123626.3910735551,-14.146329954615794
10800.0,0.1603599385954908,3.2349082555166165e-5,13.243199017906395,0.033129205860996866,0.1603599385954908,5.1921656195426024e7,5.972664659082779e7,185948.6746480465,186014.60497383727,-65.93032579077408
14400.0,0.33357042862510866,6.347358819530856e-5,314.12642134269413,0.033133588883135584,0.33357042862510866,5.172353187536271e7,5.9482503637756795e7,251229.4363193065,251252.9841207373,-23.547801430802792
18000.0,0.521008594917248,7.432233720149249e-5,330.8368238601994,0.03317678538631657,0.521008594917248,5.151533613187744e7,5.922703823260772e7,304935.53448209167,304938.0314619227,-2.4969798310194165
21600.0,0.7230732862515481,9.058982975564463e-5,492.8339781528134,0.03336253548203496,0.7230732862515481,5.133487775987121e7,5.894721759606155e7,357199.33474323153,357233.304109114,-33.96936588245444
25200.0,1.3688499119998028,0.00017319061950586977,1204.7519363042663,0.034283099331285254,1.3688499119998028,5.119332265327313e7,5.864891317791419e7,411954.80913615227,411996.88019798836,-42.07106183608994
28800.0,1.6240784395616004,0.00017798861631244722,1299.5260549130974,0.03840987797538648,1.6240784395616004,5.105202460714032e7,5.834239859866578e7,465732.01023074985,465743.2017643335,-11.19153358368203
32400.0,2.0594710469033544,0.0001942642369554736,1405.5869440737874,0.04695397403695684,2.0594710469033544,5.091581464270526e7,5.802723889884005e7,511230.5002453178,511258.8838639697,-28.383618651889265
36000.0,2.597208197800569,0.00022599417491263256,1559.2075417309627,0.05782592978007859,2.597208197800569,5.079920459240914e7,5.7701246275698625e7,562658.5553767979,562684.5359382406,-25.980561442673206
39600.0,2.752203737256991,0.00021662430552312961,1655.0149217910457,0.06617629474404155,2.752203737256991,5.0668405586453296e7,5.738726322684464e7,601803.75548397,601808.5434232107,-4.787939240690321
43200.0,3.5356052555713973,0.0002616151513013908,1825.8882305115,0.07196639848162173,3.5356052555713973,5.055688301231169e7,5.7058789031739034e7,642274.3567775041,642299.424536082,-25.067758577875793
46800.0,3.9507297642564936,0.00037805769545286056,3005.204595852539,0.08019947988301539,3.9507297642564936,5.044319409166045e7,5.673038432697014e7,685114.1950473785,685117.1212059027,-2.926158524118364
50400.0,4.181781367631459,0.000360809449701777,2986.4725277804605,0.0865968016503494,4.181781367631459,5.031365448566119e7,5.640151866930508e7,717058.0118741393,717054.9778298475,3.0340442918241024
54000.0,4.237755215821949,0.00032707208041724933,2969.892583619798,0.09257427801305673,4.237755215821949,5.018236136705941e7,5.6048697592621155e7,746163.1000405699,746159.1735318471,3.9265087228268385
57600.0,4.189553416416572,0.00029443497383002535,2980.7612651941545,0.09981583449416298,4.189553416416572,5.006076762769615e7,5.566706554437183e7,774514.9766742736,774515.60818162,-0.631507346406579
61200.0,4.553542414926142,0.00028294125032482927,2920.456210102543,0.11016179876187708,4.553542414926142,4.994456764590258e7,5.527662043687765e7,798785.141373381,798797.901159903,-12.75978652201593
64800.0,5.899395326981448,0.0003373381111971521,2929.888741813224,0.1229421696865572,5.899395326981448,4.983153370379884e7,5.487044061700056e7,820582.7078249604,820595.479472612,-12.771647651679814
68400.0,7.04151796947076,0.00036648600818422745,2885.0542620622286,0.13968880569348077,7.04151796947076,4.9722431507897206e7,5.444015383263413e7,842159.431509614,842171.1533074267,-11.721797812730074
72000.0,7.913153625742325,0.0003887992527111153,2897.305701345178,0.1595638048513323,7.913153625742325,4.961271443456681e7,5.399853373708357e7,861374.9343598038,861383.8480530968,-8.913693292997777
75600.0,7.929036137042431,0.00036114537751995453,2860.8953656854524,0.18877807585232823,7.929036137042431,4.9503875346281044e7,5.3556509740230195e7,877904.0869448781,877916.0202796971,-11.933334819041193
79200.0,3.734388737917243,0.0001714994191911298,2973.9041126289912,0.23237713802893364,3.734388737917243,4.9320273007297106e7,5.3183224859254204e7,895043.2047929466,895055.9511561962,-12.746363249607384
82800.0,5.516136458618348,0.00038428813666308367,3317.972066456541,0.34512241035728614,5.516136458618348,4.911289844213152e7,5.291212489708698e7,915076.8828469962,915072.0208535548,4.861993441358209
86400.0,6.2413970455672825,0.00040694777539258717,3289.2446674275566,0.40088278639379216,6.2413970455672825,4.890431443306321e7,5.263830250214691e7,925062.6024813056,925061.221529495,1.3809518106281757
