time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative
0.0,2.797045234315121e-9,2.4755373367908736e-17,6.911249350594062e-10,6.116832005920909e-18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
3600.0,99757.65814121984,0.0008823498099017857,99245.01436846767,0.0008778155100408679,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.24170227618122e-9
7200.0,85539.01099985413,0.0007560886141860718,83342.18359060906,0.0007366706179753731,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.236275105230129e-9
10800.0,203545.75299757996,0.00179806755744403,196708.55631716733,0.001737669630423366,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.231260205408762e-9
14400.0,214009.2877831524,0.0018893091977735942,200912.52079786925,0.0017736887843667472,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.226077333799252e-9
18000.0,189424.1057232012,0.001671294499589345,172417.25996064497,0.001521242595319786,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.22129267320809e-9
21600.0,245394.5396773781,0.0021638981754860966,223623.17556045155,0.0019719174771690193,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.216640704474504e-9
25200.0,279455.472705235,0.0024629313405264124,248800.88597187187,0.002192762566712054,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.212248016598113e-9
28800.0,272368.6444330786,0.002399124026983786,234327.84522154578,0.0020640465602510907,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.207633618191997e-9
32400.0,286668.14505997754,0.0025238209052648895,241451.41361509112,0.002125733660292218,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.203543172133301e-9
36000.0,295984.8531934123,0.00260447829796435,242440.52622187245,0.002133322304433305,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.199240530012634e-9
39600.0,271428.35686384124,0.0023873385499249503,211409.40316191936,0.0018594439572069302,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.195607744331604e-9
43200.0,339072.0383918541,0.002980946878159432,273467.53737944365,0.002404185864736833,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.191899780262143e-9
46800.0,328366.1267873778,0.00288546404393111,257127.66769718236,0.002259467646979615,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.188034943950215e-9
50400.0,310068.1369334426,0.002723583094123972,235682.12874694128,0.002070189693757876,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.184758334276498e-9
54000.0,289011.23616319225,0.0025376588545292446,213514.8628600502,0.001874764073201835,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.181649705516086e-9
57600.0,282126.0825639033,0.002476284268547875,207065.40515790094,0.0018174597707989668,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.178612481367084e-9
61200.0,285653.66154560173,0.00250644280369646,212499.06231863605,0.0018645542390702526,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.175990424548163e-9
64800.0,326010.2512358975,0.0028597188538879046,257249.92224180404,0.002256562332034667,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.173620187953645e-9
68400.0,371326.63544108707,0.0032562853412256873,309198.7514500912,0.002711465501730637,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.171254224782319e-9
72000.0,412673.7919285779,0.0036178892333531003,358949.0929382868,0.003146887648460231,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.169034843333946e-9
75600.0,450276.68084467354,0.0039465766251738175,405959.43717724644,0.003558145677291056,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.167016896282235e-9
79200.0,510715.92392151087,0.0044752449036958184,468099.9024287521,0.004101813953008308,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.1650674803376e-9
82800.0,390323.1654325862,0.0034192948997746613,342418.8933985948,0.0029996456256617342,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.162714412530367e-9
86400.0,367274.5073369959,0.0032167038235041113,315506.3953360666,0.00276330267400319,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.9317992806736316,8.160986534605932e-9
