# process_record_extrema.csv, from analysis/reduce_run.jl
# run: d4_column_edmf_vd
# generated: 1789732565 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# min and max of every e_prc_<process>. A record is a signed running total of what a process applied, not a share of what is present, so it is not comparable with a tag value directly.
time,geometry,remapped,min_e_prc_radiation,min_e_prc_surface_flux,min_e_prc_subsidence,min_e_prc_microphysics,min_e_prc_precipitation,max_e_prc_radiation,max_e_prc_surface_flux,max_e_prc_subsidence,max_e_prc_microphysics,max_e_prc_precipitation
0.0,column,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,column,false,-4640.417839701977,0.0,-210.6555052847172,0.0,-36.05198616314303,405.9508389963943,6459.9688103659855,109.03817717447146,0.0,2.681709210462146
7200.0,column,false,-9048.61667720549,0.0,-563.5300093394505,0.0,-71.34358829666334,677.4372157222356,12923.862731992092,509.6401381571722,0.0,4.8857556226172045
10800.0,column,false,-13489.607624334463,0.0,-1396.084286264437,0.0,-136.71700627905503,866.5483843481841,19387.156619621728,1260.1612753013908,0.0,8.53983698886421
14400.0,column,false,-17844.60382967633,0.0,-2019.098005373851,0.0,-190.56738120318536,1107.6963589757966,25844.634321282734,937.747563672382,0.0,12.409182020706476
18000.0,column,false,-22272.601120338513,0.0,-1800.438765740722,0.0,-203.67755067541424,1322.4219019796185,32323.152993914955,515.1109906031154,0.0,14.489642313642634
21600.0,column,false,-26982.43174779864,0.0,-2146.836089459855,0.0,-241.08480110144578,1739.2399897750279,38800.270916302594,512.3374322859412,0.0,16.84865997768575
25200.0,column,false,-31294.390837670697,0.0,-3275.2706144405392,0.0,-300.73129097964903,1825.9391295931387,45258.504951080475,778.8053723079937,0.0,21.30956305787994
28800.0,column,false,-35631.05400465551,0.0,-3923.324050437313,0.0,-335.07889033269305,2280.9805622420026,51727.147233904616,827.4156532021401,0.0,24.5622079301574
32400.0,column,false,-40164.6808886885,0.0,-4814.9984307740815,0.0,-374.4705619145805,2785.0549830761106,58210.548001300136,829.2624632355307,0.0,27.624724879732458
36000.0,column,false,-44405.877514445,0.0,-5943.165176375143,0.0,-415.24958073031075,3193.0444693096547,64674.39071293218,1221.9211685972748,0.0,31.937976572944468
39600.0,column,false,-48647.47285559259,0.0,-6632.219955202862,0.0,-439.32924901843137,3648.2143197985265,71167.53721023804,1383.62993836098,0.0,34.85379397685904
43200.0,column,false,-53187.96819346189,0.0,-7750.83708724435,0.0,-479.25367300692096,3919.516583377808,77650.85362144001,1855.424456031505,0.0,37.94685390939353
46800.0,column,false,-57257.61292067143,0.0,-8463.873962677973,0.0,-509.82542131810766,4193.270281672608,84112.30836691309,1278.4665559527184,0.0,41.065163457198366
50400.0,column,false,-61271.8901977949,0.0,-8336.313702007059,0.0,-516.3067436986195,4396.2353858321885,90612.87128596114,782.7614694542806,0.0,42.51892981759275
54000.0,column,false,-65110.9375140554,0.0,-7554.071754988135,0.0,-518.8810536091876,4497.47837251034,97137.15355346675,829.662848292014,0.0,43.48427361480963
57600.0,column,false,-68168.53084830665,0.0,-6358.615007076696,0.0,-519.8215233694007,4553.6393310534495,103668.60781982992,895.2625126076432,0.0,44.67489213968743
61200.0,column,false,-69214.4129648648,0.0,-5196.449319821467,0.0,-522.7456803765391,4579.367247179725,110202.2596963264,965.4286112845645,0.0,47.1432605096031
64800.0,column,false,-69884.14085810806,0.0,-4245.27151800971,0.0,-526.0426157705117,4590.366046932869,116735.0827647269,1038.6001616358892,0.0,50.03485958260845
68400.0,column,false,-70420.60115945384,0.0,-5371.041649130827,0.0,-528.8179746939667,4591.267038530645,123290.70610912882,1109.8406063900834,0.0,52.71804399196337
72000.0,column,false,-70917.63668289267,0.0,-6939.046150899081,0.0,-531.1318403663497,4586.048285321757,129853.61529712901,1175.6832820584966,0.0,55.16282861511129
75600.0,column,false,-71331.89877070613,0.0,-8317.783665610978,0.0,-532.9539992343952,4576.244040392643,136429.9587904704,2441.874573719941,0.0,57.589514104216505
79200.0,column,false,-71519.66516414603,0.0,-8519.355073802788,0.0,-532.7713063300578,4397.082521361682,143002.6131293414,4072.4876106900233,0.0,60.38253345689565
82800.0,column,false,-72161.25423442821,0.0,-8343.050271741171,0.0,-546.7906797546891,4389.559254865007,148662.73477409576,3631.2521009425527,0.0,61.41631359666691
86400.0,column,false,-74038.00255586754,0.0,-8441.823248920049,0.0,-563.0175612384019,4440.203455767334,155197.56477896057,2860.1568841529033,0.0,62.37046706610157
