z,e_prc_radiation,e_src_rad,total,rad_share
25.0,427.06902718070126,1578.4700936963093,68638.95198513052,0.022996710294152775
75.0,450.51866715925024,1580.6221165004524,68678.6188672159,0.023014762710305035
125.0,488.8053466776036,1581.639512415317,68786.93863265574,0.02299331157709719
175.0,507.53391032158356,1582.225140999075,68912.79921920242,0.022959815287233187
225.0,538.2070960718012,1582.623842221435,69048.2888676062,0.02292053674575444
275.0,658.5182045355879,1594.349888038861,69422.05414606405,0.02296604310619141
325.0,1502.834862733372,1632.4498686153831,69989.42972619846,0.02332423445942615
375.0,3007.045699259376,1637.5047480615112,70003.93351326918,0.023391610526444544
425.0,3839.8019915938703,1638.9272333001002,70143.79469069796,0.023365249064824897
475.0,4103.55556111824,1644.6865983769217,70303.78388916806,0.023393998265722426
525.0,4365.574561754453,1791.418111937317,70292.34266675674,0.025485252645940478
575.0,4440.203455767334,1995.8308560860303,72763.9811925402,0.02742882980529718
625.0,2392.3995353079285,3002.2710585260847,75925.38570387474,0.0395423879733135
675.0,-4179.161919277212,2150.7924402629965,75645.4389653682,0.028432546227244008
725.0,-33924.40693952922,1223.5925011822528,74671.85682057185,0.016386260544215596
775.0,-74038.00255586754,833.9780849079191,70248.23204336283,0.011871872937572593
825.0,-12932.348298233916,561.9853075921008,66533.38510006477,0.00844666638781248
875.0,-3671.243668297849,20.192428587315632,63182.08538421579,0.000319591043323811
925.0,-3044.4521347710147,0.0008865652609553786,63031.31099129235,1.4065473921014523e-8
975.0,-2752.4075913752945,5.4658730482919106e-8,63168.09559701467,8.652901431700322e-13
1025.0,-2568.3338441798137,5.0446152792061105e-12,63293.70734815634,7.970168742774796e-17
1075.0,-2441.8915363998017,7.626201488639321e-16,63421.995675113125,1.2024537240526873e-20
1125.0,-2350.6183474593736,6.532154249262039e-19,63557.6967509426,1.0277518826490771e-23
1175.0,-2282.593501058837,7.223208856936144e-21,63700.973336473224,1.1339244094093545e-25
1225.0,-2230.8227277466544,3.679427322973231e-22,63847.21567240372,5.762862615422659e-27
1275.0,-2191.1072741913176,4.14052243568967e-23,63991.75348923097,6.4704000280074675e-28
1325.0,-2160.612483784919,5.581741854250606e-24,64135.86429188966,8.702996234442964e-29
1375.0,-2137.264484515384,1.2238239303885011e-24,64278.8815818667,1.9039284758397948e-29
1425.0,-2119.5866205379557,2.87599151815486e-25,64421.13373453344,4.4643602982931716e-30
1475.0,-2106.4823610103444,3.9456860551567955e-26,64562.79961426445,6.111392440740812e-31
