time,form_a_max,form_a_relative,initial_min_strat,initial_min_tropo,form_a_max_unrepaired,initial_strat,initial_tropo,energy_change,records,form_b
0.0,0.0,0.0,0.033977965380665935,0.03322423235154931,0.0,5.2684683046055384e7,6.030271539654003e7,0.0,0.0,0.0
3600.0,0.00808701874703388,1.2051301166458447e-6,0.033888020673135635,0.03318483324725008,0.00808701874703388,5.241210513733134e7,6.014499516030751e7,60893.18633623421,60893.18633635837,-1.2415694072842598e-7
7200.0,0.060241139678936406,4.315994588044361e-6,0.03374471665260732,0.033139500643900824,0.060241139678936406,5.2182574030678876e7,5.99400940884331e7,122712.42435498536,122712.42435515136,-1.6600824892520905e-7
10800.0,0.17381458109522896,8.13215034398222e-6,0.03356318801565111,0.033096179282065215,0.17381458109522896,5.198903585744617e7,5.968838683855072e7,181405.3227288127,181405.32272906322,-2.505257725715637e-7
14400.0,0.36565926334930055,1.2729027465580965e-5,0.03335648390872073,0.03305456983974779,0.36565926334930055,5.181149174282318e7,5.9403127602908365e7,241465.72377602756,241465.72377611068,-8.312053978443146e-8
18000.0,0.6565718109433192,1.8265174097709277e-5,0.03312702435470184,0.033012869971652,0.6565718109433192,5.164241251473525e7,5.910514754970194e7,301531.2348216474,301531.23482182366,-1.762527972459793e-7
21600.0,1.0060195030603722,2.3348796553714746e-5,0.03288041279085412,0.032972569505985566,1.0060195030603722,5.14928811596618e7,5.8790034072155565e7,364012.01789560914,364012.017895903,-2.9383227229118347e-7
25200.0,1.3763084065774933,2.7449786648213753e-5,0.0326199150912351,0.03293226189811198,1.3763084065774933,5.1359038457687125e7,5.846397587358637e7,426094.5674020648,426094.5674024201,-3.5529956221580505e-7
28800.0,1.722938360324406,3.0157865694557905e-5,0.03234761260502923,0.03289224285568155,1.722938360324406,5.1248744681872465e7,5.811929890664799e7,485352.52155303955,485352.5215535285,-4.889443516731262e-7
32400.0,2.1038988331760606,3.278227896592606e-5,0.03206667819643515,0.03285373268310495,2.1038988331760606,5.1141917044380575e7,5.775194390073926e7,541060.3792983145,541060.3792989175,-6.030313670635223e-7
36000.0,2.494630229272218,3.505968788323753e-5,0.031778104536484886,0.03281504054984485,2.494630229272218,5.103663719693099e7,5.7372622130429536e7,595219.8431189954,595219.8431197465,-7.511116564273834e-7
39600.0,2.9036424739769586,3.721053134830168e-5,0.03148216422230041,0.03277615741570883,2.9036424739769586,5.0935019536021404e7,5.699076504791697e7,648792.2314245254,648792.231425364,-8.386559784412384e-7
43200.0,3.3710123591868637,3.97481529728539e-5,0.031180118594944337,0.03273768454265256,3.3710123591868637,5.083983111349987e7,5.6610618171640486e7,703420.5917806774,703420.5917815873,-9.099021553993225e-7
46800.0,3.849306126341503,4.2079048607129126e-5,0.03087312385404737,0.032700000014022096,3.849306126341503,5.075446114653263e7,5.623254038622149e7,760415.659907952,760415.6599088116,-8.596107363700867e-7
50400.0,4.668018540294042,4.7617612328045285e-5,0.030561952164224894,0.03266254835484955,4.668018540294042,5.068023415107967e7,5.585426727844167e7,817693.755243659,817693.7552445317,-8.726492524147034e-7
54000.0,8.982989310129256,8.590347233342176e-5,0.030247881137862684,0.03262506762292174,8.982989310129256,5.060290533099588e7,5.545858355438128e7,864903.9521207958,864903.9521217309,-9.350478649139404e-7
57600.0,12.78969967239368,0.00011519934988131257,0.029931907877297395,0.0325905564149294,12.78969967239368,5.053352927964533e7,5.506509737581391e7,926797.4517168999,926797.4517179951,-1.0952353477478027e-6
61200.0,14.802171441931023,0.00012609818368157697,0.029614284168242605,0.03255416230683164,14.802171441931023,5.0462048939820975e7,5.466796687922509e7,979505.1407905668,979505.1407915615,-9.94652509689331e-7
64800.0,21.70918055072252,0.00017552198037032153,0.02929550999165889,0.03251762727209447,21.70918055072252,5.039185838827261e7,5.4272942906748354e7,1.0303087606818676e6,1.0303087606826006e6,-7.329508662223816e-7
68400.0,29.082166836980832,0.00022386311425808762,0.028976014375578493,0.03248094850371546,29.082166836980832,5.032310468211152e7,5.388456081898628e7,1.0797452637686133e6,1.0797452637691079e6,-4.945322871208191e-7
72000.0,36.45772217574449,0.0002679988966977547,0.028656025850392744,0.03244787814788556,36.45772217574449,5.026663116880467e7,5.351359363293116e7,1.1505375840314478e6,1.1505375840319004e6,-4.5262277126312256e-7
75600.0,44.23465516793567,0.0003113615137216902,0.02833549758523797,0.03241942336308825,44.23465516793567,5.022260149781478e7,5.316405750075643e7,1.2455867861137092e6,1.2455867861140454e6,-3.3620744943618774e-7
79200.0,50.905414689120335,0.0003438311514899743,0.028014877031037527,0.03239079086518703,50.905414689120335,5.017817835974136e7,5.281660472422904e7,1.3341078475570679e6,1.3341078475571861e6,-1.1827796697616577e-7
82800.0,56.22127958868896,0.00036512054084207466,0.027694620612835674,0.03235551802053052,56.22127958868896,5.011942861675535e7,5.245367052049908e7,1.3834823986662328e6,1.3834823986660568e6,1.7601996660232544e-7
86400.0,60.738170937815084,0.0003798345803314696,0.027375411192235105,0.03232290195848226,60.738170937815084,5.006584727830603e7,5.2073527649281174e7,1.43352686211586e6,1.4335268621155275e6,3.3248215913772583e-7
