# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c6_column_no_repair
# generated: 1789059893 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_strat,min_e_src_tropo,min_e_src_rad,min_e_src_sfc,min_e_src_sub,min_e_src_new_strat,min_e_src_new_tropo,max_e_src_strat,max_e_src_tropo,max_e_src_rad,max_e_src_sfc,max_e_src_sub,max_e_src_new_strat,max_e_src_new_tropo
0.0,column,false,1.4551915228366852e-11,0.033977965380665935,0.03322423235154931,0.0,0.0,0.0,0.0,0.0,65875.65445855673,68379.15330889264,0.0,0.0,0.0,0.0,0.0
3600.0,column,false,496.908345226635,0.03727244106808029,0.03318483404045421,-2.468918270749154e-9,-2.5507693340446753e-26,-6.361120103828039e-12,-6.180112866249975e-12,-1.8650896596283832e-13,65781.74695812081,73892.04565315683,441.8378602933786,6706.714794847506,126.79910235541627,86.65098838998271,6710.490889460934
7200.0,column,false,1293.1848776972038,0.04078422099994557,0.03313950356062466,-2.4463792176632216e-9,-1.6170471821953065e-26,-6.346413021644988e-12,-6.165841690692601e-12,-1.860779068161409e-13,65688.72013331877,80857.16707960439,593.3600021175462,13417.21663719334,717.8293272637047,446.818482490312,13957.642454730196
10800.0,column,false,2202.0295368467196,0.044342985459025194,0.03309618543765901,-2.4224720068619455e-9,-4.124927202068049e-28,-6.297100090525353e-12,-6.117979371820375e-12,-1.846329495523531e-13,65598.47404388107,87919.5615249457,1235.487943586347,20138.266075097017,1328.5891225219034,826.9916206584808,21373.743238886127
14400.0,column,false,3077.109396945976,0.0478445743981599,0.033054579108584656,-2.398727578936239e-9,-4.12257604140463e-28,-6.240483873961314e-12,-6.063003931774485e-12,-1.8297487318115192e-13,65511.848930315515,94873.62568207312,1863.038514748658,26863.37160087345,1850.781385924498,1152.0350704845891,28726.395627531925
18000.0,column,false,3925.057888841344,0.05125662385327797,0.03301288216135417,-2.3754982297818697e-9,-4.110227609038917e-28,-6.155281269743586e-12,-5.980225528373678e-12,-1.804810847273611e-13,65425.006271576756,101656.28202811138,2365.178100489447,33581.471377417954,2294.2609842193733,1428.0786215227895,35946.63134830846
21600.0,column,false,4739.301587881579,0.05461101153180536,0.03297258410318867,-2.3530133345298963e-9,-4.069060821922672e-28,-6.062959142637605e-12,-5.8904812068928185e-12,-1.777803648656265e-13,65341.2200949673,108330.88327742451,2800.5371563348103,40286.030528041265,3800.8215627202335,1663.8190772160683,43086.545953777975
25200.0,column,false,5514.30374505432,0.05790745508825737,0.032932278377662695,-2.3314351869023913e-9,-3.967122772662638e-28,-5.970448832027664e-12,-5.8005124627965944e-12,-1.7507525411811404e-13,65257.73896519547,114896.9666474793,3168.9489174334117,46970.18054888022,5448.5870304765995,2058.105557924434,50139.10417877424
28800.0,column,false,6252.919258779744,0.06116130603290498,0.03289226124324601,-2.3120075522896833e-9,-3.790592948438849e-28,-5.725004800340273e-12,-5.5616503036318544e-12,-1.6790220316159066e-13,65174.02462943097,121385.02695868938,3504.0651576094433,53626.58121420278,7071.133962268852,2670.6801128414895,57130.617558119164
32400.0,column,false,6977.685659553827,0.06443465129507386,0.03285375254329109,-2.292088981163792e-9,-3.434456894922079e-28,-5.441015699875711e-12,-5.285060104238952e-12,-1.5960789101192467e-13,65093.53669651205,127917.73152829712,3924.883976351352,60253.04689181172,8443.1052053989,3188.6529950605836,64177.89850019062
36000.0,column,false,7667.3335676921415,0.06766434216657416,0.03281506149086079,-2.272907303858912e-9,-2.8396272066159445e-28,-5.148002118958078e-12,-4.999494451495733e-12,-1.5105436069553406e-13,65013.015576745245,134369.9797436009,4309.874830936236,66843.93114646726,9599.884056607434,3625.382026652294,71153.77009116617
39600.0,column,false,8338.598723117248,0.07083781175273593,0.03277617914937737,-2.254301394375356e-9,-1.9066319776681537e-28,-4.846122210839321e-12,-4.70512116989126e-12,-1.4224585440073793e-13,64932.36833379899,140717.2524249521,4639.620962389919,73393.19310301523,10575.97288181854,3993.893234999351,78032.77470975772
43200.0,column,false,8990.232136178121,0.07395346073271418,0.03273770686705603,-2.2362711523297866e-9,-5.30941643387717e-29,-4.549725679309453e-12,-4.415948832637224e-12,-1.3360070254940466e-13,64852.782052169205,146956.28193419203,4911.28779949362,79897.99532591626,11401.689168497922,4305.632838035963,84809.24035206762
46800.0,column,false,9620.178748431063,0.07700980309346991,0.03270002281296697,-2.2188509275985767e-9,-3.028661742132999e-29,-4.279214212929684e-12,-4.151915547724784e-12,-1.2571319989831283e-13,64775.03331197803,153083.94333733647,5122.08955030162,86355.88473282811,12101.206230903219,4569.7273295253835,91477.92814644998
50400.0,column,false,10220.512836597685,0.08000380649591797,0.03266257171812068,-2.2034481176319153e-9,-3.0286582332881186e-29,-3.727352038305728e-12,-3.612950752008076e-12,-1.0962950793620813e-13,64697.12445748698,159094.0639892716,5268.041337940445,92763.30278186405,12692.239439970119,4791.998796188846,98031.29467794995
54000.0,column,false,10820.283927759607,0.08298786071746701,0.032625091562069455,-2.1870950741421385e-9,-3.0286502944948126e-29,-3.023228625493224e-12,-2.924730578526695e-12,-8.912111494679161e-14,64619.09225819847,165090.12804148486,5450.535125220873,99120.20067999908,13194.258901804753,4979.163738227794,104570.68306524021
57600.0,column,false,11396.022702418777,0.08374884974398811,0.03259058089798035,-2.1722785576912968e-9,-3.028639489469597e-29,-2.319490813649909e-12,-2.2363558419396613e-12,-6.863641021768799e-14,64547.165533582636,170999.96093942542,5596.118256191484,105426.20683132544,13624.918570953168,5139.542937486228,111022.26909369495
61200.0,column,false,11958.594442714239,0.08360632312485464,0.0325541872669527,-2.157290069202691e-9,-3.028622702761778e-29,-1.7158745368760562e-12,-1.6455442382308816e-12,-5.107486729903668e-14,64471.93013620701,176823.99072907004,5707.7374188460735,111678.3422990775,13988.404521753902,5275.0990984815735,117386.02051455899
64800.0,column,false,12511.286454097717,0.08345958723771658,0.03251765268466458,-2.142493866107463e-9,-3.0285992447197097e-29,1.7265377829128041e-41,3.2551605418870863e-6,2.5412570112731674e-8,64396.57889327286,182584.60938728118,5807.849810324708,117875.69401090893,14295.733755702826,5389.30185409147,123683.48144175972
68400.0,column,false,13053.35904538483,0.0832962243462446,0.03248097434308044,-2.1279690900958226e-9,-3.028568057682699e-29,1.7077082335110282e-41,7.672523230593872e-6,2.5839364983599263e-8,64321.11131273364,188278.28897706504,5893.168963108449,124017.32090639375,14839.165973245617,5485.388052327721,129910.4243494848
72000.0,column,false,13572.943569470328,0.08299480959545777,0.03244790445062304,-2.1159270724430425e-9,-3.0285409212755396e-29,1.6888496343950072e-41,1.6164720053536896e-5,2.6302737479042663e-8,64252.58973097925,193875.33089850258,5935.434981301944,130101.40183023454,15650.104142095704,5566.908427544251,136036.7682017112
75600.0,column,false,14072.81505060586,0.08255371496631926,0.032419450202037806,-2.106602573747124e-9,-3.0285231421614497e-29,1.6699592255767907e-41,3.324707165286958e-5,2.6838949553529797e-8,64192.79221237133,199381.49784396458,5944.395383656645,136124.0787806695,16362.590859261478,5635.87138154286,142068.4025124602
