# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c9_column_enthalpy
# generated: 1789112294 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_strat,min_e_src_tropo,min_e_src_rad,min_e_src_sfc,min_e_src_sub,min_e_src_new_strat,min_e_src_new_tropo,max_e_src_strat,max_e_src_tropo,max_e_src_rad,max_e_src_sfc,max_e_src_sub,max_e_src_new_strat,max_e_src_new_tropo
0.0,column,false,1.4551915228366852e-11,0.033977965380665935,0.03322423235154931,0.0,0.0,0.0,0.0,0.0,65875.65445855673,68379.15330889264,0.0,0.0,0.0,0.0,0.0
3600.0,column,false,14.65486005526327,0.037183956670545804,0.033470474977677134,-1.5582221809091977e-6,4.0545903105446285e-97,-1.5174964557804408e-30,-1.5726580218063796e-11,2.6462231606877674e-17,65867.82981708825,73395.41536177351,441.2817736948918,6681.15780876645,126.78966169026275,86.61742803039549,6684.933059784797
7200.0,column,false,14.59480103860551,0.040292775718454785,0.033492094887412574,-1.5580616487069737e-6,1.1850121660329219e-82,-1.5174557725985055e-30,9.857107261494309e-14,2.90146929362698e-16,65807.75842330512,79564.27791879776,590.3194644323528,13285.918857024413,716.2364977963877,445.82966084184034,13823.81265423394
10800.0,column,false,14.557882710185368,0.04339362788181788,0.03354195332878488,-1.5565077052411566e-6,8.705302430474278e-75,-1.5174723549292661e-30,9.76566194684461e-12,6.722972121931032e-16,65763.18297713847,85717.85025891267,1223.291293864756,19825.859210966388,1320.2964143920583,821.8323757253123,21049.139888746373
14400.0,column,false,14.531507803578279,0.04645697065032933,0.03358932265641623,-1.530368754322339e-6,1.8672710705965547e-71,-1.518378390159833e-30,7.682370153828344e-11,7.669496257312229e-15,65719.98384053474,91796.85638298331,1835.7304038052866,26325.094037609244,1833.3804872942603,1141.2063316105002,28160.810238575395
18000.0,column,false,14.504018049090519,0.04944761562491027,0.03363811414572504,-1.309698445464096e-6,3.0468872571317053e-69,-1.519905192272073e-30,7.809153446797161e-11,6.257070541937031e-14,65677.11295825358,97731.58540881905,2319.3535927397293,32781.595136872194,2286.4598194626,1411.2159367644642,35100.93102653928
21600.0,column,false,14.48161057541438,0.05240084405358814,0.033682835496109766,-2.476607188590903e-7,1.102654203025318e-67,-1.5218085324817123e-30,8.46966527566638e-11,2.8695637953288054e-13,65634.46375769471,103591.96296043438,2734.458810710686,39199.3314720266,3806.2020495677107,1640.82589822378,41933.769133538895
25200.0,column,false,14.459533119894331,0.05531921838716238,0.03372114272055493,6.170423782562076e-38,3.1329301654640757e-66,-1.5239380840273186e-30,6.531223446644109e-9,2.104200530925863e-10,65588.86912791495,109383.06266136987,3081.9783091310783,45581.02949232052,5450.929104400459,2060.4058480725944,48662.98325838977
28800.0,column,false,14.435474131154479,0.058216667514508144,0.033778281057675795,9.019662090266587e-37,9.923179855533578e-64,-1.5261066805511103e-30,1.9627385476981367e-8,6.400135524512057e-10,65551.75523842218,115132.52442421224,3396.323673177351,51924.415530201164,7023.158352687691,2653.959849952674,55320.71130250674
32400.0,column,false,14.415226093362435,0.061143664419556557,0.03383252330611994,8.147569041538236e-36,8.973134004647861e-62,-1.5289970588747928e-30,4.776925771012459e-8,1.5755867290703864e-9,65515.53897573662,120940.47972124934,3795.677283986612,58222.60269209303,8339.500612649766,3150.910219002412,62018.24869732045
36000.0,column,false,14.394870302989148,0.06404786330951347,0.03387996158692592,4.937926729491945e-35,3.440508109602331e-60,-1.5319950120489746e-30,1.0759470396861647e-5,1.583037503484624e-7,65475.94393117884,126703.0958621117,4159.250005804901,64483.80537070186,9440.650917301307,3566.619462401031,68643.02075655929
39600.0,column,false,14.374287894592271,0.0669084298676004,0.03392214320909277,2.2644028570368003e-34,8.504982707712592e-59,-1.5349630184584842e-30,1.6729732369563268e-5,1.7826809119717167e-7,65433.65334775834,132379.1185140056,4467.546068069823,70697.36694875514,10363.122307433538,3914.8723026691923,75164.87510759544
43200.0,column,false,14.354712397136609,0.06972434595151637,0.0339596688783268,8.31950112563548e-34,1.2476552206275694e-57,-1.5379216636056419e-30,2.271788236987083e-5,1.9700755782282876e-7,65389.88370867624,137966.5290080547,4718.158358339682,76863.68819139228,11138.07007721217,4207.431048528805,81581.80540413847
46800.0,column,false,14.33699166480801,0.07249507288278105,0.033992181969689825,2.5236592324292366e-33,1.1053391691010052e-56,-1.5408482491001094e-30,2.9965141124392966e-5,2.1433652087633595e-7,65345.0955627081,143464.25738482922,4908.673611569888,82983.7325737281,11790.075023259515,4453.575843166295,87892.3618569906
50400.0,column,false,14.317748292713077,0.07522149993660071,0.03403995616461862,8.723699283982954e-33,1.111580687212037e-55,-1.5434398853882188e-30,3.8218539016711886e-5,2.353668534821829e-7,65307.034009437804,148874.05616850697,5035.704063003353,89060.51352871905,12334.524778404735,4657.008045770225,94096.17013453854
54000.0,column,false,14.297960613650503,0.07794114254357629,0.034089965425975303,2.825540390956766e-32,8.856598295780071e-55,-1.5469154961328687e-30,4.859012116431478e-5,2.5697281936589776e-7,65269.723062721474,154270.36212541812,5199.627939317203,95078.53302218209,12791.549743489953,4823.694028282235,100278.1103864689
57600.0,column,false,14.281921417597914,0.07923665844992547,0.03413850661389228,7.981815442305311e-32,5.1219425299120435e-54,-1.5500307280974468e-30,6.025001133493145e-5,2.7749794464195965e-7,65236.279738441466,159604.46811417528,5327.7454355975315,101052.94606433743,13183.279407203725,4965.36929230156,106380.63784710936
61200.0,column,false,14.264838931587292,0.07870746450039301,0.03417568266734376,1.904755233622222e-31,2.1134659281224624e-53,-1.5530142742306533e-30,7.369193450422148e-5,2.957128368863092e-7,65194.99967898625,164865.93749797234,5422.7688821607235,106975.31799413064,13514.424266019227,5084.80997005327,112398.03018860753
64800.0,column,false,14.247710090654436,0.07819644084723618,0.034209316748966836,4.1986691594140325e-31,7.366375246584996e-53,-1.5559444556363915e-30,8.90229006364254e-5,3.1310407871022404e-7,65151.91427757508,170073.87513781278,5507.068092554103,112843.68306648082,13794.852498605404,5183.713914434486,118350.69146914032
68400.0,column,false,14.230573771492345,0.07769246397898674,0.03423921121885127,8.618136726861916e-31,2.222921972584864e-52,-1.5587890547575112e-30,0.00010627758117359944,3.296217115336396e-7,65106.951336366765,175225.49273401446,5577.384612053249,118658.45762696024,14484.346835489172,5265.46319542652,124235.77958098815
72000.0,column,false,14.216450882217032,0.0771179335661007,0.03427823881340469,1.8138499902400905e-30,6.765076781226284e-52,-1.5609417279440348e-30,0.0001242920304131319,3.475009544554768e-7,65071.34318368861,180302.95944767413,5605.872612837879,124426.76652770647,15231.725794310967,5331.382998331335,130032.57355891897
75600.0,column,false,14.20580516087648,0.0764673079881291,0.03433289255438958,4.103465553914127e-30,2.221820335677033e-51,-1.562470385725204e-30,0.00014304357895343232,3.6809550055170496e-7,65049.3265655538,185309.2630851125,5602.273604677258,130143.73251589207,15882.75728516248,5381.996131047089,135745.93765742172
79200.0,column,false,14.194701473461464,0.07585515747616096,0.03438789993812939,9.01601656383579e-30,6.826454509173686e-51,-1.5643150459354201e-30,0.00016442133714785774,3.888385274289962e-7,65027.03894130453,190276.01158233045,5614.008811818728,135798.2043907655,16441.689497807878,5420.726100710231,141412.1418816991
82800.0,column,false,14.177591814965126,0.07531377200170138,0.034430720876270395,1.8384643375308215e-29,1.865320277375946e-50,-1.5667020733080709e-30,0.00018917178208348589,4.0824854543240453e-7,64989.178360685255,195190.74409449543,5628.364092034484,141390.37255369074,16914.824540339945,5447.854696471836,147018.66249720496
86400.0,column,false,14.162416613689857,0.07495173006230962,0.03448068566245133,3.7996539190960337e-29,5.199255308811991e-50,-1.5697797258783339e-30,0.00021725927030473414,4.287740062610237e-7,64958.29599459924,200111.1600596839,5701.288221727731,146921.71483124618,17324.432304571164,5466.679834627851,152622.9260779564
