z,e_prc_radiation,e_src_rad,total,rad_share
25.0,7587.324107300024,5701.288221727731,200110.66143575925,0.028490677012518863
75.0,-270.90295396190476,1274.6908831617884,73278.46313532373,0.017395163989831635
125.0,-412.09919649641245,195.4239924018635,67628.79842037044,0.00288965643285775
175.0,-111.50243139318765,22.717413292812846,68139.83683803254,0.00033339400777861894
225.0,-109.58001663214736,1.9907656523592652,68291.48341408849,2.9151009069288593e-5
275.0,-110.9680781390362,0.1395739847928376,68404.56079498382,2.0404192815615993e-6
325.0,-113.45503394856854,0.00804160765985283,68256.07890618313,1.1781525966215973e-7
375.0,-116.41379671979249,0.004934367749553076,67012.6182985948,7.363341225627869e-8
425.0,-1346.0929600047014,78.04742526139708,62622.89764255615,0.0012463081109226574
475.0,-5025.779790019883,299.8742827318501,56238.408990175056,0.005332197124997591
525.0,-10878.174806808434,439.56433805146867,50864.15353280464,0.008641927713747824
575.0,-8232.20701897405,353.1145713716822,53719.18329890402,0.006573342141240007
625.0,-19782.34388792834,69.83089743078764,56921.852789188735,0.0012267853910062946
675.0,-20565.795089624895,5.777500125366353,61718.03665994302,9.361121056393122e-5
725.0,-19790.205306755066,0.3722690139521898,63288.992438599336,5.882049936461725e-6
775.0,-8458.615007504019,0.020923526878369136,63604.349197001895,3.289637759449853e-7
825.0,-2652.1781914760013,0.0009989526669821594,63655.10291506097,1.5693206376794728e-8
875.0,-2325.678403222979,3.92832291801143e-5,63683.731939408026,6.168487301826215e-10
925.0,-2171.9168395760626,1.2680151128197961e-6,63717.780850155505,1.990049081906627e-11
975.0,-2078.3207148799297,3.389113533738935e-8,63767.44097393628,5.314802479096143e-13
1025.0,-2015.9599731681478,7.572038746634506e-10,63836.42398402082,1.1861627381461557e-14
1075.0,-1972.580893566097,1.4216075456134627e-11,63924.69601077771,2.223878460640281e-16
1125.0,-1941.8117429228819,2.240663982026674e-13,64029.941271224794,3.499400339187307e-18
1175.0,-1919.9491594214342,2.941274084292053e-15,64148.37052131594,4.585111142167974e-20
1225.0,-1904.6846286237208,3.165040612289079e-17,64275.728240505014,4.924161419760541e-22
1275.0,-1894.4964670372499,2.7216708235084486e-19,64408.31853744221,4.22565110425336e-24
1325.0,-1888.324810622419,1.797684193861093e-21,64543.656361078814,2.785222119745194e-26
1375.0,-1885.3925596797278,8.552149083397726e-24,64680.531920077374,1.3222137835794557e-28
1425.0,-1885.10877564685,2.6033684594816835e-26,64818.62516588011,4.016389506595199e-31
1475.0,-1887.0151343450716,3.7996539190960337e-29,64957.9960591122,5.849401381838078e-34
