time,form_a_max,form_a_relative,initial_min_strat,initial_min_tropo,form_a_max_unrepaired,initial_strat,initial_tropo,energy_change,records,form_b
0.0,0.0,0.0,0.033977965380665935,0.03322423235154931,0.0,5.2684683046055384e7,6.030271539654003e7,0.0,0.0,0.0
3600.0,6.623586313203589e-6,9.908226325348166e-10,0.03381242630725924,0.03347047317635572,6.623586313203589e-6,5.241275200400386e7,6.0144773450675964e7,60893.18633623421,60893.18633635837,-1.2415694072842598e-7
7200.0,6.462616710223301e-6,4.674986280894043e-10,0.03332076811818194,0.03349208634915276,6.462616710223301e-6,5.218355451088363e7,5.993891376190955e7,122712.42435498536,122712.42435515136,-1.6600824892520905e-7
10800.0,6.297681714784176e-6,2.9918935271705285e-10,0.0327775433793562,0.03354193156567416,6.297681714784176e-6,5.199000139544541e7,5.968499813513489e7,181405.3227288127,181405.32272906322,-2.505257725715637e-7
14400.0,6.1361060375020315e-6,2.1789511348531672e-10,0.032254131829806444,0.033589285305502016,6.1361060375020315e-6,5.18121585331798e7,5.939602943588206e7,241465.72377602756,241465.72377611068,-8.312053978443146e-8
18000.0,5.982499473589087e-6,1.7043697364630324e-10,0.031744543106871505,0.03363805878093883,5.982499473589087e-6,5.164271280880093e7,5.909312465991123e7,301531.2348216474,301531.23482182366,-1.762527972459793e-7
21600.0,5.846841133916314e-6,1.3943030416506976e-10,0.031251645607414585,0.0336827617333188,5.846841133916314e-6,5.1492915470115215e7,5.87725501036217e7,364012.01789560914,364012.017895903,-2.9383227229118347e-7
25200.0,5.735058991263031e-6,1.1785253831128687e-10,0.03077615652603907,0.03372105098791254,5.735058991263031e-6,5.1359014821707055e7,5.844075365273446e7,426094.5674020648,426094.5674024201,-3.5529956221580505e-7
28800.0,5.637470877672968e-6,1.0190519792130172e-10,0.030315796076161076,0.0337781663281689,5.637470877672968e-6,5.124899958482209e7,5.809002742459923e7,485352.52155306935,485352.5215535285,-4.591420292854309e-7
32400.0,5.537860602089495e-6,8.929400499700213e-11,0.0298649056510124,0.03383238611847505,5.537860602089495e-6,5.114207033733114e7,5.771483754250047e7,541060.3792983145,541060.3792989175,-6.030313670635223e-7
36000.0,5.442223624640974e-6,7.928294559137033e-11,0.029427916237687382,0.033879803283175566,5.442223624640974e-6,5.103644602741428e7,5.73264565093763e7,595219.8431189954,595219.8431197465,-7.511116564273834e-7
39600.0,5.349846560420701e-6,7.117478549098063e-11,0.02899920079806368,0.033921964941001574,5.349846560420701e-6,5.093438548289254e7,5.693492205221005e7,648792.2314245254,648792.231425364,-8.386559784412384e-7
43200.0,5.2607664144943556e-6,6.448452243952891e-11,0.028578753085902235,0.033959471870768976,5.2607664144943556e-6,5.083874777900534e7,5.654496818510599e7,703420.5917806774,703420.5917815873,-9.099021553993225e-7
46800.0,5.175103126475733e-6,5.88799800925395e-11,0.02816676562051617,0.033991967633168946,5.175103126475733e-6,5.075306076178592e7,5.6157499754360445e7,760415.659907952,760415.6599088116,-8.596107363700867e-7
50400.0,5.100879633346267e-6,5.420918889087217e-11,0.02776431647038552,0.03403972079776514,5.100879633346267e-6,5.0678890068081476e7,5.577032826471345e7,817693.755243659,817693.7552445317,-8.726492524147034e-7
54000.0,5.021798216375828e-6,5.0078682818125096e-11,0.02736611196101687,0.03408970845315594,5.021798216375828e-6,5.060139764928212e7,5.536296618946457e7,864903.9521208256,864903.9521217309,-9.052455425262451e-7
57600.0,4.949351989580464e-6,4.6524908982975254e-11,0.026976631712073124,0.03413822911594764,4.949351989580464e-6,5.05316780175094e7,5.495697815367298e7,926797.451716885,926797.4517179951,-1.1101365089416504e-6
61200.0,4.8744386162979936e-6,4.336762975034393e-11,0.026593486387630108,0.03417538695450688,4.8744386162979936e-6,5.04598041419597e7,5.4547091115564704e7,979505.1407905966,979505.1407915615,-9.648501873016357e-7
64800.0,4.798917558446192e-6,4.054826447191367e-11,0.02621601747870938,0.034209003644888124,4.798917558446192e-6,5.0389210154837064e7,5.413923465016347e7,1.0303087606818378e6,1.0303087606826006e6,-7.627531886100769e-7
68400.0,4.7227964046214765e-6,3.801476546144748e-11,0.025844252263743595,0.03423888159713973,4.7227964046214765e-6,5.032009324125247e7,5.37381862411224e7,1.0797452637686133e6,1.0797452637691079e6,-4.945322871208191e-7
72000.0,4.656794914126294e-6,3.581250788191016e-11,0.0254796556724063,0.03427789131245024,4.656794914126294e-6,5.0263486302646056e7,5.335615462506977e7,1.1505375840314478e6,1.1505375840319004e6,-4.5262277126312256e-7
75600.0,4.6015886425720964e-6,3.389851955191239e-11,0.025121276608517665,0.03433252445888903,4.6015886425720964e-6,5.021939880511614e7,5.299737820273402e7,1.245586786113739e6,1.2455867861140454e6,-3.0640512704849243e-7
79200.0,4.541404081237488e-6,3.21146524645055e-11,0.024766752017123472,0.03438751109960196,4.541404081237488e-6,5.0174888479423165e7,5.2639832213082075e7,1.3341078475570679e6,1.3341078475571861e6,-1.1827796697616577e-7
82800.0,4.466181110274192e-6,3.0378312398619685e-11,0.02441611379158279,0.03443031262772496,4.466181110274192e-6,5.01160939337334e7,5.226542258576466e7,1.3834823986662328e6,1.3834823986660568e6,1.7601996660232544e-7
86400.0,4.384105551480388e-6,2.872506413701447e-11,0.02406950016511744,0.03448025688844507,4.384105551480388e-6,5.006236183114899e7,5.187014887598286e7,1.43352686211586e6,1.4335268621155275e6,3.3248215913772583e-7
