time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative
0.0,2.797045234315121e-9,2.4755373367908736e-17,6.911249350594062e-10,6.116832005920909e-18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
3600.0,22100.182945530833,0.0001954760144001097,22961.34981138631,0.00020309303128570542,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.25324006899991514,2.239907221425183e-9
7200.0,24995.813328571967,0.00022094706004395213,26778.16413539254,0.00023670190528772843,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.25324006899991514,2.2384808205821025e-9
10800.0,29515.266607778176,0.0002607427090614795,32336.670080881777,0.0002856674503727652,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.25324006899991514,2.2371643296135026e-9
14400.0,39726.70170665515,0.00035075105628131707,43355.04701134701,0.00038278608293848424,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.25324006899991514,2.2358821114916197e-9
18000.0,50381.88036176725,0.0004445687786251275,54673.63808079593,0.00048243916920212213,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.25324006899991514,2.234585675759526e-9
21600.0,65615.96871308902,0.0005786534899468438,70775.40164255798,0.0006241534487120389,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.25324006899991514,2.2332711471795904e-9
25200.0,80285.62304469524,0.0007075676093762998,86086.02593828595,0.000758687312421421,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.25324006899991514,2.231837574715048e-9
28800.0,80278.66816479836,0.0007071445351352883,86322.93074655162,0.0007603861664592583,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.2307401256714106e-9
32400.0,78418.58755692047,0.0006904012639102338,84517.42642986031,0.0007440957539213707,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.229582314107994e-9
36000.0,112845.52546981067,0.0009929933517000172,119550.49566195383,0.0010519942805930827,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.2284502672071982e-9
39600.0,161752.35421360194,0.0014223951930612312,169133.15456686035,0.0014872994412526098,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.226950759174787e-9
43200.0,168975.88303782832,0.0014852251355558011,176550.9351005154,0.0015518065761991858,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.2259146842290767e-9
46800.0,185772.10764941084,0.0016321913028399199,193600.81396575575,0.0017009742139222478,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.225007604875345e-9
50400.0,195265.9469903552,0.001714932651868776,203467.70743821867,0.0017869650108726818,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.224136851602975e-9
54000.0,197068.1359920076,0.0017301179327028414,205439.57712823167,0.0018036132258888232,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.223311157919655e-9
57600.0,213557.47610049404,0.0018742270509381034,222225.80014049017,0.0019503021558640145,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.2225337822204055e-9
61200.0,229900.85798264662,0.0020166993218610047,239072.60968678122,0.002097154286685024,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.221475402721763e-9
64800.0,230739.1371244812,0.0020234379117950447,240122.35268080517,0.0021057228432887773,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.22080060599412e-9
68400.0,243104.54197811452,0.00213124228209173,252903.31349005701,0.002217145885491652,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.2201417269422712e-9
72000.0,259203.87112177923,0.002271436352167145,269839.58250361745,0.0023646384380747094,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.21921836311263e-9
75600.0,259802.87270103692,0.0022759190757218528,270867.1321457515,0.0023728439436694775,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.21847130518036e-9
79200.0,276745.53381350305,0.002423755431574794,288269.04339969304,0.002524679079972871,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.217936577082011e-9
82800.0,285818.07942905,0.0025025686680210883,297978.8737351762,0.0026090462668824136,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.217365341256434e-9
86400.0,293293.63075057155,0.0025675208908625927,305686.00814308797,0.0026760049645239065,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2532450403175564,2.2169316458004895e-9
